Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.6e-05,18.658441,[75 22] ; [12 21],[64.91538462 32.08461538] ; [22.08461538 10.91538462],1
a6,1,0.000121,14.778596,[78 19] ; [15 18],[69.39230769 27.60769231] ; [23.60769231  9.39230769],1
s4,1,0.002313,9.283093,[ 4 93] ; [ 7 26],[ 8.20769231 88.79230769] ; [ 2.79230769 30.20769231],0
a2,1,0.006263,7.473052,[24 73] ; [ 1 32],[18.65384615 78.34615385] ; [ 6.34615385 26.65384615],0
v4,1,0.012776,6.199868,[94  3] ; [28  5],[91.03076923  5.96923077] ; [30.96923077  2.03076923],0
b5,1,0.042029,4.134031,[58 39] ; [13 20],[52.97692308 44.02307692] ; [18.02307692 14.97692308],0
r4,1,0.069933,3.28459,[86 11] ; [25  8],[82.82307692 14.17692308] ; [28.17692308  4.82307692],0
p4,1,0.071383,3.250919,[72 25] ; [19 14],[67.9 29.1] ; [23.1  9.9],0
u1,1,0.107292,2.593661,[17 80] ; [ 2 31],[14.17692308 82.82307692] ; [ 4.82307692 28.17692308],0
r2,1,0.109909,2.555535,[91  6] ; [28  5],[88.79230769  8.20769231] ; [30.20769231  2.79230769],0
p6,1,0.112292,2.521671,[39 57] ; [ 8 24],[35.25 60.75] ; [11.75 20.25],0
n2,1,0.132391,2.264245,[11  2] ; [5 4],[9.45454545 3.54545455] ; [6.54545455 2.45454545],0
s5,1,0.184567,1.760465,[14 81] ; [ 8 24],[16.45669291 78.54330709] ; [ 5.54330709 26.45669291],0
u3,1,0.18684,1.74236,[19 13] ; [4 7],[17.11627907 14.88372093] ; [5.88372093 5.11627907],0
d2,1,0.197507,1.66071,[36 61] ; [16 16],[39.10077519 57.89922481] ; [12.89922481 19.10077519],0
d5,1,0.201527,1.631273,[78 19] ; [23 10],[75.36153846 21.63846154] ; [25.63846154  7.36153846],0
r1,1,0.224511,1.475301,[75 22] ; [22 11],[72.37692308 24.62307692] ; [24.62307692  8.37692308],0
p9,1,0.226605,1.462043,[80 17] ; [24  9],[77.6 19.4] ; [26.4  6.6],0
s1,1,0.250552,1.320222,[ 2 95] ; [ 2 31],[ 2.98461538 94.01538462] ; [ 1.01538462 31.98461538],0
r3,1,0.253465,1.304106,[89  8] ; [28  5],[87.3  9.7] ; [29.7  3.3],0
a8,1,0.27121,1.210618,[11 70] ; [ 2 30],[ 9.31858407 71.68141593] ; [ 3.68141593 28.31858407],0
p10,1,0.28634,1.13675,[79 18] ; [24  9],[76.85384615 20.14615385] ; [26.14615385  6.85384615],0
d1,1,0.309748,1.031749,[54 43] ; [15 18],[51.48461538 45.51538462] ; [17.51538462 15.48461538],0
a4,1,0.314262,1.012681,[42 55] ; [11 22],[39.54615385 57.45384615] ; [13.45384615 19.54615385],0
v1,1,0.410536,0.677249,[56 40] ; [16 16],[54. 42.] ; [18. 14.],0
n1,1,0.421374,0.646479,[5 8] ; [2 7],[4.13636364 8.86363636] ; [2.86363636 6.13636364],0
u2,1,0.434089,0.611858,[16 16] ; [4 7],[14.88372093 17.11627907] ; [5.11627907 5.88372093],0
a1,1,0.443798,0.586442,[ 3 94] ; [ 2 31],[ 3.73076923 93.26923077] ; [ 1.26923077 31.73076923],0
n3,1,0.47433,0.511871,[10  3] ; [8 1],[10.63636364  2.36363636] ; [7.36363636 1.63636364],0
v3,1,0.478334,0.50266,[42 52] ; [12 20],[40.28571429 53.71428571] ; [13.71428571 18.28571429],0
d4,1,0.507793,0.438613,[76 21] ; [24  9],[74.61538462 22.38461538] ; [25.38461538  7.61538462],0
p8,1,0.516107,0.421666,[62 35] ; [19 14],[60.43846154 36.56153846] ; [20.56153846 12.43846154],0
p5,1,0.518118,0.417638,[ 8 88] ; [ 4 29],[ 8.93023256 87.06976744] ; [ 3.06976744 29.93023256],0
n4,1,0.57047,0.321897,[78 19] ; [28  5],[79.09230769 17.90769231] ; [26.90769231  6.09230769],0
s7,1,0.587385,0.294447,[30 60] ; [ 9 23],[28.7704918 61.2295082] ; [10.2295082 21.7704918],0
p11,1,0.637307,0.222282,[80 17] ; [26  7],[79.09230769 17.90769231] ; [26.90769231  6.09230769],0
n6,1,0.655456,0.19909,[79 17] ; [26  7],[78.13953488 17.86046512] ; [26.86046512  6.13953488],0
b4,1,0.678787,0.171495,[54 43] ; [17 16],[52.97692308 44.02307692] ; [18.02307692 14.97692308],0
n5,1,0.698016,0.150544,[71 26] ; [23 10],[70.13846154 26.86153846] ; [23.86153846  9.13846154],0
s8,1,0.698016,0.150544,[26 71] ; [10 23],[26.86153846 70.13846154] ; [ 9.13846154 23.86153846],0
s3,1,0.711101,0.13718,[27 70] ; [10 22],[27.82170543 69.17829457] ; [ 9.17829457 22.82170543],0
a5,1,0.772951,0.083242,[73 24] ; [24  9],[72.37692308 24.62307692] ; [24.62307692  8.37692308],0
