Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-06,21.419936,[25 72] ; [16  4],[33.99145299 63.00854701] ; [ 7.00854701 12.99145299],1
s2,1,0.004129,8.226356,[19 78] ; [10 10],[24.04273504 72.95726496] ; [ 4.95726496 15.04273504],0
s8,1,0.008664,6.890826,[ 6 91] ; [ 5 15],[ 9.11965812 87.88034188] ; [ 1.88034188 18.11965812],0
p12,1,0.009193,6.784902,[ 2 95] ; [ 3 17],[ 4.14529915 92.85470085] ; [ 0.85470085 19.14529915],0
r4,1,0.021892,5.254361,[56 41] ; [17  3],[60.52136752 36.47863248] ; [12.47863248  7.52136752],0
p4,1,0.022439,5.211429,[21 74] ; [ 9 10],[25. 70.] ; [ 5. 14.],0
n6,1,0.022781,5.185107,[55 40] ; [17  3],[59.47826087 35.52173913] ; [12.52173913  7.47826087],0
v1,1,0.023499,5.131204,[24 73] ; [10 10],[28.18803419 68.81196581] ; [ 5.81196581 14.18803419],0
s3,1,0.027568,4.854852,[24 71] ; [10 10],[28.08695652 66.91304348] ; [ 5.91304348 14.08695652],0
p5,1,0.029152,4.758636,[ 3 93] ; [ 3 17],[ 4.96551724 91.03448276] ; [ 1.03448276 18.96551724],0
v2,1,0.04369,4.068485,[35 57] ; [12  7],[38.95495495 53.04504505] ; [ 8.04504505 10.95495495],0
a5,1,0.045189,4.01158,[49 48] ; [15  5],[53.05982906 43.94017094] ; [10.94017094  9.05982906],0
r1,1,0.060326,3.528406,[50 46] ; [15  5],[53.79310345 42.20689655] ; [11.20689655  8.79310345],0
p10,1,0.063309,3.4485,[38 57] ; [12  7],[41.66666667 53.33333333] ; [ 8.33333333 10.66666667],0
d4,1,0.066773,3.360625,[62 35] ; [17  3],[65.4957265 31.5042735] ; [13.5042735  6.4957265],0
u2,1,0.072682,3.221387,[20 23] ; [1 7],[17.70588235 25.29411765] ; [3.29411765 4.70588235],0
s4,1,0.087315,2.923186,[11 85] ; [ 5 14],[13.35652174 82.64347826] ; [ 2.64347826 16.35652174],0
p11,1,0.109612,2.559811,[44 53] ; [13  7],[47.25641026 49.74358974] ; [ 9.74358974 10.25641026],0
a4,1,0.115928,2.471491,[30 65] ; [10 10],[33.04347826 61.95652174] ; [ 6.95652174 13.04347826],0
u3,1,0.143766,2.137179,[21 22] ; [2 7],[19.01923077 23.98076923] ; [3.98076923 5.01923077],0
