Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,7.1e-05,15.777219,[ 5 56] ; [12 15],[11.78409091 49.21590909] ; [ 5.21590909 21.78409091],1
v1,1,0.000696,11.498943,[16 44] ; [17  9],[23.02325581 36.97674419] ; [ 9.97674419 16.02325581],1
v3,1,0.001392,10.215796,[11 49] ; [14 13],[17.24137931 42.75862069] ; [ 7.75862069 19.24137931],0
u2,1,0.005649,7.658901,[ 9 26] ; [9 4],[13.125 21.875] ; [4.875 8.125],0
r3,1,0.006023,7.543292,[42 18] ; [26  1],[46.89655172 13.10344828] ; [21.10344828  5.89655172],0
r4,1,0.008085,7.014575,[37 24] ; [24  3],[42.28409091 18.71590909] ; [18.71590909  8.28409091],0
a5,1,0.009725,6.684522,[27 34] ; [20  7],[32.57954545 28.42045455] ; [14.42045455 12.57954545],0
s3,1,0.011379,6.40518,[18 41] ; [16 11],[23.3255814 35.6744186] ; [10.6744186 16.3255814],0
v4,1,0.013572,6.092978,[45 16] ; [26  1],[49.21590909 11.78409091] ; [21.78409091  5.21590909],0
r1,1,0.01769,5.626641,[31 30] ; [21  6],[36.04545455 24.95454545] ; [15.95454545 11.04545455],0
p11,1,0.020601,5.360222,[34 27] ; [22  5],[38.81818182 22.18181818] ; [17.18181818  9.81818182],0
p8,1,0.029855,4.717645,[13 47] ; [12 15],[17.24137931 42.75862069] ; [ 7.75862069 19.24137931],0
s2,1,0.035545,4.418794,[16 44] ; [13 13],[20.23255814 39.76744186] ; [ 8.76744186 17.23255814],0
a4,1,0.055546,3.665616,[15 45] ; [ 2 25],[11.72413793 48.27586207] ; [ 5.27586207 21.72413793],0
r2,1,0.059714,3.545314,[46 15] ; [25  2],[49.21590909 11.78409091] ; [21.78409091  5.21590909],0
s6,1,0.069413,3.296839,[23 37] ; [16 11],[26.89655172 33.10344828] ; [12.10344828 14.89655172],0
p4,1,0.090763,2.860793,[12 48] ; [10 17],[15.17241379 44.82758621] ; [ 6.82758621 20.17241379],0
a7,1,0.105651,2.618094,[27 34] ; [17 10],[30.5 30.5] ; [13.5 13.5],0
p10,1,0.1216,2.396596,[34 26] ; [20  7],[37.24137931 22.75862069] ; [16.75862069 10.24137931],0
d3,1,0.126285,2.337583,[19 42] ; [13 14],[22.18181818 38.81818182] ; [ 9.81818182 17.18181818],0
p2,1,0.181631,1.784224,[29 32] ; [17 10],[31.88636364 29.11363636] ; [14.11363636 12.88636364],0
s4,1,0.194492,1.683259,[14 47] ; [ 3 24],[11.78409091 49.21590909] ; [ 5.21590909 21.78409091],0
p9,1,0.204291,1.611431,[41 19] ; [22  5],[43.44827586 16.55172414] ; [19.55172414  7.44827586],0
d4,1,0.205491,1.602914,[25 36] ; [15 12],[27.72727273 33.27272727] ; [12.27272727 14.72727273],0
n1,1,0.255704,1.291866,[10 14] ; [1 5],[ 8.8 15.2] ; [2.2 3.8],0
s8,1,0.296218,1.091142,[10 51] ; [ 7 20],[11.78409091 49.21590909] ; [ 5.21590909 21.78409091],0
a6,1,0.310501,1.028544,[29 32] ; [16 11],[31.19318182 29.80681818] ; [13.80681818 13.19318182],0
s7,1,0.361236,0.833592,[15 45] ; [ 9 17],[16.74418605 43.25581395] ; [ 7.25581395 18.74418605],0
n6,1,0.367806,0.811065,[41 19] ; [21  6],[42.75862069 17.24137931] ; [19.24137931  7.75862069],0
d1,1,0.391169,0.735305,[ 2 59] ; [ 2 25],[ 2.77272727 58.22727273] ; [ 1.22727273 25.77272727],0
p12,1,0.401236,0.704618,[ 2 58] ; [ 2 25],[ 2.75862069 57.24137931] ; [ 1.24137931 25.75862069],0
b2,1,0.413686,0.668182,[17 18] ; [5 9],[15.71428571 19.28571429] ; [6.28571429 7.71428571],0
b3,1,0.413686,0.668182,[17 18] ; [5 9],[15.71428571 19.28571429] ; [6.28571429 7.71428571],0
n5,1,0.495581,0.464387,[45 16] ; [18  9],[43.67045455 17.32954545] ; [19.32954545  7.67045455],0
a3,1,0.501796,0.451137,[26 33] ; [14 13],[27.44186047 31.55813953] ; [12.55813953 14.44186047],0
s5,1,0.567038,0.327664,[12 46] ; [ 4 22],[11.04761905 46.95238095] ; [ 4.95238095 21.04761905],0
n3,1,0.653188,0.201904,[13 10] ; [4 2],[13.48275862  9.51724138] ; [3.51724138 2.48275862],0
u3,1,0.70075,0.147692,[14 21] ; [6 7],[14.58333333 20.41666667] ; [5.41666667 7.58333333],0
d2,1,0.764522,0.089729,[13 48] ; [ 5 22],[12.47727273 48.52272727] ; [ 5.52272727 21.47727273],0
a8,1,0.770756,0.084906,[ 7 49] ; [ 4 23],[ 7.42168675 48.57831325] ; [ 3.57831325 23.42168675],0
p1,1,0.8303,0.045931,[ 8 53] ; [ 4 23],[ 8.31818182 52.68181818] ; [ 3.68181818 23.31818182],0
b4,1,0.837577,0.042023,[37 24] ; [17 10],[37.43181818 23.56818182] ; [16.56818182 10.43181818],0
p6,1,0.874901,0.024786,[ 6 54] ; [ 3 24],[ 6.20689655 53.79310345] ; [ 2.79310345 24.20689655],0
a1,1,0.884004,0.021285,[ 4 57] ; [ 2 25],[ 4.15909091 56.84090909] ; [ 1.84090909 25.15909091],0
b5,1,0.899252,0.016029,[33 28] ; [15 12],[33.27272727 27.72727273] ; [14.72727273 12.27272727],0
b1,1,0.982951,0.000457,[25 36] ; [11 16],[24.95454545 36.04545455] ; [11.04545455 15.95454545],0
n4,1,0.990813,0.000133,[43 18] ; [19  8],[42.97727273 18.02272727] ; [19.02272727  7.97727273],0
