Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,8.7e-05,15.407609,[32  3] ; [37 33],[23. 12.] ; [46. 24.],1
s4,1,0.001194,10.5,[15 20] ; [10 60],[ 8.33333333 26.66666667] ; [16.66666667 53.33333333],0
p1,1,0.002793,8.937891,[ 7 27] ; [ 2 67],[ 2.97087379 31.02912621] ; [ 6.02912621 62.97087379],0
s2,1,0.003738,8.406863,[24 11] ; [27 43],[17. 18.] ; [34. 36.],0
d1,1,0.003738,8.406863,[24 11] ; [27 43],[17. 18.] ; [34. 36.],0
p3,1,0.012074,6.3,[26  9] ; [34 36],[20. 15.] ; [40. 30.],0
v3,1,0.024668,5.047059,[14 20] ; [13 52],[ 9.27272727 24.72727273] ; [17.72727273 47.27272727],0
p6,1,0.029206,4.755435,[17 18] ; [19 51],[12. 23.] ; [24. 46.],0
d2,1,0.032175,4.589161,[18 17] ; [21 49],[13. 22.] ; [26. 44.],0
d4,1,0.035183,4.43625,[31  4] ; [49 21],[26.66666667  8.33333333] ; [53.33333333 16.66666667],0
s3,1,0.061931,3.484907,[23 12] ; [32 37],[18.50961538 16.49038462] ; [36.49038462 32.50961538],0
s8,1,0.065941,3.381288,[18 17] ; [23 47],[13.66666667 21.33333333] ; [27.33333333 42.66666667],0
a1,1,0.071477,3.248762,[ 3 32] ; [ 1 69],[ 1.33333333 33.66666667] ; [ 2.66666667 67.33333333],0
p12,1,0.074462,3.181818,[ 4 31] ; [ 2 68],[ 2. 33.] ; [ 4. 66.],0
s7,1,0.075922,3.150105,[17 14] ; [24 43],[12.96938776 18.03061224] ; [28.03061224 38.96938776],0
n5,1,0.077031,3.12646,[ 9 26] ; [30 39],[13.125 21.875] ; [25.875 43.125],0
d3,1,0.08956,2.88226,[29  6] ; [47 23],[25.33333333  9.66666667] ; [50.66666667 19.33333333],0
r3,1,0.099853,2.707895,[34  1] ; [61  9],[31.66666667  3.33333333] ; [63.33333333  6.66666667],0
d5,1,0.118649,2.435065,[29  6] ; [48 22],[25.66666667  9.33333333] ; [51.33333333 18.66666667],0
p10,1,0.156132,2.011291,[28  7] ; [46 23],[24.90384615 10.09615385] ; [49.09615385 19.90384615],0
b5,1,0.161938,1.956036,[17 18] ; [44 26],[20.33333333 14.66666667] ; [40.66666667 29.33333333],0
a5,1,0.180954,1.789773,[27  8] ; [45 25],[24. 11.] ; [48. 22.],0
p5,1,0.249876,1.323995,[ 5 30] ; [ 5 64],[ 3.36538462 31.63461538] ; [ 6.63461538 62.36538462],0
r2,1,0.310107,1.03022,[32  3] ; [59 11],[30.33333333  4.66666667] ; [60.66666667  9.33333333],0
v1,1,0.311449,1.024522,[18 17] ; [27 39],[15.59405941 19.40594059] ; [29.40594059 36.59405941],0
a8,1,0.312727,1.019123,[ 1 33] ; [ 5 56],[ 2.14736842 31.85263158] ; [ 3.85263158 57.14736842],0
a4,1,0.322107,0.980373,[16 19] ; [25 45],[13.66666667 21.33333333] ; [27.33333333 42.66666667],0
p9,1,0.323338,0.975396,[28  7] ; [49 20],[25.91346154  9.08653846] ; [51.08653846 17.91346154],0
b4,1,0.325948,0.964929,[23 12] ; [39 31],[20.66666667 14.33333333] ; [41.33333333 28.66666667],0
n3,1,0.366726,0.814727,[10  6] ; [16  5],[11.24324324  4.75675676] ; [14.75675676  6.24324324],0
u1,1,0.367418,0.812379,[ 5 30] ; [ 6 64],[ 3.66666667 31.33333333] ; [ 7.33333333 62.66666667],0
n6,1,0.407846,0.685071,[24 10] ; [43 26],[22.11650485 11.88349515] ; [44.88349515 24.11650485],0
v4,1,0.459597,0.546875,[33  2] ; [63  7],[32.  3.] ; [64.  6.],0
s1,1,0.470926,0.519802,[ 2 33] ; [ 2 68],[ 1.33333333 33.66666667] ; [ 2.66666667 67.33333333],0
r4,1,0.497614,0.460022,[29  6] ; [54 16],[27.66666667  7.33333333] ; [55.33333333 14.66666667],0
b3,1,0.504583,0.445284,[ 7 12] ; [11 28],[ 5.89655172 13.10344828] ; [12.10344828 26.89655172],0
b2,1,0.504583,0.445284,[ 7 12] ; [11 28],[ 5.89655172 13.10344828] ; [12.10344828 26.89655172],0
a6,1,0.571534,0.320122,[20 15] ; [44 26],[21.33333333 13.66666667] ; [42.66666667 27.33333333],0
b1,1,0.57458,0.315079,[13 22] ; [30 40],[14.33333333 20.66666667] ; [28.66666667 41.33333333],0
n1,1,0.635256,0.225,[ 6 10] ; [ 6 14],[ 5.33333333 10.66666667] ; [ 6.66666667 13.33333333],0
p11,1,0.662736,0.190217,[24 11] ; [45 25],[23. 12.] ; [46. 24.],0
v2,1,0.664725,0.187835,[17 18] ; [34 30],[18.03030303 16.96969697] ; [32.96969697 31.03030303],0
n2,1,0.677392,0.173077,[11  5] ; [15  5],[11.55555556  4.44444444] ; [14.44444444  5.55555556],0
a3,1,0.773961,0.082482,[23 12] ; [44 26],[22.33333333 12.66666667] ; [44.66666667 25.33333333],0
u3,1,0.79246,0.069231,[9 3] ; [17  7],[8.66666667 3.33333333] ; [17.33333333  6.66666667],0
r1,1,0.807324,0.059477,[23 11] ; [49 21],[23.53846154 10.46153846] ; [48.46153846 21.53846154],0
p7,1,0.822669,0.050227,[25  9] ; [50 20],[24.51923077  9.48076923] ; [50.48076923 19.51923077],0
a2,1,0.8514,0.035094,[ 6 29] ; [11 59],[ 5.66666667 29.33333333] ; [11.33333333 58.66666667],0
a7,1,0.875996,0.024351,[26  9] ; [51 19],[25.66666667  9.33333333] ; [51.33333333 18.66666667],0
p2,1,0.896715,0.016851,[27  8] ; [54 15],[27.25961538  7.74038462] ; [53.74038462 15.25961538],0
u2,1,0.93536,0.006578,[8 4] ; [17  8],[8.10810811 3.89189189] ; [16.89189189  8.10810811],0
p8,1,0.93562,0.006525,[20 15] ; [40 29],[20.19230769 14.80769231] ; [39.80769231 29.19230769],0
