Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,48.874387,[ 33 133] ; [95 71],[ 64. 102.] ; [ 64. 102.],1
p6,1,0.0,33.909058,[ 21 144] ; [69 99],[ 44.59459459 120.40540541] ; [ 45.40540541 122.59459459],1
p4,1,0.0,28.340592,[ 43 123] ; [92 77],[66.89552239 99.10447761] ; [ 68.10447761 100.89552239],1
p2,1,2e-06,22.58349,[108  59] ; [146  22],[126.62089552  40.37910448] ; [127.37910448  40.62089552],1
r4,1,1.9e-05,18.242097,[121  46] ; [153  16],[136.18452381  30.81547619] ; [137.81547619  31.18452381],1
r3,1,6.4e-05,15.989678,[134  31] ; [161   8],[145.73353293  19.26646707] ; [149.26646707  19.73353293],1
s6,1,8.8e-05,15.372701,[84 81] ; [120  47],[101.38554217  63.61445783] ; [102.61445783  64.38554217],1
v4,1,0.000118,14.828753,[140  27] ; [161   6],[150.5  16.5] ; [150.5  16.5],1
s3,1,0.000527,12.016096,[68 94] ; [102  65],[83.70820669 78.29179331] ; [86.29179331 80.70820669],1
s2,1,0.000698,11.49457,[ 59 104] ; [92 76],[74.35951662 88.64048338] ; [76.64048338 91.35951662],1
s8,1,0.000736,11.395382,[ 47 119] ; [78 91],[ 61.94029851 104.05970149] ; [ 63.05970149 105.94029851],1
r1,1,0.000762,11.330727,[110  57] ; [137  30],[123.5  43.5] ; [123.5  43.5],1
s5,1,0.001014,10.801257,[ 29 131] ; [ 57 110],[ 42.0795107 117.9204893] ; [ 43.9204893 123.0795107],0
p10,1,0.001185,10.513606,[109  55] ; [137  30],[121.88519637  42.11480363] ; [124.11480363  42.88519637],0
v1,1,0.003223,8.676833,[63 99] ; [91 74],[76.29357798 85.70642202] ; [77.70642202 87.29357798],0
p11,1,0.003851,8.352598,[110  57] ; [135  34],[121.77083333  45.22916667] ; [123.22916667  45.77083333],0
d5,1,0.005713,7.638783,[112  55] ; [135  33],[123.13134328  43.86865672] ; [123.86865672  44.13134328],0
v2,1,0.010966,6.470792,[62 95] ; [87 75],[73.3322884 83.6677116] ; [75.6677116 86.3322884],0
s7,1,0.022146,5.234242,[ 57 106] ; [76 84],[67.11764706 95.88235294] ; [65.88235294 94.11764706],0
p9,1,0.02263,5.196721,[118  44] ; [139  28],[126.54711246  35.45288754] ; [130.45288754  36.54711246],0
r2,1,0.02683,4.901706,[144  22] ; [155  10],[149.95166163  16.04833837] ; [149.04833837  15.95166163],0
a3,1,0.07537,3.162009,[102  63] ; [120  49],[109.67065868  55.32934132] ; [112.32934132  56.67065868],0
a1,1,0.077125,3.124477,[ 12 155] ; [  5 164],[  8.44940476 158.55059524] ; [  8.55059524 160.44940476],0
p5,1,0.098202,2.734503,[  6 161] ; [ 13 154],[  9.5 157.5] ; [  9.5 157.5],0
u2,1,0.10885,2.570839,[28 37] ; [28 20],[32.21238938 32.78761062] ; [23.78761062 24.21238938],0
d4,1,0.116407,2.465003,[120  46] ; [133  34],[126.12012012  39.87987988] ; [126.87987988  40.12012012],0
a8,1,0.116748,2.460412,[ 20 136] ; [ 30 125],[ 25.08038585 130.91961415] ; [ 24.91961415 130.08038585],0
d3,1,0.172674,1.859573,[100  67] ; [112  55],[106.  61.] ; [106.  61.],0
b4,1,0.216575,1.526925,[103  64] ; [93 76],[97.41666667 69.58333333] ; [98.58333333 70.41666667],0
n3,1,0.220523,1.500964,[38 24] ; [32 12],[40.94339623 21.05660377] ; [29.05660377 14.94339623],0
d1,1,0.230932,1.435111,[80 87] ; [92 77],[85.48809524 81.51190476] ; [86.51190476 82.48809524],0
b2,1,0.30062,1.071444,[37 56] ; [34 70],[33.5177665 59.4822335] ; [37.4822335 66.5177665],0
b3,1,0.30062,1.071444,[37 56] ; [34 70],[33.5177665 59.4822335] ; [37.4822335 66.5177665],0
p12,1,0.313308,1.016679,[ 11 155] ; [  7 162],[  8.91940299 157.08059701] ; [  9.08059701 159.91940299],0
b5,1,0.353635,0.860371,[108  59] ; [101  68],[103.87797619  63.12202381] ; [105.12202381  63.87797619],0
d2,1,0.388283,0.744313,[79 85] ; [73 95],[75.08433735 88.91566265] ; [76.91566265 91.08433735],0
s1,1,0.395856,0.720879,[  8 156] ; [  5 159],[  6.5 157.5] ; [  6.5 157.5],0
u3,1,0.433373,0.613767,[34 31] ; [22 27],[31.92982456 33.07017544] ; [24.07017544 24.92982456],0
n2,1,0.465691,0.532183,[47 17] ; [35  9],[48.59259259 15.40740741] ; [33.40740741 10.59259259],0
a4,1,0.48631,0.48468,[74 91] ; [69 99],[70.85585586 94.14414414] ; [72.14414414 95.85585586],0
p1,1,0.507313,0.439605,[ 13 154] ; [ 10 158],[ 11.46567164 155.53432836] ; [ 11.53432836 156.46567164],0
u1,1,0.58871,0.292364,[ 22 145] ; [ 19 150],[ 20.37797619 146.62202381] ; [ 20.62202381 148.37797619],0
b1,1,0.634971,0.22538,[ 62 105] ; [ 67 102],[ 64.11607143 102.88392857] ; [ 64.88392857 104.11607143],0
n1,1,0.636087,0.223897,[28 34] ; [17 25],[26.82692308 35.17307692] ; [18.17307692 23.82692308],0
n4,1,0.640724,0.217796,[138  29] ; [142  26],[139.58208955  27.41791045] ; [140.41791045  27.58208955],0
a2,1,0.649566,0.206447,[ 38 129] ; [ 35 134],[ 36.2827381 130.7172619] ; [ 36.7172619 132.2827381],0
n6,1,0.7323,0.117011,[137  29] ; [141  27],[138.16766467  27.83233533] ; [139.83233533  28.16766467],0
a6,1,0.762702,0.091165,[109  58] ; [107  61],[107.67761194  59.32238806] ; [108.32238806  59.67761194],0
a7,1,0.815308,0.054562,[108  58] ; [112  57],[109.01492537  56.98507463] ; [110.98507463  58.01492537],0
s4,1,0.895095,0.017387,[ 24 141] ; [ 25 141],[ 24.42598187 140.57401813] ; [ 24.57401813 141.42598187],0
a5,1,0.941764,0.005337,[115  52] ; [117  52],[115.30952381  51.69047619] ; [116.69047619  52.30952381],0
u4,1,0.988262,0.000216,[  3 164] ; [  3 166],[  2.98214286 164.01785714] ; [  3.01785714 165.98214286],0
v3,1,1.0,0.0,[ 54 108] ; [ 54 108],[ 54. 108.] ; [ 54. 108.],0
