Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,35.446889,[113 112] ; [72 10],[135.58631922  89.41368078] ; [49.41368078 32.58631922],1
s7,1,3e-06,21.604165,[ 86 131] ; [56 24],[103.75084175 113.24915825] ; [38.24915825 41.75084175],1
p5,1,9.2e-05,15.284917,[ 11 216] ; [16 69],[ 19.64423077 207.35576923] ; [ 7.35576923 77.64423077],1
s2,1,0.00017,14.141402,[ 85 142] ; [52 33],[ 99.67628205 127.32371795] ; [37.32371795 47.67628205],1
n6,1,0.001465,10.121905,[182  44] ; [80  4],[191.00645161  34.99354839] ; [70.99354839 13.00645161],0
s4,1,0.001935,9.609985,[ 25 200] ; [21 62],[ 33.6038961 191.3961039] ; [12.3961039 70.6038961],0
p6,1,0.002354,9.25109,[ 55 168] ; [36 49],[ 65.88636364 157.11363636] ; [25.11363636 59.88636364],0
p4,1,0.00324,8.667017,[105 120] ; [55 29],[116.50485437 108.49514563] ; [43.49514563 40.50485437],0
p9,1,0.004002,8.282822,[162  63] ; [72 10],[171.49837134  53.50162866] ; [62.50162866 19.49837134],0
n5,1,0.005102,7.842958,[175  50] ; [77  7],[183.49514563  41.50485437] ; [68.50485437 15.49514563],0
p10,1,0.010665,6.520236,[158  67] ; [71 13],[166.74757282  58.25242718] ; [62.25242718 21.74757282],0
r1,1,0.012093,6.297119,[164  63] ; [73 12],[172.43269231  54.56730769] ; [64.56730769 20.43269231],0
s3,1,0.017418,5.653709,[110 114] ; [54 30],[119.27272727 104.72727273] ; [44.72727273 39.27272727],0
p3,1,0.019446,5.460926,[ 89 137] ; [46 39],[ 98.10289389 127.89710611] ; [36.89710611 48.10289389],0
s8,1,0.01993,5.418028,[ 73 154] ; [39 45],[ 81.74919614 145.25080386] ; [30.25080386 53.74919614],0
p2,1,0.025729,4.974127,[164  62] ; [72 13],[171.49839228  54.50160772] ; [64.50160772 20.49839228],0
p7,1,0.026124,4.947791,[120 105] ; [56 27],[128.57142857  96.42857143] ; [47.42857143 35.57142857],0
r4,1,0.035368,4.427344,[183  44] ; [77  8],[189.16666667  37.83333333] ; [70.83333333 14.16666667],0
p12,1,0.061034,3.509073,[ 11 216] ; [ 9 75],[ 14.59807074 212.40192926] ; [ 5.40192926 78.59807074],0
u1,1,0.062282,3.475541,[ 31 196] ; [19 66],[ 36.37820513 190.62179487] ; [13.62179487 71.37820513],0
u3,1,0.064044,3.429438,[27 43] ; [15 10],[30.94736842 39.05263158] ; [11.05263158 13.94736842],0
r2,1,0.068083,3.328655,[196  26] ; [80  4],[200.23529412  21.76470588] ; [75.76470588  8.23529412],0
n2,1,0.077353,3.119664,[43 24] ; [17  3],[46.20689655 20.79310345] ; [13.79310345  6.20689655],0
v4,1,0.104653,2.633163,[199  28] ; [79  5],[202.91318328  24.08681672] ; [75.08681672  8.91318328],0
a5,1,0.122315,2.387425,[159  68] ; [67 18],[164.42948718  62.57051282] ; [61.57051282 23.42948718],0
n3,1,0.147299,2.1,[40 24] ; [16  4],[42.66666667 21.33333333] ; [13.33333333  6.66666667],0
d2,1,0.189046,1.725036,[107 118] ; [47 37],[112.13592233 112.86407767] ; [41.86407767 42.13592233],0
a4,1,0.209418,1.575443,[ 99 127] ; [44 41],[103.91639871 122.08360129] ; [39.08360129 45.91639871],0
p1,1,0.223877,1.479348,[ 17 209] ; [10 74],[ 19.68387097 206.31612903] ; [ 7.31612903 76.68387097],0
v2,1,0.254907,1.296209,[ 83 135] ; [38 46],[ 87.34437086 130.65562914] ; [33.65562914 50.34437086],0
s1,1,0.262866,1.253599,[  9 216] ; [ 6 79],[ 10.88709677 214.11290323] ; [ 4.11290323 80.88709677],0
b5,1,0.348754,0.877987,[123 104] ; [41 44],[119.32051282 107.67948718] ; [44.67948718 40.32051282],0
b2,1,0.35537,0.854191,[42 92] ; [20 32],[44.66666667 89.33333333] ; [17.33333333 34.66666667],0
b3,1,0.35537,0.854191,[42 92] ; [20 32],[44.66666667 89.33333333] ; [17.33333333 34.66666667],0
p8,1,0.425883,0.634024,[ 97 128] ; [40 43],[100.08116883 124.91883117] ; [36.91883117 46.08116883],0
v3,1,0.457173,0.552806,[ 64 157] ; [28 56],[ 66.66229508 154.33770492] ; [25.33770492 58.66229508],0
u2,1,0.471668,0.518065,[34 37] ; [13 10],[35.5 35.5] ; [11.5 11.5],0
a2,1,0.525804,0.402494,[ 51 176] ; [22 63],[ 53.11217949 173.88782051] ; [19.88782051 65.11217949],0
r3,1,0.600529,0.274199,[200  27] ; [74  8],[201.28802589  25.71197411] ; [72.71197411  9.28802589],0
d3,1,0.61815,0.248476,[142  84] ; [56 29],[143.88424437  82.11575563] ; [54.11575563 30.88424437],0
d5,1,0.663182,0.189681,[178  48] ; [65 20],[176.585209  49.414791] ; [66.414791 18.585209],0
p11,1,0.698724,0.149803,[166  61] ; [64 21],[167.33974359  59.66025641] ; [62.66025641 22.33974359],0
n1,1,0.739057,0.110957,[25 41] ; [ 8 11],[25.62352941 40.37647059] ; [ 7.37647059 11.62352941],0
a8,1,0.764587,0.089678,[ 31 182] ; [10 66],[ 30.21799308 182.78200692] ; [10.78200692 65.21799308],0
b4,1,0.770543,0.085068,[135  92] ; [49 36],[133.87179487  93.12820513] ; [50.12820513 34.87179487],0
