Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.003932,8.315028,[11  3] ; [ 3 10],[7.25925926 6.74074074] ; [6.74074074 6.25925926],0
p6,1,0.006459,7.417582,[8 6] ; [ 1 12],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
r3,1,0.00792,7.051583,[13  1] ; [6 7],[9.85185185 4.14814815] ; [9.14814815 3.85185185],0
s7,1,0.020479,5.370629,[7 6] ; [ 1 10],[4.33333333 8.66666667] ; [3.66666667 7.33333333],0
p8,1,0.035366,4.427401,[6 7] ; [ 1 11],[3.64 9.36] ; [3.36 8.64],0
v3,1,0.062617,3.466667,[5 8] ; [ 1 12],[ 3. 10.] ; [ 3. 10.],0
p4,1,0.071855,3.240135,[8 6] ; [ 3 10],[5.7037037 8.2962963] ; [5.2962963 7.7037037],0
v1,1,0.080123,3.062402,[5 9] ; [ 1 12],[ 3.11111111 10.88888889] ; [ 2.88888889 10.11111111],0
r4,1,0.147758,2.095249,[7 7] ; [ 3 10],[5.18518519 8.81481481] ; [4.81481481 8.18518519],0
s4,1,0.162862,1.947453,[ 4 10] ; [ 1 12],[ 2.59259259 11.40740741] ; [ 2.40740741 10.59259259],0
a4,1,0.173273,1.854396,[ 3 11] ; [6 7],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
p2,1,0.17964,1.800598,[9 5] ; [5 8],[7.25925926 6.74074074] ; [6.74074074 6.25925926],0
s2,1,0.17964,1.800598,[9 5] ; [5 8],[7.25925926 6.74074074] ; [6.74074074 6.25925926],0
p11,1,0.17964,1.800598,[9 5] ; [5 8],[7.25925926 6.74074074] ; [6.74074074 6.25925926],0
n6,1,0.181709,1.783591,[10  4] ; [6 7],[8.2962963 5.7037037] ; [7.7037037 5.2962963],0
p9,1,0.181709,1.783591,[10  4] ; [6 7],[8.2962963 5.7037037] ; [7.7037037 5.2962963],0
s1,1,0.24421,1.356128,[ 1 13] ; [ 3 10],[ 2.07407407 11.92592593] ; [ 1.92592593 11.07407407],0
u2,1,0.270289,1.215278,[2 1] ; [1 3],[1.28571429 1.71428571] ; [1.71428571 2.28571429],0
s5,1,0.275017,1.19155,[5 9] ; [ 2 10],[ 3.76923077 10.23076923] ; [3.23076923 8.76923077],0
n1,1,0.283977,1.147959,[1 1] ; [6 1],[1.55555556 0.44444444] ; [5.44444444 1.55555556],0
p10,1,0.343446,0.897527,[9 5] ; [6 7],[7.77777778 6.22222222] ; [7.22222222 5.77777778],0
n5,1,0.344503,0.893601,[10  4] ; [7 6],[8.81481481 5.18518519] ; [8.18518519 4.81481481],0
b3,1,0.387094,0.748052,[3 7] ; [4 4],[3.88888889 6.11111111] ; [3.11111111 4.88888889],0
b2,1,0.387094,0.748052,[3 7] ; [4 4],[3.88888889 6.11111111] ; [3.11111111 4.88888889],0
p3,1,0.54659,0.363462,[7 7] ; [5 8],[6.22222222 7.77777778] ; [5.77777778 7.22222222],0
a5,1,0.54659,0.363462,[7 7] ; [8 5],[7.77777778 6.22222222] ; [7.22222222 5.77777778],0
b1,1,0.54659,0.363462,[7 7] ; [8 5],[7.77777778 6.22222222] ; [7.22222222 5.77777778],0
d3,1,0.54659,0.363462,[7 7] ; [8 5],[7.77777778 6.22222222] ; [7.22222222 5.77777778],0
d2,1,0.54659,0.363462,[7 7] ; [8 5],[7.77777778 6.22222222] ; [7.22222222 5.77777778],0
a7,1,0.567996,0.326048,[6 8] ; [7 6],[6.74074074 7.25925926] ; [6.25925926 6.74074074],0
b5,1,0.567996,0.326048,[8 6] ; [6 7],[7.25925926 6.74074074] ; [6.74074074 6.25925926],0
d1,1,0.567996,0.326048,[6 8] ; [7 6],[6.74074074 7.25925926] ; [6.25925926 6.74074074],0
a3,1,0.579997,0.30624,[11  3] ; [9 4],[10.37037037  3.62962963] ; [9.62962963 3.37037037],0
p1,1,0.585957,0.296703,[ 2 12] ; [ 1 12],[ 1.55555556 12.44444444] ; [ 1.44444444 11.55555556],0
n3,1,0.67329,0.177778,[1 1] ; [4 2],[1.25 0.75] ; [3.75 2.25],0
a8,1,0.758742,0.094331,[ 3 11] ; [ 2 10],[ 2.69230769 11.30769231] ; [2.30769231 9.69230769],0
p7,1,0.841596,0.039941,[7 7] ; [6 7],[6.74074074 7.25925926] ; [6.25925926 6.74074074],0
a6,1,0.841596,0.039941,[7 7] ; [6 7],[6.74074074 7.25925926] ; [6.25925926 6.74074074],0
r1,1,0.841596,0.039941,[7 7] ; [6 7],[6.74074074 7.25925926] ; [6.25925926 6.74074074],0
n2,1,0.857714,0.032143,[1 1] ; [4 3],[1.11111111 0.88888889] ; [3.88888889 3.11111111],0
n4,1,0.882577,0.021816,[9 5] ; [8 5],[8.81481481 5.18518519] ; [8.18518519 4.81481481],0
d5,1,0.882577,0.021816,[9 5] ; [8 5],[8.81481481 5.18518519] ; [8.18518519 4.81481481],0
r2,1,0.898768,0.016184,[9 5] ; [8 4],[9.15384615 4.84615385] ; [7.84615385 4.15384615],0
b4,1,0.900552,0.015616,[10  4] ; [9 4],[9.85185185 4.14814815] ; [9.14814815 3.85185185],0
d4,1,0.918011,0.010597,[11  3] ; [10  3],[10.88888889  3.11111111] ; [10.11111111  2.88888889],0
