Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.007363,7.182095,[13 34] ; [15 10],[18.27777778 28.72222222] ; [ 9.72222222 15.27777778],0
p1,1,0.008922,6.838336,[ 2 45] ; [ 6 18],[ 5.29577465 41.70422535] ; [ 2.70422535 21.29577465],0
p4,1,0.010509,6.546571,[23 24] ; [20  5],[28.06944444 18.93055556] ; [14.93055556 10.06944444],0
p3,1,0.014872,5.931574,[16 31] ; [16  9],[20.88888889 26.11111111] ; [11.11111111 13.88888889],0
p7,1,0.021033,5.324074,[25 20] ; [20  4],[29.34782609 15.65217391] ; [15.65217391  8.34782609],0
p8,1,0.031636,4.618136,[19 27] ; [17  8],[23.32394366 22.67605634] ; [12.67605634 12.32394366],0
s5,1,0.039339,4.246154,[16 30] ; [14  9],[20. 26.] ; [10. 13.],0
a4,1,0.040644,4.190786,[13 34] ; [13 12],[16.97222222 30.02777778] ; [ 9.02777778 15.97222222],0
v3,1,0.068421,3.320497,[16 26] ; [ 4 20],[12.72727273 29.27272727] ; [ 7.27272727 16.72727273],0
s2,1,0.084401,2.978043,[26 21] ; [19  6],[29.375 17.625] ; [15.625  9.375],0
a6,1,0.125578,2.34634,[33 14] ; [13 12],[30.02777778 16.97222222] ; [15.97222222  9.02777778],0
a7,1,0.145537,2.118419,[39  8] ; [17  8],[36.55555556 10.44444444] ; [19.44444444  5.55555556],0
n1,1,0.151825,2.053819,[ 5 11] ; [7 5],[6.85714286 9.14285714] ; [5.14285714 6.85714286],0
d2,1,0.206688,1.594477,[19 28] ; [14 11],[21.54166667 25.45833333] ; [11.45833333 13.54166667],0
v4,1,0.231968,1.428755,[41  6] ; [24  1],[42.43055556  4.56944444] ; [22.56944444  2.43055556],0
u1,1,0.274146,1.195882,[ 5 42] ; [ 5 20],[ 6.52777778 40.47222222] ; [ 3.47222222 21.52777778],0
b4,1,0.309433,1.033095,[32 15] ; [14 11],[30.02777778 16.97222222] ; [15.97222222  9.02777778],0
r4,1,0.338877,0.914675,[40  7] ; [19  6],[38.51388889  8.48611111] ; [20.48611111  4.51388889],0
d4,1,0.354335,0.857872,[35 12] ; [21  4],[36.55555556 10.44444444] ; [19.44444444  5.55555556],0
d1,1,0.360255,0.837005,[21 26] ; [14 11],[22.84722222 24.15277778] ; [12.15277778 12.84722222],0
b5,1,0.377876,0.7776,[25 22] ; [16  9],[26.76388889 20.23611111] ; [14.23611111 10.76388889],0
b1,1,0.426614,0.632024,[18 29] ; [12 13],[19.58333333 27.41666667] ; [10.41666667 14.58333333],0
n2,1,0.42956,0.624013,[12  5] ; [10  2],[12.89655172  4.10344828] ; [9.10344828 2.89655172],0
r1,1,0.464512,0.535,[34 13] ; [16  9],[32.63888889 14.36111111] ; [17.36111111  7.63888889],0
u2,1,0.539222,0.376984,[10  2] ; [5 2],[9.47368421 2.52631579] ; [5.52631579 1.47368421],0
n5,1,0.541173,0.37337,[18 29] ; [11 13],[19.1971831 27.8028169] ; [ 9.8028169 14.1971831],0
p11,1,0.590384,0.289745,[33 14] ; [16  9],[31.98611111 15.01388889] ; [17.01388889  7.98611111],0
d5,1,0.598746,0.276892,[35 12] ; [20  5],[35.90277778 11.09722222] ; [19.09722222  5.90277778],0
s6,1,0.629418,0.232851,[38  9] ; [19  6],[37.20833333  9.79166667] ; [19.79166667  5.20833333],0
r3,1,0.634216,0.226387,[43  4] ; [22  3],[42.43055556  4.56944444] ; [22.56944444  2.43055556],0
b3,1,0.651111,0.204503,[13 14] ; [ 7 10],[12.27272727 14.72727273] ; [7.72727273 9.27272727],0
b2,1,0.651111,0.204503,[13 14] ; [ 7 10],[12.27272727 14.72727273] ; [7.72727273 9.27272727],0
d3,1,0.699671,0.148815,[34 13] ; [17  8],[33.29166667 13.70833333] ; [17.70833333  7.29166667],0
p9,1,0.710635,0.137644,[37  9] ; [21  4],[37.57746479  8.42253521] ; [20.42253521  4.57746479],0
s8,1,0.723448,0.125213,[30 17] ; [17  8],[30.68055556 16.31944444] ; [16.31944444  8.68055556],0
p10,1,0.754405,0.097867,[39  8] ; [20  5],[38.51388889  8.48611111] ; [20.48611111  4.51388889],0
u3,1,0.786648,0.07326,[10  3] ; [5 2],[9.75 3.25] ; [5.25 1.75],0
a2,1,0.791293,0.07003,[10 37] ; [ 6 19],[10.44444444 36.55555556] ; [ 5.55555556 19.44444444],0
p5,1,0.816129,0.054069,[ 3 43] ; [ 2 23],[ 3.23943662 42.76056338] ; [ 1.76056338 23.23943662],0
n3,1,0.819872,0.051852,[10  6] ; [8 4],[10.28571429  5.71428571] ; [7.71428571 4.28571429],0
s3,1,0.868082,0.027588,[31 16] ; [16  9],[30.68055556 16.31944444] ; [16.31944444  8.68055556],0
v2,1,0.895806,0.017151,[22 19] ; [13 12],[21.74242424 19.25757576] ; [13.25757576 11.74242424],0
n6,1,0.90384,0.014596,[32 15] ; [16  8],[31.77464789 15.22535211] ; [16.22535211  7.77464789],0
r2,1,0.940504,0.005571,[43  4] ; [23  2],[43.08333333  3.91666667] ; [22.91666667  2.08333333],0
p2,1,0.954809,0.003211,[36 11] ; [19  6],[35.90277778 11.09722222] ; [19.09722222  5.90277778],0
a8,1,0.957096,0.002894,[ 4 40] ; [ 2 21],[ 3.94029851 40.05970149] ; [ 2.05970149 20.94029851],0
a3,1,0.975506,0.000943,[34 13] ; [18  7],[33.94444444 13.05555556] ; [18.05555556  6.94444444],0
a5,1,0.988578,0.000205,[30 17] ; [16  9],[30.02777778 16.97222222] ; [15.97222222  9.02777778],0
v1,1,0.988821,0.000196,[24 22] ; [13 12],[23.97183099 22.02816901] ; [13.02816901 11.97183099],0
