Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,5e-06,20.799888,[ 7 17] ; [66 18],[16.22222222  7.77777778] ; [56.77777778 27.22222222],1
n5,1,0.001012,10.805895,[10 13] ; [66 18],[16.3364486  6.6635514] ; [59.6635514 24.3364486],0
r4,1,0.003681,8.435076,[15  9] ; [74 10],[19.77777778  4.22222222] ; [69.22222222 14.77777778],0
s6,1,0.005553,7.689966,[ 8 16] ; [54 29],[13.90654206 10.09345794] ; [48.09345794 34.90654206],0
s8,1,0.006185,7.495479,[ 5 19] ; [44 40],[10.88888889 13.11111111] ; [38.11111111 45.88888889],0
s5,1,0.01666,5.731864,[ 2 19] ; [29 50],[ 6.51 14.49] ; [24.49 54.51],0
r3,1,0.02655,4.919825,[19  5] ; [79  5],[21.77777778  2.22222222] ; [76.22222222  7.77777778],0
r2,1,0.029839,4.718517,[19  5] ; [77  5],[21.73584906  2.26415094] ; [74.26415094  7.73584906],0
s4,1,0.04817,3.904048,[ 2 22] ; [23 60],[ 5.60747664 18.39252336] ; [19.39252336 63.60747664],0
a6,1,0.084837,2.96971,[12 12] ; [58 26],[15.55555556  8.44444444] ; [54.44444444 29.55555556],0
p11,1,0.084978,2.967033,[14 10] ; [64 20],[17.33333333  6.66666667] ; [60.66666667 23.33333333],0
u1,1,0.095907,2.772321,[ 1 23] ; [15 69],[ 3.55555556 20.44444444] ; [12.44444444 71.55555556],0
n3,1,0.097254,2.75,[6 5] ; [18  4],[8. 3.] ; [16.  6.],0
p4,1,0.110793,2.542871,[ 5 18] ; [33 50],[ 8.24528302 14.75471698] ; [29.75471698 53.24528302],0
a5,1,0.111049,2.539223,[13 11] ; [60 24],[16.22222222  7.77777778] ; [56.77777778 27.22222222],0
v2,1,0.113684,2.502249,[ 9 12] ; [49 30],[12.18  8.82] ; [45.82 33.18],0
s7,1,0.129728,2.295762,[ 7 15] ; [40 40],[10.1372549 11.8627451] ; [36.8627451 43.1372549],0
d2,1,0.164169,1.935398,[ 8 16] ; [41 42],[10.99065421 13.00934579] ; [38.00934579 44.99065421],0
p3,1,0.166163,1.917227,[ 6 18] ; [34 50],[ 8.88888889 15.11111111] ; [31.11111111 52.88888889],0
p6,1,0.223215,1.483581,[ 3 20] ; [21 63],[ 5.1588785 17.8411215] ; [18.8411215 65.1588785],0
p12,1,0.268998,1.22185,[ 1 23] ; [10 74],[ 2.44444444 21.55555556] ; [ 8.55555556 75.44444444],0
a7,1,0.271785,1.207716,[14 10] ; [59 25],[16.22222222  7.77777778] ; [56.77777778 27.22222222],0
r1,1,0.280085,1.166677,[15  9] ; [62 22],[17.11111111  6.88888889] ; [59.88888889 24.11111111],0
a2,1,0.32971,0.950035,[ 3 21] ; [18 66],[ 4.66666667 19.33333333] ; [16.33333333 67.66666667],0
v3,1,0.33424,0.932401,[ 6 16] ; [30 48],[ 7.92 14.08] ; [28.08 49.92],0
v4,1,0.402348,0.701299,[21  3] ; [78  6],[22.  2.] ; [77.  7.],0
d5,1,0.402348,0.701299,[15  9] ; [60 24],[16.66666667  7.33333333] ; [58.33333333 25.66666667],0
b5,1,0.428768,0.62616,[13 11] ; [53 31],[14.66666667  9.33333333] ; [51.33333333 32.66666667],0
d1,1,0.439694,0.597081,[11 13] ; [46 38],[12.66666667 11.33333333] ; [44.33333333 39.66666667],0
p5,1,0.495204,0.465199,[ 1 22] ; [ 7 74],[ 1.76923077 21.23076923] ; [ 6.23076923 74.76923077],0
a4,1,0.500097,0.454731,[ 9 15] ; [38 46],[10.44444444 13.55555556] ; [36.55555556 47.44444444],0
n2,1,0.522618,0.408723,[10  1] ; [19  4],[9.38235294 1.61764706] ; [19.61764706  3.38235294],0
s3,1,0.539196,0.377033,[14 10] ; [42 40],[12.67924528 11.32075472] ; [43.32075472 38.67924528],0
v1,1,0.545972,0.364583,[ 9 15] ; [36 45],[10.28571429 13.71428571] ; [34.71428571 46.28571429],0
p9,1,0.554573,0.349188,[20  4] ; [73 10],[20.85981308  3.14018692] ; [72.14018692 10.85981308],0
b4,1,0.564793,0.331473,[13 11] ; [51 33],[14.22222222  9.77777778] ; [49.77777778 34.22222222],0
d4,1,0.59298,0.285714,[19  5] ; [62 22],[18.  6.] ; [63. 21.],0
d3,1,0.638729,0.220408,[13 11] ; [50 34],[14. 10.] ; [49. 35.],0
s1,1,0.648021,0.208404,[ 2 21] ; [ 5 78],[ 1.51886792 21.48113208] ; [ 5.48113208 77.51886792],0
p8,1,0.652304,0.203008,[ 8 16] ; [24 60],[ 7.11111111 16.88888889] ; [24.88888889 59.11111111],0
n1,1,0.678187,0.172174,[4 6] ; [11 12],[4.54545455 5.45454545] ; [10.45454545 12.54545455],0
a3,1,0.700507,0.147945,[17  7] ; [56 28],[16.22222222  7.77777778] ; [56.77777778 27.22222222],0
b1,1,0.715814,0.132539,[11 13] ; [35 49],[10.22222222 13.77777778] ; [35.77777778 48.22222222],0
b2,1,0.73593,0.113736,[4 9] ; [20 36],[4.52173913 8.47826087] ; [19.47826087 36.52173913],0
b3,1,0.73593,0.113736,[4 9] ; [20 36],[4.52173913 8.47826087] ; [19.47826087 36.52173913],0
a8,1,0.794973,0.067526,[ 2 22] ; [ 8 71],[ 2.33009709 21.66990291] ; [ 7.66990291 71.33009709],0
p1,1,0.806073,0.060268,[ 3 21] ; [ 9 75],[ 2.66666667 21.33333333] ; [ 9.33333333 74.66666667],0
a1,1,0.8443,0.038571,[ 2 22] ; [ 6 78],[ 1.77777778 22.22222222] ; [ 6.22222222 77.77777778],0
u2,1,0.865281,0.028783,[4 3] ; [15 13],[3.8 3.2] ; [15.2 12.8],0
u3,1,0.865281,0.028783,[4 3] ; [15 13],[3.8 3.2] ; [15.2 12.8],0
p7,1,0.937867,0.006076,[ 8 13] ; [32 50],[ 8.15533981 12.84466019] ; [31.84466019 50.15533981],0
s2,1,1.0,0.0,[12 12] ; [41 41],[12. 12.] ; [41. 41.],0
