Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.46874,[83 12] ; [4 8],[77.24299065 17.75700935] ; [9.75700935 2.24299065],1
r2,1,0.000161,14.244481,[88  7] ; [6 5],[84.24528302 10.75471698] ; [9.75471698 1.24528302],1
r3,1,0.001044,10.748718,[89  5] ; [8 4],[86.01886792  7.98113208] ; [10.98113208  1.01886792],0
p2,1,0.002251,9.332422,[72 23] ; [4 8],[67.47663551 27.52336449] ; [8.52336449 3.47663551],0
r1,1,0.007139,7.237589,[74 21] ; [5 7],[70.14018692 24.85981308] ; [8.85981308 3.14018692],0
n4,1,0.007794,7.080295,[68 27] ; [4 8],[63.92523364 31.07476636] ; [8.07476636 3.92523364],0
n2,1,0.045573,3.997321,[26  6] ; [2 3],[24.21621622  7.78378378] ; [3.78378378 1.21621622],0
s2,1,0.050933,3.810484,[34 59] ; [ 1 11],[31. 62.] ; [4. 8.],0
p7,1,0.082573,3.01352,[48 45] ; [3 9],[45.17142857 47.82857143] ; [5.82857143 6.17142857],0
p6,1,0.08728,2.923844,[30 63] ; [ 1 11],[27.45714286 65.54285714] ; [3.54285714 8.45714286],0
s8,1,0.090818,2.859809,[30 64] ; [ 1 11],[27.49056604 66.50943396] ; [3.50943396 8.49056604],0
p4,1,0.101574,2.680654,[39 56] ; [ 2 10],[36.40186916 58.59813084] ; [4.59813084 7.40186916],0
v3,1,0.102961,2.659067,[29 65] ; [ 1 11],[26.60377358 67.39622642] ; [3.39622642 8.60377358],0
p3,1,0.120561,2.410019,[28 67] ; [ 1 11],[25.74766355 69.25233645] ; [3.25233645 8.74766355],0
n5,1,0.123524,2.372053,[54 41] ; [4 8],[51.4953271 43.5046729] ; [6.5046729 5.4953271],0
n6,1,0.154995,2.022394,[71 24] ; [6 5],[69.00943396 25.99056604] ; [7.99056604 3.00943396],0
s3,1,0.184112,1.764113,[42 51] ; [3 9],[39.85714286 53.14285714] ; [5.14285714 6.85714286],0
s5,1,0.191945,1.702628,[23 68] ; [ 1 11],[21.2038835 69.7961165] ; [2.7961165 9.2038835],0
u3,1,0.192553,1.697973,[23 16] ; [1 3],[21.76744186 17.23255814] ; [2.23255814 1.76744186],0
u4,1,0.218151,1.516495,[ 2 93] ; [ 1 11],[ 2.6635514 92.3364486] ; [ 0.3364486 11.6635514],0
s6,1,0.276528,1.184076,[47 47] ; [4 8],[45.22641509 48.77358491] ; [5.77358491 6.22641509],0
a5,1,0.285836,1.13913,[55 40] ; [5 7],[53.27102804 41.72897196] ; [6.72897196 5.27102804],0
v1,1,0.362474,0.829304,[39 55] ; [3 8],[37.6 56.4] ; [4.4 6.6],0
p5,1,0.373188,0.793023,[ 3 92] ; [ 1 11],[ 3.55140187 91.44859813] ; [ 0.44859813 11.55140187],0
s1,1,0.38438,0.756647,[ 3 90] ; [ 1 11],[ 3.54285714 89.45714286] ; [ 0.45714286 11.54285714],0
b4,1,0.419256,0.6524,[60 35] ; [9 3],[61.26168224 33.73831776] ; [7.73831776 4.26168224],0
d4,1,0.457241,0.55264,[69 25] ; [10  2],[70.05660377 23.94339623] ; [8.94339623 3.05660377],0
a6,1,0.461826,0.541466,[58 37] ; [6 6],[56.82242991 38.17757009] ; [7.17757009 4.82242991],0
a7,1,0.479712,0.499517,[57 37] ; [6 6],[55.86792453 38.13207547] ; [7.13207547 4.86792453],0
a2,1,0.494948,0.465753,[15 80] ; [ 1 11],[14.20560748 80.79439252] ; [ 1.79439252 10.20560748],0
n1,1,0.523103,0.407771,[11 21] ; [1 4],[10.37837838 21.62162162] ; [1.62162162 3.37837838],0
p1,1,0.537043,0.381048,[ 4 89] ; [ 1 11],[ 4.42857143 88.57142857] ; [ 0.57142857 11.42857143],0
d2,1,0.539813,0.375887,[46 48] ; [7 5],[47. 47.] ; [6. 6.],0
u1,1,0.54715,0.362448,[14 81] ; [ 1 11],[13.31775701 81.68224299] ; [ 1.68224299 10.31775701],0
a8,1,0.58334,0.300866,[13 72] ; [ 1 10],[12.39583333 72.60416667] ; [1.60416667 9.39583333],0
b1,1,0.607306,0.264117,[39 56] ; [4 8],[38.17757009 56.82242991] ; [4.82242991 7.17757009],0
a3,1,0.607306,0.264117,[56 39] ; [8 4],[56.82242991 38.17757009] ; [7.17757009 4.82242991],0
s4,1,0.651022,0.204613,[12 81] ; [ 1 11],[11.51428571 81.48571429] ; [ 1.48571429 10.51428571],0
p9,1,0.652115,0.203244,[40 52] ; [4 7],[39.30097087 52.69902913] ; [4.69902913 6.30097087],0
v2,1,0.68766,0.161631,[44 48] ; [5 7],[43.34615385 48.65384615] ; [5.65384615 6.34615385],0
s7,1,0.720014,0.128479,[30 62] ; [3 8],[29.47572816 62.52427184] ; [3.52427184 7.47572816],0
n3,1,0.730731,0.118442,[24  9] ; [4 1],[24.31578947  8.68421053] ; [3.68421053 1.31578947],0
b5,1,0.758285,0.0947,[59 36] ; [8 4],[59.48598131 35.51401869] ; [7.51401869 4.48598131],0
d1,1,0.809534,0.058094,[44 51] ; [6 6],[44.39252336 50.60747664] ; [5.60747664 6.39252336],0
d5,1,0.902115,0.015126,[65 30] ; [8 4],[64.81308411 30.18691589] ; [8.18691589 3.81308411],0
p8,1,0.941127,0.005454,[32 61] ; [4 8],[31.88571429 61.11428571] ; [4.11428571 7.88571429],0
a4,1,0.967509,0.001659,[39 56] ; [5 7],[39.06542056 55.93457944] ; [4.93457944 7.06542056],0
d3,1,0.976864,0.000841,[55 40] ; [7 5],[55.04672897 39.95327103] ; [6.95327103 5.04672897],0
