Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9.3e-05,15.272527,[ 7 16] ; [59 20],[14.88235294  8.11764706] ; [51.11764706 27.88235294],1
b4,1,0.000709,11.466714,[ 6 17] ; [52 27],[13.07843137  9.92156863] ; [44.92156863 34.07843137],1
v4,1,0.008143,7.001751,[16  7] ; [72  7],[19.84313725  3.15686275] ; [68.15686275 10.84313725],0
s7,1,0.015412,5.868783,[ 5 17] ; [38 35],[ 9.95789474 12.04210526] ; [33.04210526 39.95789474],0
p6,1,0.04259,4.11162,[ 6 17] ; [39 39],[10.24752475 12.75247525] ; [34.75247525 43.24752475],0
n5,1,0.069101,3.304257,[13 10] ; [60 19],[16.46078431  6.53921569] ; [56.53921569 22.46078431],0
d5,1,0.069101,3.304257,[13 10] ; [60 19],[16.46078431  6.53921569] ; [56.53921569 22.46078431],0
p12,1,0.182784,1.774842,[ 3 20] ; [ 4 75],[ 1.57843137 21.42156863] ; [ 5.42156863 73.57843137],0
a6,1,0.195809,1.673363,[16  7] ; [43 36],[13.30392157  9.69607843] ; [45.69607843 33.30392157],0
r3,1,0.204427,1.610461,[18  5] ; [70  9],[19.84313725  3.15686275] ; [68.15686275 10.84313725],0
d1,1,0.216861,1.525023,[ 8 15] ; [39 40],[10.59803922 12.40196078] ; [36.40196078 42.59803922],0
p10,1,0.245258,1.350117,[15  8] ; [61 18],[17.1372549  5.8627451] ; [58.8627451 20.1372549],0
b2,1,0.263601,1.249748,[ 3 12] ; [18 33],[ 4.77272727 10.22727273] ; [16.22727273 34.77272727],0
b3,1,0.263601,1.249748,[ 3 12] ; [18 33],[ 4.77272727 10.22727273] ; [16.22727273 34.77272727],0
n6,1,0.309675,1.03206,[17  6] ; [65 13],[18.67326733  4.32673267] ; [63.32673267 14.67326733],0
s8,1,0.327044,0.960568,[ 7 16] ; [33 46],[ 9.01960784 13.98039216] ; [30.98039216 48.01960784],0
a5,1,0.336525,0.923626,[12 11] ; [50 29],[13.98039216  9.01960784] ; [48.01960784 30.98039216],0
a3,1,0.336525,0.923626,[12 11] ; [50 29],[13.98039216  9.01960784] ; [48.01960784 30.98039216],0
b5,1,0.396413,0.71918,[12 11] ; [49 30],[13.75490196  9.24509804] ; [47.24509804 31.75490196],0
a1,1,0.417501,0.65734,[ 3 20] ; [ 6 73],[ 2.02941176 20.97058824] ; [ 6.97058824 72.02941176],0
n4,1,0.429835,0.62327,[14  9] ; [55 24],[15.55882353  7.44117647] ; [53.44117647 25.55882353],0
d2,1,0.442067,0.59091,[ 7 16] ; [31 48],[ 8.56862745 14.43137255] ; [29.43137255 49.56862745],0
a4,1,0.442067,0.59091,[ 7 16] ; [31 48],[ 8.56862745 14.43137255] ; [29.43137255 49.56862745],0
s4,1,0.458261,0.550138,[ 5 18] ; [12 67],[ 3.83333333 19.16666667] ; [13.16666667 65.83333333],0
p9,1,0.45865,0.549187,[17  6] ; [64 15],[18.26470588  4.73529412] ; [62.73529412 16.26470588],0
s2,1,0.477212,0.505228,[13 10] ; [38 41],[11.5 11.5] ; [39.5 39.5],0
s1,1,0.514684,0.424532,[ 2 21] ; [ 4 75],[ 1.35294118 21.64705882] ; [ 4.64705882 74.35294118],0
v2,1,0.519045,0.41579,[ 9 14] ; [36 41],[10.35 12.65] ; [34.65 42.35],0
a7,1,0.531561,0.391407,[12 11] ; [47 32],[13.30392157  9.69607843] ; [45.69607843 33.30392157],0
p2,1,0.576422,0.312055,[18  5] ; [65 13],[18.9009901  4.0990099] ; [64.0990099 13.9009901],0
p1,1,0.587763,0.293851,[ 1 22] ; [ 6 73],[ 1.57843137 21.42156863] ; [ 5.42156863 73.57843137],0
s5,1,0.647705,0.208806,[ 6 17] ; [23 51],[ 6.87628866 16.12371134] ; [22.12371134 51.87628866],0
s6,1,0.685238,0.164289,[15  8] ; [46 30],[14.17171717  8.82828283] ; [46.82828283 29.17171717],0
u3,1,0.723259,0.125392,[5 6] ; [15 14],[5.5 5.5] ; [14.5 14.5],0
n3,1,0.735785,0.113866,[6 3] ; [16  6],[6.38709677 2.61290323] ; [15.61290323  6.38709677],0
n2,1,0.735785,0.113866,[6 3] ; [16  6],[6.38709677 2.61290323] ; [15.61290323  6.38709677],0
p8,1,0.792651,0.0691,[11 11] ; [42 37],[11.54455446 10.45544554] ; [41.45544554 37.54455446],0
a8,1,0.821133,0.051116,[ 3 19] ; [ 9 67],[ 2.69387755 19.30612245] ; [ 9.30612245 66.69387755],0
p3,1,0.83258,0.044688,[14  9] ; [50 29],[14.43137255  8.56862745] ; [49.56862745 29.43137255],0
p11,1,0.841632,0.039923,[17  6] ; [60 19],[17.3627451  5.6372549] ; [59.6372549 19.3627451],0
s3,1,0.854602,0.033581,[11 12] ; [39 39],[11.38613861 11.61386139] ; [38.61386139 39.38613861],0
p7,1,0.866948,0.028068,[15  8] ; [53 26],[15.33333333  7.66666667] ; [52.66666667 26.33333333],0
p5,1,0.867299,0.027919,[ 4 18] ; [13 65],[ 3.74 18.26] ; [13.26 64.74],0
n1,1,0.873102,0.02551,[5 4] ; [11 10],[4.8 4.2] ; [11.2  9.8],0
v1,1,0.897878,0.016472,[11 12] ; [38 39],[11.27 11.73] ; [37.73 39.27],0
d3,1,0.905717,0.014029,[14  9] ; [47 32],[13.75490196  9.24509804] ; [47.24509804 31.75490196],0
v3,1,0.910506,0.012634,[ 6 17] ; [21 56],[ 6.21 16.79] ; [20.79 56.21],0
d4,1,0.962205,0.002245,[17  6] ; [58 21],[16.91176471  6.08823529] ; [58.08823529 20.91176471],0
u2,1,0.97161,0.001267,[6 5] ; [16 13],[6.05 4.95] ; [15.95 13.05],0
b1,1,0.981454,0.00054,[12 11] ; [41 38],[11.95098039 11.04901961] ; [41.04901961 37.95098039],0
