Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.024634,5.049408,[ 3 45] ; [14 51],[ 7.22123894 40.77876106] ; [ 9.77876106 55.22123894],0
a3,1,0.039308,4.247502,[30 18] ; [52 13],[34.83185841 13.16814159] ; [47.16814159 17.83185841],0
p1,1,0.047219,3.93758,[ 1 47] ; [ 8 57],[ 3.82300885 44.17699115] ; [ 5.17699115 59.82300885],0
b4,1,0.067164,3.350995,[34 14] ; [35 30],[29.30973451 18.69026549] ; [39.69026549 25.30973451],0
d3,1,0.082387,3.017166,[28 20] ; [48 17],[32.28318584 15.71681416] ; [43.71681416 21.28318584],0
d2,1,0.085224,2.962355,[30 18] ; [30 35],[25.48672566 22.51327434] ; [34.51327434 30.48672566],0
s6,1,0.101156,2.68722,[27 20] ; [47 18],[31.05357143 15.94642857] ; [42.94642857 22.05357143],0
p3,1,0.121725,2.394989,[21 27] ; [38 27],[25.0619469 22.9380531] ; [33.9380531 31.0619469],0
n5,1,0.140297,2.174695,[31 16] ; [51 14],[34.41071429 12.58928571] ; [47.58928571 17.41071429],0
p9,1,0.147701,2.09583,[40  8] ; [59  5],[42.42857143  5.57142857] ; [56.57142857  7.42857143],0
u2,1,0.154833,2.023979,[11  7] ; [11  2],[12.77419355  5.22580645] ; [9.22580645 3.77419355],0
p10,1,0.158817,1.985451,[38 10] ; [56  7],[40.64864865  7.35135135] ; [53.35135135  9.64864865],0
p11,1,0.168805,1.893521,[43  5] ; [52 13],[40.3539823  7.6460177] ; [54.6460177 10.3539823],0
a6,1,0.169286,1.889257,[28 20] ; [46 19],[31.43362832 16.56637168] ; [42.56637168 22.43362832],0
s5,1,0.174844,1.840909,[ 8 36] ; [19 45],[11. 33.] ; [16. 48.],0
a4,1,0.180127,1.796572,[23 25] ; [23 42],[19.53982301 28.46017699] ; [26.46017699 38.53982301],0
d4,1,0.201955,1.62818,[36 12] ; [55 10],[38.65486726  9.34513274] ; [52.34513274 12.65486726],0
p12,1,0.20253,1.624032,[ 2 45] ; [ 7 57],[ 3.81081081 43.18918919] ; [ 5.18918919 58.81081081],0
u1,1,0.213358,1.548493,[ 6 42] ; [14 51],[ 8.49557522 39.50442478] ; [11.50442478 53.49557522],0
v4,1,0.234635,1.412543,[43  5] ; [62  3],[44.60176991  3.39823009] ; [60.39823009  4.60176991],0
d1,1,0.25234,1.310303,[31 17] ; [35 30],[28.03539823 19.96460177] ; [37.96460177 27.03539823],0
a2,1,0.259686,1.270432,[ 7 41] ; [15 50],[ 9.34513274 38.65486726] ; [12.65486726 52.34513274],0
b1,1,0.262054,1.257875,[22 26] ; [23 42],[19.11504425 28.88495575] ; [25.88495575 39.11504425],0
v3,1,0.287787,1.129944,[18 29] ; [31 33],[20.74774775 26.25225225] ; [28.25225225 35.74774775],0
n6,1,0.326249,0.96373,[38 10] ; [56  9],[39.92920354  8.07079646] ; [54.07079646 10.92920354],0
p2,1,0.34745,0.882747,[41  7] ; [51 14],[39.07964602  8.92035398] ; [52.92035398 12.07964602],0
d5,1,0.402829,0.699864,[40  8] ; [50 15],[38.2300885  9.7699115] ; [51.7699115 13.2300885],0
r4,1,0.403094,0.699077,[45  3] ; [58  7],[43.75221239  4.24778761] ; [59.24778761  5.75221239],0
