Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.01841,5.556689,[ 8 34] ; [8 8],[11.5862069 30.4137931] ; [ 4.4137931 11.5862069],0
n4,1,0.020412,5.376295,[23 19] ; [14  2],[26.79310345 15.20689655] ; [10.20689655  5.79310345],0
s3,1,0.023753,5.112594,[15 27] ; [11  5],[18.82758621 23.17241379] ; [7.17241379 8.82758621],0
s8,1,0.079633,3.072377,[ 9 34] ; [7 9],[11.66101695 31.33898305] ; [ 4.33898305 11.66101695],0
p8,1,0.08914,2.889828,[ 9 33] ; [7 9],[11.5862069 30.4137931] ; [ 4.4137931 11.5862069],0
a8,1,0.118431,2.437943,[ 4 36] ; [ 4 11],[ 5.81818182 34.18181818] ; [ 2.18181818 12.81818182],0
p5,1,0.11989,2.418759,[ 1 41] ; [ 2 14],[ 2.17241379 39.82758621] ; [ 0.82758621 15.17241379],0
r4,1,0.134813,2.236185,[23 20] ; [12  4],[25.50847458 17.49152542] ; [9.49152542 6.50847458],0
s4,1,0.135941,2.223317,[10 33] ; [ 1 15],[ 8.01694915 34.98305085] ; [ 2.98305085 13.01694915],0
r2,1,0.135941,2.223317,[33 10] ; [15  1],[34.98305085  8.01694915] ; [13.01694915  2.98305085],0
b4,1,0.137469,2.206068,[15 28] ; [9 7],[17.49152542 25.50847458] ; [6.50847458 9.49152542],0
d3,1,0.151115,2.06096,[10 31] ; [7 9],[12.22807018 28.77192982] ; [ 4.77192982 11.22807018],0
v1,1,0.158587,1.987644,[13 30] ; [8 8],[15.30508475 27.69491525] ; [ 5.69491525 10.30508475],0
s5,1,0.166017,1.91855,[ 5 38] ; [ 4 11],[ 6.67241379 36.32758621] ; [ 2.32758621 12.67241379],0
u2,1,0.223216,1.483575,[ 8 17] ; [1 8],[ 6.61764706 18.38235294] ; [2.38235294 6.61764706],0
r1,1,0.280309,1.165594,[17 25] ; [9 7],[18.82758621 23.17241379] ; [7.17241379 8.82758621],0
p9,1,0.310186,1.029885,[19 21] ; [10  6],[20.71428571 19.28571429] ; [8.28571429 7.71428571],0
a5,1,0.323985,0.972793,[18 25] ; [9 7],[19.6779661 23.3220339] ; [7.3220339 8.6779661],0
s7,1,0.326214,0.963869,[12 28] ; [7 9],[13.57142857 26.42857143] ; [ 5.42857143 10.57142857],0
n5,1,0.352731,0.863609,[29 13] ; [13  3],[30.4137931 11.5862069] ; [11.5862069  4.4137931],0
p10,1,0.390362,0.737813,[15 25] ; [8 8],[16.42857143 23.57142857] ; [6.57142857 9.42857143],0
s6,1,0.39684,0.717882,[16 27] ; [7 7],[17.35087719 25.64912281] ; [5.64912281 8.35087719],0
d5,1,0.410643,0.676937,[16 26] ; [8 8],[17.37931034 24.62068966] ; [6.62068966 9.37931034],0
s2,1,0.424744,0.637151,[14 29] ; [7 9],[15.30508475 27.69491525] ; [ 5.69491525 10.30508475],0
d1,1,0.458978,0.548386,[ 1 42] ; [ 1 15],[ 1.45762712 41.54237288] ; [ 0.54237288 15.45762712],0
p1,1,0.477461,0.504656,[ 5 38] ; [ 3 13],[ 5.83050847 37.16949153] ; [ 2.16949153 13.83050847],0
a2,1,0.498263,0.458635,[ 3 40] ; [ 2 14],[ 3.6440678 39.3559322] ; [ 1.3559322 14.6440678],0
a1,1,0.498263,0.458635,[ 3 40] ; [ 2 14],[ 3.6440678 39.3559322] ; [ 1.3559322 14.6440678],0
u3,1,0.654865,0.199821,[ 9 16] ; [4 5],[ 9.55882353 15.44117647] ; [3.44117647 5.55882353],0
n1,1,0.656005,0.198413,[ 8 13] ; [2 2],[ 8.4 12.6] ; [1.6 2.4],0
r3,1,0.670819,0.180646,[27 16] ; [11  5],[27.69491525 15.30508475] ; [10.30508475  5.69491525],0
n6,1,0.670819,0.180646,[27 16] ; [11  5],[27.69491525 15.30508475] ; [10.30508475  5.69491525],0
p4,1,0.690257,0.158807,[19 24] ; [8 8],[19.6779661 23.3220339] ; [7.3220339 8.6779661],0
s1,1,0.691341,0.157637,[ 4 38] ; [ 1 15],[ 3.62068966 38.37931034] ; [ 1.37931034 14.62068966],0
v4,1,0.693186,0.155658,[30 13] ; [12  4],[30.61016949 12.38983051] ; [11.38983051  4.61016949],0
b5,1,0.727924,0.121026,[22 21] ; [9 7],[22.59322034 20.40677966] ; [8.40677966 7.59322034],0
d2,1,0.737395,0.112429,[ 9 34] ; [ 4 12],[ 9.47457627 33.52542373] ; [ 3.52542373 12.47457627],0
b1,1,0.761799,0.091881,[25 18] ; [10  6],[25.50847458 17.49152542] ; [9.49152542 6.50847458],0
b2,1,0.763331,0.090667,[ 6 18] ; [3 7],[ 6.35294118 17.64705882] ; [2.64705882 7.35294118],0
b3,1,0.763331,0.090667,[ 6 18] ; [3 7],[ 6.35294118 17.64705882] ; [2.64705882 7.35294118],0
p7,1,0.811453,0.056907,[20 23] ; [8 8],[20.40677966 22.59322034] ; [7.59322034 8.40677966],0
a4,1,0.851087,0.035243,[ 7 35] ; [ 3 13],[ 7.24137931 34.75862069] ; [ 2.75862069 13.24137931],0
