Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.594923,[39 13] ; [ 1 14],[31.04477612 20.95522388] ; [8.95522388 6.04477612],1
p3,1,0.676462,0.174136,[14 38] ; [ 3 11],[13.39393939 38.60606061] ; [ 3.60606061 10.39393939],0
s1,1,0.678341,0.171999,[ 5 47] ; [ 2 13],[ 5.43283582 46.56716418] ; [ 1.56716418 13.43283582],0
a2,1,0.678341,0.171999,[ 5 47] ; [ 2 13],[ 5.43283582 46.56716418] ; [ 1.56716418 13.43283582],0
a8,1,0.691469,0.1575,[ 2 46] ; [ 1 14],[ 2.28571429 45.71428571] ; [ 0.71428571 14.28571429],0
v3,1,0.693527,0.155294,[ 9 42] ; [ 2 13],[ 8.5 42.5] ; [ 2.5 12.5],0
d3,1,0.719791,0.128693,[25 27] ; [8 7],[25.6119403 26.3880597] ; [7.3880597 7.6119403],0
a4,1,0.737945,0.111941,[15 37] ; [ 5 10],[15.52238806 36.47761194] ; [ 4.47761194 10.52238806],0
d1,1,0.770785,0.084884,[23 29] ; [6 9],[22.50746269 29.49253731] ; [6.49253731 8.50746269],0
n1,1,0.816571,0.053804,[ 6 17] ; [3 7],[ 6.27272727 16.72727273] ; [2.72727273 7.27272727],0
s2,1,0.836469,0.042606,[15 36] ; [ 4 11],[14.68181818 36.31818182] ; [ 4.31818182 10.68181818],0
p6,1,0.880085,0.022759,[10 41] ; [ 3 11],[10.2 40.8] ; [ 2.8 11.2],0
n5,1,0.896025,0.017078,[13 39] ; [ 4 11],[13.19402985 38.80597015] ; [ 3.80597015 11.19402985],0
p2,1,0.923256,0.00928,[25 27] ; [7 8],[24.8358209 27.1641791] ; [7.1641791 7.8358209],0
p10,1,0.947083,0.004405,[10 42] ; [ 3 12],[10.08955224 41.91044776] ; [ 2.91044776 12.08955224],0
d4,1,0.95219,0.003595,[37 14] ; [11  4],[37.09090909 13.90909091] ; [10.90909091  4.09090909],0
