Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,67.621083,[275  91] ; [45 84],[236.60606061 129.39393939] ; [83.39393939 45.60606061],1
p6,1,0.0,46.893993,[215 152] ; [30 98],[181.64646465 185.35353535] ; [63.35353535 64.64646465],1
p2,1,0.0,26.900372,[345  21] ; [102  28],[329.84274194  36.15725806] ; [117.15725806  12.84274194],1
p10,1,0.000184,13.992551,[328  37] ; [99 30],[315.49595142  49.50404858] ; [111.50404858  17.49595142],1
p11,1,0.000361,12.724257,[314  53] ; [93 37],[300.54124748  66.45875252] ; [106.45875252  23.54124748],1
s5,1,0.002402,9.214022,[154 203] ; [33 87],[139.95597484 217.04402516] ; [47.04402516 72.95597484],0
s1,1,0.003939,8.311822,[  8 355] ; [ 10 119],[ 13.2804878 349.7195122] ; [  4.7195122 124.2804878],0
p9,1,0.004064,8.254867,[333  34] ; [104  24],[323.9979798  43.0020202] ; [113.0020202  14.9979798],0
p5,1,0.010384,6.567792,[ 70 295] ; [ 12 116],[ 60.70993915 304.29006085] ; [ 21.29006085 106.70993915],0
p3,1,0.011766,6.345737,[263 104] ; [77 52],[251.57258065 115.42741935] ; [88.42741935 40.57258065],0
a3,1,0.01624,5.77672,[279  87] ; [85 45],[268.59677419  97.40322581] ; [95.40322581 34.59677419],0
s7,1,0.022866,5.178629,[206 143] ; [57 64],[195.29148936 153.70851064] ; [67.70851064 53.29148936],0
b5,1,0.027651,4.849686,[205 162] ; [87 43],[215.62173038 151.37826962] ; [76.37826962 53.62173038],0
a1,1,0.067358,3.346247,[ 24 343] ; [  3 127],[ 19.93762575 347.06237425] ; [  7.06237425 122.93762575],0
d3,1,0.079258,3.080043,[280  87] ; [89 41],[272.48088531  94.51911469] ; [96.51911469 33.48088531],0
n1,1,0.094546,2.795212,[17 36] ; [17 17],[20.71264368 32.28735632] ; [13.28735632 20.71264368],0
s8,1,0.0988,2.724814,[194 172] ; [57 71],[185.96356275 180.03643725] ; [65.03643725 62.96356275],0
v3,1,0.099134,2.719427,[163 189] ; [46 76],[155.20675105 196.79324895] ; [53.79324895 68.20675105],0
d4,1,0.119144,2.428537,[314  52] ; [104  26],[308.44354839  57.55645161] ; [109.55645161  20.44354839],0
a2,1,0.147525,2.097653,[106 261] ; [ 29 101],[ 99.68812877 267.31187123] ; [35.31187123 94.68812877],0
