Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.004094,8.241859,[ 3 10] ; [46 24],[7.6746988 5.3253012] ; [41.3253012 28.6746988],0
d3,1,0.014683,5.954057,[11  2] ; [33 36],[6.97560976 6.02439024] ; [37.02439024 31.97560976],0
p7,1,0.047687,3.920993,[9 3] ; [29 37],[5.84615385 6.15384615] ; [32.15384615 33.84615385],0
s2,1,0.069662,3.29097,[8 5] ; [24 45],[5.07317073 7.92682927] ; [26.92682927 42.07317073],0
p8,1,0.077751,3.111298,[7 5] ; [22 47],[4.2962963 7.7037037] ; [24.7037037 44.2962963],0
s7,1,0.091018,2.856271,[8 5] ; [24 42],[5.26582278 7.73417722] ; [26.73417722 39.26582278],0
v1,1,0.091864,2.841398,[ 3 10] ; [32 34],[5.75949367 7.24050633] ; [29.24050633 36.75949367],0
p3,1,0.138594,2.193505,[7 6] ; [22 46],[4.65432099 8.34567901] ; [24.34567901 43.65432099],0
u2,1,0.209351,1.575906,[4 2] ; [10 16],[2.625 3.375] ; [11.375 14.625],0
p10,1,0.217611,1.520053,[12  1] ; [51 15],[10.36708861  2.63291139] ; [52.63291139 13.36708861],0
a7,1,0.236755,1.399815,[9 4] ; [36 34],[7.04819277 5.95180723] ; [37.95180723 32.04819277],0
s3,1,0.24511,1.350961,[8 5] ; [29 37],[6.08860759 6.91139241] ; [30.91139241 35.08860759],0
b1,1,0.252369,1.310143,[5 8] ; [39 31],[6.89156627 6.10843373] ; [37.10843373 32.89156627],0
r2,1,0.303154,1.060268,[6 6] ; [42 22],[7.57894737 4.42105263] ; [40.42105263 23.57894737],0
p6,1,0.333445,0.935472,[5 8] ; [17 50],[3.575 9.425] ; [18.425 48.575],0
r1,1,0.357158,0.847862,[ 2 11] ; [19 50],[3.32926829 9.67073171] ; [17.67073171 51.32926829],0
b3,1,0.363082,0.827206,[2 8] ; [14 26],[3.2 6.8] ; [12.8 27.2],0
b2,1,0.363082,0.827206,[2 8] ; [14 26],[3.2 6.8] ; [12.8 27.2],0
a6,1,0.39046,0.737509,[8 5] ; [34 36],[6.57831325 6.42168675] ; [35.42168675 34.57831325],0
n1,1,0.396898,0.717703,[1 4] ; [10 15],[1.83333333 3.16666667] ; [ 9.16666667 15.83333333],0
n3,1,0.396898,0.717703,[4 1] ; [15 10],[3.16666667 1.83333333] ; [15.83333333  9.16666667],0
u3,1,0.4829,0.492308,[3 3] ; [ 9 17],[2.25 3.75] ; [ 9.75 16.25],0
s6,1,0.518804,0.41627,[7 6] ; [30 38],[5.9382716 7.0617284] ; [31.0617284 36.9382716],0
p4,1,0.55416,0.349917,[7 6] ; [31 38],[6.02439024 6.97560976] ; [31.97560976 37.02439024],0
p2,1,0.555975,0.346721,[11  2] ; [51 15],[10.20253165  2.79746835] ; [51.79746835 14.20253165],0
a3,1,0.565653,0.330011,[7 6] ; [43 26],[7.92682927 5.07317073] ; [42.07317073 26.92682927],0
n2,1,0.59298,0.285714,[4 1] ; [17  8],[3.5 1.5] ; [17.5  7.5],0
s1,1,0.598425,0.277379,[ 1 12] ; [ 3 67],[ 0.62650602 12.37349398] ; [ 3.37349398 66.62650602],0
d4,1,0.613121,0.255655,[10  3] ; [49 21],[9.24096386 3.75903614] ; [49.75903614 20.24096386],0
p11,1,0.613121,0.255655,[10  3] ; [49 21],[9.24096386 3.75903614] ; [49.75903614 20.24096386],0
v4,1,0.63051,0.23137,[10  3] ; [45 19],[9.28571429 3.71428571] ; [45.71428571 18.28571429],0
a5,1,0.678617,0.171687,[7 6] ; [42 28],[7.6746988 5.3253012] ; [41.3253012 28.6746988],0
a2,1,0.690713,0.158314,[ 1 12] ; [ 8 62],[ 1.40963855 11.59036145] ; [ 7.59036145 62.40963855],0
a4,1,0.731277,0.117942,[4 9] ; [25 45],[4.54216867 8.45783133] ; [24.45783133 45.54216867],0
b5,1,0.841655,0.039911,[8 5] ; [41 29],[7.6746988 5.3253012] ; [41.3253012 28.6746988],0
d2,1,0.84982,0.035853,[5 8] ; [25 45],[4.69879518 8.30120482] ; [25.30120482 44.69879518],0
s5,1,0.853818,0.033948,[2 9] ; [14 54],[2.2278481 8.7721519] ; [13.7721519 54.2278481],0
n6,1,0.856171,0.032852,[8 5] ; [43 24],[8.2875 4.7125] ; [42.7125 24.2875],0
d5,1,0.882683,0.021777,[9 4] ; [47 23],[8.77108434 4.22891566] ; [47.22891566 22.77108434],0
n5,1,0.884247,0.021196,[9 4] ; [45 22],[8.775 4.225] ; [45.225 21.775],0
u1,1,0.916574,0.010972,[ 1 12] ; [ 6 64],[ 1.09638554 11.90361446] ; [ 5.90361446 64.09638554],0
n4,1,0.928077,0.008148,[8 5] ; [44 26],[8.14457831 4.85542169] ; [43.85542169 26.14457831],0
d1,1,0.928077,0.008148,[5 8] ; [26 44],[4.85542169 8.14457831] ; [26.14457831 43.85542169],0
r3,1,0.967403,0.00167,[9 4] ; [46 21],[8.9375 4.0625] ; [46.0625 20.9375],0
v2,1,0.97463,0.001011,[5 7] ; [28 40],[4.95 7.05] ; [28.05 39.95],0
s8,1,0.98083,0.000577,[4 9] ; [21 48],[3.96341463 9.03658537] ; [21.03658537 47.96341463],0
