Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.000219,13.656715,[ 5 17] ; [33 14],[12.11594203  9.88405797] ; [25.88405797 21.11594203],1
a4,1,0.001819,9.723739,[ 3 19] ; [25 22],[ 8.92753623 13.07246377] ; [19.07246377 27.92753623],0
d2,1,0.004297,8.153838,[ 5 17] ; [28 19],[10.52173913 11.47826087] ; [22.47826087 24.52173913],0
p3,1,0.005436,7.728206,[ 5 17] ; [27 19],[10.35294118 11.64705882] ; [21.64705882 24.35294118],0
r1,1,0.018286,5.568565,[11 11] ; [36 10],[15.20588235  6.79411765] ; [31.79411765 14.20588235],0
s6,1,0.023118,5.159617,[14  8] ; [41  6],[17.53623188  4.46376812] ; [37.46376812  9.53623188],0
u1,1,0.054096,3.709725,[ 1 21] ; [11 36],[ 3.82608696 18.17391304] ; [ 8.17391304 38.82608696],0
d4,1,0.055711,3.66068,[18  4] ; [45  2],[20.08695652  1.91304348] ; [42.91304348  4.08695652],0
r4,1,0.078566,3.094317,[16  6] ; [42  5],[18.49275362  3.50724638] ; [39.50724638  7.49275362],0
v2,1,0.102579,2.664984,[ 8 14] ; [27 20],[11.15942029 10.84057971] ; [23.84057971 23.15942029],0
p4,1,0.119874,2.418972,[ 8 14] ; [26 20],[11. 11.] ; [23. 23.],0
s8,1,0.12354,2.371862,[ 6 16] ; [22 25],[ 8.92753623 13.07246377] ; [19.07246377 27.92753623],0
p7,1,0.139834,2.17979,[ 9 12] ; [28 17],[11.77272727  9.22727273] ; [25.22727273 19.77272727],0
n4,1,0.146792,2.105277,[ 3 19] ; [14 33],[ 5.42028986 16.57971014] ; [11.57971014 35.42028986],0
r2,1,0.169786,1.884836,[19  3] ; [44  2],[20.38235294  1.61764706] ; [42.61764706  3.38235294],0
a3,1,0.214657,1.539738,[11 10] ; [32 15],[13.27941176  7.72058824] ; [29.72058824 17.27941176],0
p1,1,0.220827,1.498989,[ 1 20] ; [ 7 39],[ 2.50746269 18.49253731] ; [ 5.49253731 40.50746269],0
b4,1,0.261407,1.261289,[14  8] ; [36 11],[15.94202899  6.05797101] ; [34.05797101 12.94202899],0
s2,1,0.275526,1.189028,[12 10] ; [32 15],[14.02898551  7.97101449] ; [29.97101449 17.02898551],0
d5,1,0.29216,1.109641,[17  5] ; [41  6],[18.49275362  3.50724638] ; [39.50724638  7.49275362],0
p5,1,0.303926,1.056887,[ 1 20] ; [ 6 40],[ 2.19402985 18.80597015] ; [ 4.80597015 41.19402985],0
