Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.023194,5.153883,[10  2] ; [ 7 10],[7.03448276 4.96551724] ; [9.96551724 7.03448276],0
p3,1,0.057114,3.619256,[7 5] ; [ 4 13],[4.55172414 7.44827586] ; [ 6.44827586 10.55172414],0
p10,1,0.064061,3.428986,[8 4] ; [15  1],[9.85714286 2.14285714] ; [13.14285714  2.85714286],0
u3,1,0.065087,3.402778,[1 3] ; [5 1],[2.4 1.6] ; [3.6 2.4],0
a5,1,0.089906,2.876058,[10  2] ; [9 8],[7.86206897 4.13793103] ; [11.13793103  5.86206897],0
r2,1,0.098168,2.735065,[8 3] ; [6 9],[5.92307692 5.07692308] ; [8.07692308 6.92307692],0
r1,1,0.128872,2.306043,[ 2 10] ; [7 9],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
s2,1,0.128872,2.306043,[10  2] ; [9 7],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
p11,1,0.167554,1.904696,[11  1] ; [12  5],[9.51724138 2.48275862] ; [13.48275862  3.51724138],0
d3,1,0.176076,1.830439,[4 8] ; [10  7],[5.79310345 6.20689655] ; [8.20689655 8.79310345],0
u2,1,0.196706,1.666667,[3 1] ; [2 4],[2. 2.] ; [3. 3.],0
b4,1,0.21918,1.509733,[5 7] ; [11  6],[6.62068966 5.37931034] ; [9.37931034 7.62068966],0
n6,1,0.227195,1.458333,[10  2] ; [10  6],[8.57142857 3.42857143] ; [11.42857143  4.57142857],0
n5,1,0.254478,1.298551,[11  1] ; [12  4],[9.85714286 2.14285714] ; [13.14285714  2.85714286],0
p2,1,0.285982,1.13844,[11  1] ; [13  4],[9.93103448 2.06896552] ; [14.06896552  2.93103448],0
b1,1,0.295694,1.093514,[4 8] ; [9 8],[5.37931034 6.62068966] ; [7.62068966 9.37931034],0
n2,1,0.325892,0.965152,[2 1] ; [9 1],[2.53846154 0.46153846] ; [8.46153846 1.53846154],0
p4,1,0.36671,0.814783,[9 3] ; [10  7],[7.86206897 4.13793103] ; [11.13793103  5.86206897],0
s3,1,0.411314,0.675,[9 3] ; [9 6],[8. 4.] ; [10.  5.],0
n1,1,0.416448,0.660317,[1 2] ; [6 4],[1.61538462 1.38461538] ; [5.38461538 4.61538462],0
n3,1,0.416448,0.660317,[1 2] ; [6 4],[1.61538462 1.38461538] ; [5.38461538 4.61538462],0
a4,1,0.428398,0.627163,[6 6] ; [ 6 11],[4.96551724 7.03448276] ; [7.03448276 9.96551724],0
v4,1,0.432111,0.617143,[8 4] ; [12  3],[8.88888889 3.11111111] ; [11.11111111  3.88888889],0
p9,1,0.435678,0.607639,[11  1] ; [13  3],[10.28571429  1.71428571] ; [13.71428571  2.28571429],0
s6,1,0.48338,0.491228,[9 3] ; [10  6],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
p7,1,0.483522,0.490909,[7 4] ; [8 8],[6.11111111 4.88888889] ; [8.88888889 7.11111111],0
v2,1,0.549563,0.3581,[7 5] ; [8 9],[6.20689655 5.79310345] ; [8.79310345 8.20689655],0
d1,1,0.549563,0.3581,[5 7] ; [9 8],[5.79310345 6.20689655] ; [8.20689655 8.79310345],0
a7,1,0.549563,0.3581,[5 7] ; [9 8],[5.79310345 6.20689655] ; [8.20689655 8.79310345],0
d5,1,0.555086,0.348284,[9 3] ; [11  6],[8.27586207 3.72413793] ; [11.72413793  5.27586207],0
s5,1,0.589951,0.29042,[2 8] ; [ 5 12],[2.59259259 7.40740741] ; [ 4.40740741 12.59259259],0
s4,1,0.630209,0.231777,[3 9] ; [ 3 14],[2.48275862 9.51724138] ; [ 3.51724138 13.48275862],0
d4,1,0.630209,0.231777,[9 3] ; [14  3],[9.51724138 2.48275862] ; [13.48275862  3.51724138],0
d2,1,0.637947,0.221437,[6 6] ; [ 7 10],[5.37931034 6.62068966] ; [7.62068966 9.37931034],0
a2,1,0.706146,0.142157,[ 2 10] ; [ 2 15],[ 1.65517241 10.34482759] ; [ 2.34482759 14.65517241],0
p5,1,0.765064,0.089304,[ 1 11] ; [ 2 15],[ 1.24137931 10.75862069] ; [ 1.75862069 15.24137931],0
a6,1,0.773675,0.082697,[5 7] ; [8 9],[5.37931034 6.62068966] ; [7.62068966 9.37931034],0
b2,1,0.813025,0.055944,[3 8] ; [ 3 10],[2.75 8.25] ; [3.25 9.75],0
b3,1,0.813025,0.055944,[3 8] ; [ 3 10],[2.75 8.25] ; [3.25 9.75],0
v1,1,0.816334,0.053946,[5 6] ; [8 8],[5.2962963 5.7037037] ; [7.7037037 8.2962963],0
n4,1,0.822118,0.050545,[8 4] ; [12  5],[8.27586207 3.72413793] ; [11.72413793  5.27586207],0
a8,1,0.83224,0.044872,[ 1 11] ; [ 1 15],[ 0.85714286 11.14285714] ; [ 1.14285714 14.85714286],0
p8,1,0.875948,0.02437,[6 6] ; [8 9],[5.79310345 6.20689655] ; [8.20689655 8.79310345],0
s7,1,0.886731,0.02029,[10  2] ; [13  3],[9.85714286 2.14285714] ; [13.14285714  2.85714286],0
a3,1,0.912875,0.011971,[8 4] ; [11  6],[7.86206897 4.13793103] ; [11.13793103  5.86206897],0
v3,1,0.912875,0.011971,[4 8] ; [ 6 11],[4.13793103 7.86206897] ; [ 5.86206897 11.13793103],0
r3,1,0.927375,0.008308,[9 3] ; [13  4],[9.10344828 2.89655172] ; [12.89655172  4.10344828],0
