Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.003715,8.418219,[ 6 44] ; [11 16],[11.03896104 38.96103896] ; [ 5.96103896 21.03896104],0
d1,1,0.008453,6.93479,[13 38] ; [15 12],[18.30769231 32.69230769] ; [ 9.69230769 17.30769231],0
s6,1,0.008453,6.93479,[13 38] ; [15 12],[18.30769231 32.69230769] ; [ 9.69230769 17.30769231],0
r3,1,0.009607,6.70644,[31 20] ; [24  3],[35.96153846 15.03846154] ; [19.03846154  7.96153846],0
d5,1,0.009764,6.677377,[28 22] ; [23  4],[33.11688312 16.88311688] ; [17.88311688  9.11688312],0
v1,1,0.019902,5.420508,[13 38] ; [14 13],[17.65384615 33.34615385] ; [ 9.34615385 17.65384615],0
d4,1,0.022802,5.183555,[30 20] ; [23  4],[34.41558442 15.58441558] ; [18.58441558  8.41558442],0
a5,1,0.031954,4.60098,[27 24] ; [21  6],[31.38461538 19.61538462] ; [16.61538462 10.38461538],0
v3,1,0.035819,4.405681,[ 7 41] ; [ 9 16],[10.52054795 37.47945205] ; [ 5.47945205 19.52054795],0
n3,1,0.053116,3.74026,[12 12] ; [10  2],[14.66666667  9.33333333] ; [7.33333333 4.66666667],0
s5,1,0.133693,2.24909,[ 5 44] ; [ 6 20],[ 7.18666667 41.81333333] ; [ 3.81333333 22.18666667],0
s4,1,0.155381,2.018618,[10 41] ; [ 2 25],[ 7.84615385 43.15384615] ; [ 4.15384615 22.84615385],0
a1,1,0.16516,1.926331,[ 7 44] ; [ 1 26],[ 5.23076923 45.76923077] ; [ 2.76923077 24.23076923],0
n4,1,0.167474,1.905413,[31 20] ; [12 15],[28.11538462 22.88461538] ; [14.88461538 12.11538462],0
n5,1,0.184146,1.763845,[23 28] ; [ 8 19],[20.26923077 30.73076923] ; [10.73076923 16.26923077],0
u3,1,0.185116,1.756067,[11 10] ; [2 6],[ 9.4137931 11.5862069] ; [3.5862069 4.4137931],0
d3,1,0.201259,1.633214,[22 28] ; [16 11],[24.67532468 25.32467532] ; [13.32467532 13.67532468],0
n2,1,0.239123,1.385755,[12 14] ; [8 4],[13.68421053 12.31578947] ; [6.31578947 5.68421053],0
r4,1,0.243093,1.362567,[27 24] ; [18  9],[29.42307692 21.57692308] ; [15.57692308 11.42307692],0
r1,1,0.243383,1.360893,[29 22] ; [19  8],[31.38461538 19.61538462] ; [16.61538462 10.38461538],0
s1,1,0.253018,1.306561,[ 6 45] ; [ 1 25],[ 4.63636364 46.36363636] ; [ 2.36363636 23.63636364],0
b1,1,0.284309,1.146377,[31 20] ; [13 14],[28.76923077 22.23076923] ; [15.23076923 11.76923077],0
a4,1,0.314924,1.00991,[23 28] ; [ 9 18],[20.92307692 30.07692308] ; [11.07692308 15.92307692],0
a3,1,0.366701,0.814815,[30 20] ; [19  8],[31.81818182 18.18181818] ; [17.18181818  9.81818182],0
p4,1,0.382841,0.761559,[14 37] ; [10 17],[15.69230769 35.30769231] ; [ 8.30769231 18.69230769],0
b2,1,0.400814,0.705882,[10 24] ; [ 7 10],[11.33333333 22.66666667] ; [ 5.66666667 11.33333333],0
b3,1,0.400814,0.705882,[10 24] ; [ 7 10],[11.33333333 22.66666667] ; [ 5.66666667 11.33333333],0
p1,1,0.424636,0.637449,[ 3 47] ; [ 3 24],[ 3.8961039 46.1038961] ; [ 2.1038961 24.8961039],0
