Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.006361,7.445118,[94 27] ; [19 16],[87.6474359 33.3525641] ; [25.3525641  9.6474359],0
s6,1,0.011952,6.317949,[34 85] ; [18 17],[40.18181818 78.81818182] ; [11.81818182 23.18181818],0
p2,1,0.055639,3.662817,[84 37] ; [30  5],[88.42307692 32.57692308] ; [25.57692308  9.42307692],0
b5,1,0.089739,2.879041,[78 43] ; [17 18],[73.68589744 47.31410256] ; [21.31410256 13.68589744],0
r3,1,0.123572,2.371448,[107  14] ; [34  1],[109.36538462  11.63461538] ; [31.63461538  3.36538462],0
s5,1,0.143633,2.138602,[ 16 101] ; [ 8 25],[18.72 98.28] ; [ 5.28 27.72],0
d5,1,0.149866,2.073613,[91 30] ; [22 13],[87.6474359 33.3525641] ; [25.3525641  9.6474359],0
a1,1,0.180639,1.792357,[  2 119] ; [ 2 33],[  3.1025641 117.8974359] ; [ 0.8974359 34.1025641],0
s1,1,0.185088,1.756292,[  4 117] ; [ 3 32],[  5.42948718 115.57051282] ; [ 1.57051282 33.42948718],0
p7,1,0.208584,1.58123,[58 63] ; [21 14],[61.27564103 59.72435897] ; [17.72435897 17.27564103],0
s7,1,0.242592,1.365466,[25 92] ; [10 22],[27.48322148 89.51677852] ; [ 7.51677852 24.48322148],0
a2,1,0.263844,1.248476,[ 15 106] ; [ 2 33],[ 13.18589744 107.81410256] ; [ 3.81410256 31.18589744],0
d1,1,0.277511,1.17924,[61 60] ; [14 21],[58.17307692 62.82692308] ; [16.82692308 18.17307692],0
v1,1,0.288648,1.125915,[39 81] ; [14 19],[41.56862745 78.43137255] ; [11.43137255 21.56862745],0
p6,1,0.326334,0.96339,[28 90] ; [ 5 27],[25.96 92.04] ; [ 7.04 24.96],0
u2,1,0.340231,0.909561,[22 21] ; [8 4],[23.45454545 19.54545455] ; [6.54545455 5.45454545],0
n6,1,0.346805,0.885114,[73 48] ; [18 17],[70.58333333 50.41666667] ; [20.41666667 14.58333333],0
s4,1,0.372317,0.795918,[ 11 110] ; [ 5 30],[ 12.41025641 108.58974359] ; [ 3.58974359 31.41025641],0
r2,1,0.404694,0.694334,[102  17] ; [31  3],[103.44444444  15.55555556] ; [29.55555556  4.44444444],0
b3,1,0.436707,0.60492,[22 47] ; [ 9 13],[23.50549451 45.49450549] ; [ 7.49450549 14.50549451],0
b2,1,0.436707,0.60492,[22 47] ; [ 9 13],[23.50549451 45.49450549] ; [ 7.49450549 14.50549451],0
n2,1,0.447874,0.576028,[21 17] ; [10  5],[22.22641509 15.77358491] ; [8.77358491 6.22641509],0
n3,1,0.487752,0.481481,[26 13] ; [10  3],[27. 12.] ; [9. 4.],0
a4,1,0.504804,0.444822,[41 80] ; [14 21],[42.66025641 78.33974359] ; [12.33974359 22.66025641],0
v2,1,0.515028,0.423838,[55 63] ; [18 16],[56.67105263 61.32894737] ; [16.32894737 17.67105263],0
u3,1,0.560685,0.338519,[21 22] ; [7 5],[21.89090909 21.10909091] ; [6.10909091 5.89090909],0
