Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.835314,[31 59] ; [ 15 148],[16.36363636 73.63636364] ; [ 29.63636364 133.36363636],1
s5,1,2e-06,22.76883,[26 63] ; [ 11 150],[13.172 75.828] ; [ 23.828 137.172],1
p4,1,7.1e-05,15.79337,[42 47] ; [ 37 125],[28.01195219 60.98804781] ; [ 50.98804781 111.01195219],1
a5,1,0.000179,14.043853,[71 19] ; [90 73],[57.27272727 32.72727273] ; [103.72727273  59.27272727],1
s7,1,0.000372,12.669383,[28 60] ; [ 20 135],[17.38271605 70.61728395] ; [ 30.61728395 124.38271605],1
r4,1,0.001262,10.397304,[77 13] ; [109  54],[66.16600791 23.83399209] ; [119.83399209  43.16600791],0
s2,1,0.001321,10.312796,[19 70] ; [ 12 150],[10.99203187 78.00796813] ; [ 20.00796813 141.99203187],0
p10,1,0.005155,7.824081,[66 22] ; [92 69],[55.83935743 32.16064257] ; [102.16064257  58.83935743],0
v1,1,0.006245,7.478343,[43 47] ; [ 49 112],[32.98804781 57.01195219] ; [ 59.01195219 101.98804781],0
p7,1,0.008495,6.925981,[44 45] ; [ 52 108],[34.31325301 54.68674699] ; [61.68674699 98.31325301],0
n4,1,0.012122,6.292894,[67 23] ; [95 67],[57.85714286 32.14285714] ; [104.14285714  57.85714286],0
r3,1,0.019024,5.499337,[83  7] ; [130  30],[76.68 13.32] ; [136.32  23.68],0
v4,1,0.020982,5.328272,[83  7] ; [132  30],[76.78571429 13.21428571] ; [138.21428571  23.78571429],0
p8,1,0.021809,5.260949,[38 49] ; [ 47 114],[29.81854839 57.18145161] ; [ 55.18145161 105.81854839],0
n5,1,0.023217,5.152187,[66 24] ; [95 66],[57.72908367 32.27091633] ; [103.27091633  57.72908367],0
p9,1,0.031207,4.641513,[68 21] ; [99 58],[60.41869919 28.58130081] ; [106.58130081  50.41869919],0
p6,1,0.036135,4.39071,[23 66] ; [ 24 136],[16.79919679 72.20080321] ; [ 30.20080321 129.79919679],0
p12,1,0.043622,4.07113,[ 5 84] ; [  2 160],[ 2.48207171 86.51792829] ; [  4.51792829 157.48207171],0
p5,1,0.04449,4.037872,[ 7 82] ; [  4 159],[ 3.88492063 85.11507937] ; [  7.11507937 155.88492063],0
n6,1,0.058115,3.590384,[73 17] ; [113  48],[66.69322709 23.30677291] ; [119.30677291  41.69322709],0
