Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,23.006745,[ 1 10] ; [70 19],[7.81 3.19] ; [63.19 25.81],1
v4,1,0.000125,14.708887,[4 7] ; [76 13],[8.8 2.2] ; [71.2 17.8],1
r2,1,0.000171,14.130646,[4 6] ; [77 11],[8.26530612 1.73469388] ; [72.73469388 15.26530612],1
b1,1,0.025273,5.005107,[9 2] ; [41 48],[5.5 5.5] ; [44.5 44.5],0
r1,1,0.034797,4.455095,[4 7] ; [61 28],[7.15 3.85] ; [57.85 31.15],0
v2,1,0.042527,4.114114,[2 9] ; [44 43],[5.16326531 5.83673469] ; [40.83673469 46.16326531],0
n2,1,0.076989,3.127355,[1 3] ; [23 10],[2.59459459 1.40540541] ; [21.40540541 11.59459459],0
p2,1,0.089849,2.877085,[4 7] ; [56 33],[6.6 4.4] ; [53.4 35.6],0
n6,1,0.095186,2.784403,[3 8] ; [48 41],[5.61 5.39] ; [45.39 43.61],0
a7,1,0.105653,2.618063,[4 7] ; [55 34],[6.49 4.51] ; [52.51 36.49],0
p8,1,0.118395,2.438424,[ 1 10] ; [28 60],[3.22222222 7.77777778] ; [25.77777778 62.22222222],0
p11,1,0.126512,2.334785,[3 8] ; [46 43],[5.39 5.61] ; [43.61 45.39],0
s4,1,0.135692,2.226148,[3 8] ; [10 79],[1.43 9.57] ; [11.57 77.43],0
a6,1,0.18785,1.734402,[4 7] ; [51 38],[6.05 4.95] ; [48.95 40.05],0
n1,1,0.255445,1.293277,[2 2] ; [ 8 26],[1.05263158 2.94736842] ; [ 8.94736842 25.05263158],0
d2,1,0.361065,0.834185,[3 8] ; [37 52],[4.4 6.6] ; [35.6 53.4],0
d3,1,0.361065,0.834185,[8 3] ; [52 37],[6.6 4.4] ; [53.4 35.6],0
s7,1,0.377999,0.7772,[1 8] ; [20 63],[2.05434783 6.94565217] ; [18.94565217 64.05434783],0
d5,1,0.440958,0.593788,[6 5] ; [59 30],[7.15 3.85] ; [57.85 31.15],0
p4,1,0.506176,0.441964,[3 8] ; [33 55],[4. 7.] ; [32. 56.],0
b3,1,0.51589,0.422102,[2 3] ; [14 39],[1.37931034 3.62068966] ; [14.62068966 38.37931034],0
b2,1,0.51589,0.422102,[2 3] ; [14 39],[1.37931034 3.62068966] ; [14.62068966 38.37931034],0
a5,1,0.546653,0.363347,[5 6] ; [49 40],[5.94 5.06] ; [48.06 40.94],0
s3,1,0.641075,0.217339,[3 7] ; [33 55],[3.67346939 6.32653061] ; [32.32653061 55.67346939],0
s1,1,0.647269,0.209361,[ 1 10] ; [ 5 84],[ 0.66 10.34] ; [ 5.34 83.66],0
a3,1,0.666191,0.18609,[7 4] ; [50 38],[6.33333333 4.66666667] ; [50.66666667 37.33333333],0
n4,1,0.740338,0.10983,[4 7] ; [37 52],[4.51 6.49] ; [36.49 52.51],0
d4,1,0.745907,0.105002,[9 2] ; [69 20],[8.58 2.42] ; [69.42 19.58],0
u2,1,0.761518,0.092105,[2 2] ; [16 22],[1.71428571 2.28571429] ; [16.28571429 21.71428571],0
p7,1,0.794128,0.068097,[4 7] ; [36 53],[4.4 6.6] ; [35.6 53.4],0
b5,1,0.794128,0.068097,[7 4] ; [53 36],[6.6 4.4] ; [53.4 35.6],0
p9,1,0.798676,0.065056,[3 8] ; [27 60],[3.36734694 7.63265306] ; [26.63265306 60.36734694],0
a4,1,0.801437,0.063246,[4 7] ; [29 60],[3.63 7.37] ; [29.37 59.63],0
d1,1,0.80563,0.060549,[5 6] ; [37 52],[4.62 6.38] ; [37.38 51.62],0
b4,1,0.80563,0.060549,[6 5] ; [52 37],[6.38 4.62] ; [51.62 37.38],0
p3,1,0.821098,0.051136,[4 7] ; [29 59],[3.66666667 7.33333333] ; [29.33333333 58.66666667],0
n3,1,0.826538,0.048024,[3 1] ; [23 10],[2.81081081 1.18918919] ; [23.18918919  9.81081081],0
a2,1,0.830154,0.046012,[ 1 10] ; [10 79],[1.21 9.79] ; [ 9.79 79.21],0
v3,1,0.905784,0.014009,[3 8] ; [21 61],[2.83870968 8.16129032] ; [21.16129032 60.83870968],0
v1,1,0.919521,0.010209,[4 7] ; [33 54],[4.15306122 6.84693878] ; [32.84693878 54.15306122],0
s6,1,0.94145,0.005395,[4 7] ; [33 55],[4.11111111 6.88888889] ; [32.88888889 55.11111111],0
u3,1,0.961037,0.002387,[2 2] ; [19 20],[1.95348837 2.04651163] ; [19.04651163 19.95348837],0
s2,1,0.98277,0.000466,[3 8] ; [24 65],[2.97 8.03] ; [24.03 64.97],0
