Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3e-06,21.714308,[20  4] ; [ 9 30],[11.04761905 12.95238095] ; [17.95238095 21.04761905],1
p11,1,0.00096,10.903846,[14 10] ; [ 7 32],[ 8. 16.] ; [13. 26.],1
v4,1,0.001032,10.769878,[21  3] ; [18 21],[14.85714286  9.14285714] ; [24.14285714 14.85714286],0
n2,1,0.011764,6.346154,[10  1] ; [10 12],[6.66666667 4.33333333] ; [13.33333333  8.66666667],0
s2,1,0.027708,4.846154,[12 12] ; [ 9 30],[ 8. 16.] ; [13. 26.],0
n4,1,0.03513,4.438826,[ 7 17] ; [22 17],[11.04761905 12.95238095] ; [17.95238095 21.04761905],0
p8,1,0.057322,3.613209,[ 8 16] ; [ 5 33],[ 5.03225806 18.96774194] ; [ 7.96774194 30.03225806],0
r3,1,0.065774,3.385458,[19  5] ; [22 17],[15.61904762  8.38095238] ; [25.38095238 13.61904762],0
r4,1,0.09779,2.741228,[15  9] ; [16 23],[11.80952381 12.19047619] ; [19.19047619 19.80952381],0
d4,1,0.126177,2.33892,[19  5] ; [23 15],[16.25806452  7.74193548] ; [25.74193548 12.25806452],0
d2,1,0.136941,2.212001,[ 8 16] ; [20 18],[10.83870968 13.16129032] ; [17.16129032 20.83870968],0
s3,1,0.147149,2.10156,[14 10] ; [15 23],[11.22580645 12.77419355] ; [17.77419355 20.22580645],0
p7,1,0.218193,1.516213,[ 8 13] ; [ 9 30],[ 5.95 15.05] ; [11.05 27.95],0
s8,1,0.243993,1.357372,[ 5 19] ; [ 4 35],[ 3.42857143 20.57142857] ; [ 5.57142857 33.42857143],0
s7,1,0.285281,1.141758,[ 7 15] ; [ 7 29],[ 5.31034483 16.68965517] ; [ 8.68965517 27.31034483],0
a1,1,0.289532,1.121795,[ 2 22] ; [ 7 32],[ 3.42857143 20.57142857] ; [ 5.57142857 33.42857143],0
b1,1,0.309512,1.032757,[11 13] ; [23 16],[12.95238095 11.04761905] ; [21.04761905 17.95238095],0
b5,1,0.309512,1.032757,[13 11] ; [16 23],[11.04761905 12.95238095] ; [17.95238095 21.04761905],0
v1,1,0.319258,0.991983,[ 9 15] ; [10 29],[ 7.23809524 16.76190476] ; [11.76190476 27.23809524],0
a5,1,0.321121,0.984375,[13 11] ; [26 13],[14.85714286  9.14285714] ; [24.14285714 14.85714286],0
p3,1,0.371251,0.799474,[ 6 18] ; [ 6 32],[ 4.64516129 19.35483871] ; [ 7.35483871 30.64516129],0
v2,1,0.386329,0.750466,[ 9 12] ; [12 26],[ 7.47457627 13.52542373] ; [13.52542373 24.47457627],0
a8,1,0.414328,0.666346,[ 2 22] ; [ 6 33],[ 3.04761905 20.95238095] ; [ 4.95238095 34.04761905],0
s1,1,0.447887,0.575994,[ 2 21] ; [ 6 33],[ 2.96774194 20.03225806] ; [ 5.03225806 33.96774194],0
b2,1,0.4603,0.545165,[4 9] ; [12 16],[5.07317073 7.92682927] ; [10.92682927 17.07317073],0
b3,1,0.4603,0.545165,[4 9] ; [12 16],[5.07317073 7.92682927] ; [10.92682927 17.07317073],0
d3,1,0.469247,0.523748,[13 11] ; [17 21],[11.61290323 12.38709677] ; [18.38709677 19.61290323],0
a4,1,0.500287,0.454327,[ 9 15] ; [18 21],[10.28571429 13.71428571] ; [16.71428571 22.28571429],0
a3,1,0.533938,0.386892,[17  7] ; [24 14],[15.87096774  8.12903226] ; [25.12903226 12.87096774],0
d1,1,0.563833,0.33311,[11 13] ; [15 24],[ 9.9047619 14.0952381] ; [16.0952381 22.9047619],0
a2,1,0.565473,0.330316,[ 3 21] ; [ 7 32],[ 3.80952381 20.19047619] ; [ 6.19047619 32.80952381],0
a7,1,0.585545,0.297355,[14 10] ; [20 19],[12.95238095 11.04761905] ; [21.04761905 17.95238095],0
