Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,78.540977,[319  83] ; [68 97],[274.38095238 127.61904762] ; [112.61904762  52.38095238],1
a4,1,0.0,56.707858,[207 193] ; [ 29 137],[166.7844523 233.2155477] ; [69.2155477 96.7844523],1
d2,1,0.0,50.964954,[225 174] ; [ 39 127],[186.43539823 212.56460177] ; [77.56460177 88.43539823],1
d1,1,0.0,40.182507,[254 148] ; [ 57 110],[219.72231986 182.27768014] ; [91.27768014 75.72231986],1
d5,1,0.0,35.662389,[344  57] ; [106  61],[317.69366197  83.30633803] ; [132.30633803  34.69366197],1
d4,1,0.0,28.874267,[341  60] ; [107  58],[317.39929329  83.60070671] ; [130.60070671  34.39929329],1
a6,1,0.0,27.33761,[303  98] ; [89 78],[276.74647887 124.25352113] ; [115.25352113  51.74647887],1
u1,1,1e-06,23.94548,[ 79 323] ; [  6 161],[ 60.05272408 341.94727592] ; [ 24.94727592 142.05272408],1
r1,1,2e-06,23.128539,[341  57] ; [113  53],[320.37588652  77.62411348] ; [133.62411348  32.37588652],1
n4,1,2e-06,22.364173,[308  92] ; [95 71],[284.80565371 115.19434629] ; [118.19434629  47.80565371],1
v2,1,0.000187,13.958787,[221 164] ; [61 93],[201.42857143 183.57142857] ; [80.57142857 73.42857143],1
s7,1,0.000266,13.295721,[173 210] ; [ 45 114],[154.04797048 228.95202952] ; [63.95202952 95.04797048],1
r4,1,0.000418,12.44886,[372  30] ; [138  29],[360.31634446  41.68365554] ; [149.68365554  17.31634446],1
p4,1,0.000488,12.159558,[200 200] ; [ 56 109],[181.23893805 218.76106195] ; [74.76106195 90.23893805],1
n5,1,0.000821,11.192812,[296 103] ; [99 66],[279.44148936 119.55851064] ; [115.55851064  49.44148936],1
v4,1,0.001243,10.425436,[386  14] ; [148  17],[378.05309735  21.94690265] ; [155.94690265   9.05309735],0
d3,1,0.002899,8.869843,[278 123] ; [94 73],[262.62676056 138.37323944] ; [109.37323944  57.62676056],0
p3,1,0.004034,8.268622,[174 226] ; [ 51 116],[158.73015873 241.26984127] ; [ 66.26984127 100.73015873],0
s8,1,0.004204,8.193748,[158 241] ; [ 45 122],[143.10424028 255.89575972] ; [ 59.89575972 107.10424028],0
v1,1,0.009489,6.728331,[197 192] ; [62 99],[183.18363636 205.81636364] ; [75.81636364 85.18363636],0
s6,1,0.010509,6.54659,[253 142] ; [86 78],[239.54382826 155.45617174] ; [99.45617174 64.54382826],0
b3,1,0.011798,6.340953,[ 91 157] ; [18 65],[ 81.66767372 166.33232628] ; [27.33232628 55.66767372],0
b2,1,0.011798,6.340953,[ 91 157] ; [18 65],[ 81.66767372 166.33232628] ; [27.33232628 55.66767372],0
p8,1,0.014652,5.957833,[174 223] ; [ 54 111],[161.06049822 235.93950178] ; [66.93950178 98.06049822],0
s5,1,0.016628,5.735189,[120 271] ; [ 33 127],[108.57168784 282.42831216] ; [ 44.42831216 115.57168784],0
p11,1,0.022417,5.213089,[309  93] ; [113  54],[298.14411248 103.85588752] ; [123.85588752  43.14411248],0
p10,1,0.027006,4.89041,[312  88] ; [112  50],[301.77935943  98.22064057] ; [122.22064057  39.77935943],0
p2,1,0.058824,3.570228,[314  86] ; [118  48],[305.30035336  94.69964664] ; [126.69964664  39.30035336],0
s1,1,0.078036,3.105334,[ 10 386] ; [  9 155],[ 13.43571429 382.56428571] ; [  5.56428571 158.43571429],0
v3,1,0.087334,2.922849,[152 231] ; [ 50 107],[143.27037037 239.72962963] ; [58.72962963 98.27037037],0
p9,1,0.087696,2.916171,[318  80] ; [118  43],[310.42576029  87.57423971] ; [125.57423971  35.42576029],0
a1,1,0.098787,2.725012,[ 19 383] ; [  3 164],[ 15.543058 386.456942] ; [  6.456942 160.543058],0
p7,1,0.101205,2.686452,[202 193] ; [70 91],[193.23741007 201.76258993] ; [78.76258993 82.23741007],0
a8,1,0.129852,2.294277,[ 50 314] ; [ 14 142],[ 44.8 319.2] ; [ 19.2 136.8],0
p12,1,0.145795,2.115699,[ 24 376] ; [  5 160],[ 20.53097345 379.46902655] ; [  8.46902655 156.53097345],0
r3,1,0.152066,2.051403,[377  25] ; [150  16],[372.98239437  29.01760563] ; [154.01760563  11.98239437],0
n2,1,0.170413,1.879306,[80 26] ; [27 15],[76.63513514 29.36486486] ; [30.36486486 11.63513514],0
