Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5e-06,20.883741,[26 46] ; [41 12],[38.592 33.408] ; [28.408 24.592],1
v1,1,9e-06,19.645333,[26 46] ; [41 13],[38.28571429 33.71428571] ; [28.71428571 25.28571429],1
n4,1,0.002764,8.957176,[52 21] ; [50  4],[58.62992126 14.37007874] ; [43.37007874 10.62992126],0
a3,1,0.007427,7.166665,[40 33] ; [42 12],[47.13385827 25.86614173] ; [34.86614173 19.13385827],0
r1,1,0.008859,6.850984,[47 26] ; [46  8],[53.45669291 19.54330709] ; [39.54330709 14.45669291],0
r4,1,0.016626,5.735391,[58 15] ; [51  3],[62.65354331 10.34645669] ; [46.34645669  7.65354331],0
s7,1,0.018439,5.553985,[34 38] ; [35 16],[40.3902439 31.6097561] ; [28.6097561 22.3902439],0
d4,1,0.025837,4.966892,[51 22] ; [46  7],[56.1984127 16.8015873] ; [40.8015873 12.1984127],0
p5,1,0.027568,4.854887,[ 8 65] ; [14 40],[12.64566929 60.35433071] ; [ 9.35433071 44.64566929],0
d5,1,0.03113,4.645773,[48 25] ; [44  9],[53.3015873 19.6984127] ; [38.6984127 14.3015873],0
s8,1,0.035662,4.413198,[35 38] ; [36 18],[40.81102362 32.18897638] ; [30.18897638 23.81102362],0
u3,1,0.036347,4.380751,[17 16] ; [ 2 10],[13.93333333 19.06666667] ; [5.06666667 6.93333333],0
a1,1,0.03829,4.292114,[ 1 72] ; [ 5 49],[ 3.4488189 69.5511811] ; [ 2.5511811 51.4488189],0
p4,1,0.039935,4.220625,[47 26] ; [43 10],[52.14285714 20.85714286] ; [37.85714286 15.14285714],0
s4,1,0.064054,3.429165,[21 52] ; [ 8 46],[16.66929134 56.33070866] ; [12.33070866 41.66929134],0
a5,1,0.074559,3.179697,[46 27] ; [42 12],[50.58267717 22.41732283] ; [37.41732283 16.58267717],0
s2,1,0.085679,2.95375,[32 41] ; [32 22],[36.78740157 36.21259843] ; [27.21259843 26.78740157],0
d3,1,0.095842,2.773401,[31 42] ; [31 23],[35.63779528 37.36220472] ; [26.36220472 27.63779528],0
s5,1,0.12588,2.342595,[26 44] ; [27 26],[30.16260163 39.83739837] ; [22.83739837 30.16260163],0
d1,1,0.15724,2.000568,[34 39] ; [32 22],[37.93700787 35.06299213] ; [28.06299213 25.93700787],0
