Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,9e-06,19.726892,[128  95] ; [44 89],[107.74157303 115.25842697] ; [64.25842697 68.74157303],1
v2,1,2.4e-05,17.85104,[158  67] ; [63 69],[139.28571429  85.71428571] ; [81.71428571 50.28571429],1
s5,1,0.001125,10.609676,[117 103] ; [47 86],[102.20963173 117.79036827] ; [61.79036827 71.20963173],0
n2,1,0.002363,9.243609,[34  4] ; [25 17],[28.025  9.975] ; [30.975 11.025],0
p6,1,0.002563,9.095376,[123 107] ; [51 86],[109.04632153 120.95367847] ; [64.95367847 72.04632153],0
p9,1,0.003457,8.548805,[216  15] ; [116  22],[207.83739837  23.16260163] ; [124.16260163  13.83739837],0
n5,1,0.004384,8.11743,[198  33] ; [101  36],[187.6875  43.3125] ; [111.3125  25.6875],0
b5,1,0.006494,7.407966,[150  83] ; [69 69],[137.53908356  95.46091644] ; [81.46091644 56.53908356],0
p5,1,0.009718,6.685947,[ 45 185] ; [ 13 125],[ 36.25 193.75] ; [ 21.75 116.25],0
s2,1,0.011038,6.459224,[178  52] ; [90 48],[167.5  62.5] ; [100.5  37.5],0
p7,1,0.012556,6.230594,[169  54] ; [87 50],[158.57777778  64.42222222] ; [97.42222222 39.57777778],0
n1,1,0.012888,6.184363,[24 14] ; [14 26],[18.51282051 19.48717949] ; [19.48717949 20.51282051],0
a8,1,0.016962,5.700291,[ 44 165] ; [ 14 114],[ 35.97032641 173.02967359] ; [ 22.02967359 105.97032641],0
p3,1,0.024252,5.076488,[146  87] ; [70 68],[135.65498652  97.34501348] ; [80.34501348 57.65498652],0
n4,1,0.026631,4.914566,[197  34] ; [105  33],[189.05691057  41.94308943] ; [112.94308943  25.05691057],0
p4,1,0.029873,4.716574,[165  67] ; [83 55],[155.5027027  76.4972973] ; [92.4972973 45.5027027],0
a5,1,0.030226,4.696387,[194  39] ; [102  36],[185.89757412  47.10242588] ; [110.10242588  27.89757412],0
r3,1,0.03178,4.610318,[229   4] ; [130   8],[225.46361186   7.53638814] ; [133.53638814   4.46361186],0
p8,1,0.0331,4.540611,[144  84] ; [71 66],[134.30136986  93.69863014] ; [80.69863014 56.30136986],0
a3,1,0.046724,3.955288,[193  39] ; [103  35],[185.6  46.4] ; [110.4  27.6],0
d4,1,0.055808,3.657785,[205  27] ; [112  26],[198.76756757  33.23243243] ; [118.23243243  19.76756757],0
