Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,26.872564,[89  8] ; [20 18],[78.31851852 18.68148148] ; [30.68148148  7.31851852],1
p2,1,0.001304,10.337081,[88  9] ; [26 12],[81.91111111 15.08888889] ; [32.08888889  5.91111111],0
n6,1,0.001961,9.585223,[85 11] ; [25 13],[78.80597015 17.19402985] ; [31.19402985  6.80597015],0
p4,1,0.006055,7.533776,[68 29] ; [17 21],[61.07407407 35.92592593] ; [23.92592593 14.07407407],0
p9,1,0.006937,7.28925,[81 14] ; [23 13],[75.41984733 19.58015267] ; [28.58015267  7.41984733],0
v4,1,0.012606,6.223636,[92  5] ; [30  7],[88.31343284  8.68656716] ; [33.68656716  3.31343284],0
p10,1,0.017911,5.604823,[79 17] ; [24 14],[73.79104478 22.20895522] ; [29.20895522  8.79104478],0
u1,1,0.027748,4.843665,[24 73] ; [ 3 35],[19.4 77.6] ; [ 7.6 30.4],0
s2,1,0.041928,4.138111,[62 35] ; [17 21],[56.76296296 40.23703704] ; [22.23703704 15.76296296],0
p5,1,0.064898,3.40758,[13 84] ; [ 1 37],[10.05925926 86.94074074] ; [ 3.94074074 34.05925926],0
u2,1,0.067865,3.333911,[10 12] ; [8 2],[12.375  9.625] ; [5.625 4.375],0
a8,1,0.077641,3.113598,[17 72] ; [ 2 31],[13.86065574 75.13934426] ; [ 5.13934426 27.86065574],0
p1,1,0.109818,2.556832,[11 86] ; [ 1 37],[ 8.62222222 88.37777778] ; [ 3.37777778 34.62222222],0
s6,1,0.111926,2.526816,[70 24] ; [23 15],[66.22727273 27.77272727] ; [26.77272727 11.22727273],0
p3,1,0.112382,2.520407,[55 41] ; [16 22],[50.86567164 45.13432836] ; [20.13432836 17.86567164],0
a5,1,0.123993,2.366145,[74 23] ; [24 14],[70.41481481 26.58518519] ; [27.58518519 10.41481481],0
s4,1,0.130518,2.286336,[21 76] ; [13 25],[24.42962963 72.57037037] ; [ 9.57037037 28.42962963],0
d5,1,0.165722,1.921226,[73 23] ; [33  5],[75.94029851 20.05970149] ; [30.05970149  7.94029851],0
u3,1,0.16801,1.900606,[12 10] ; [8 2],[13.75  8.25] ; [6.25 3.75],0
p8,1,0.212026,1.557537,[50 45] ; [15 22],[46.78030303 48.21969697] ; [18.21969697 18.78030303],0
p7,1,0.21897,1.511108,[62 31] ; [21 17],[58.92366412 34.07633588] ; [24.07633588 13.92366412],0
