Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.006598,7.379309,[16  5] ; [58 73],[10.22368421 10.77631579] ; [63.77631579 67.22368421],0
s2,1,0.00884,6.854816,[13  8] ; [43 90],[ 7.63636364 13.36363636] ; [48.36363636 84.63636364],0
s6,1,0.012294,6.267997,[17  5] ; [64 68],[11.57142857 10.42857143] ; [69.42857143 62.57142857],0
p3,1,0.041031,4.174736,[12 10] ; [43 91],[ 7.75641026 14.24358974] ; [47.24358974 86.75641026],0
s5,1,0.041073,4.172986,[ 8 13] ; [ 24 106],[ 4.45033113 16.54966887] ; [ 27.54966887 102.45033113],0
p11,1,0.0655,3.39235,[ 8 14] ; [77 57],[11.98717949 10.01282051] ; [73.01282051 60.98717949],0
p4,1,0.078343,3.098941,[13  9] ; [52 81],[ 9.22580645 12.77419355] ; [55.77419355 77.22580645],0
s7,1,0.082535,3.014265,[11 10] ; [42 86],[ 7.46979866 13.53020134] ; [45.53020134 82.46979866],0
n4,1,0.124485,2.359962,[11 11] ; [89 44],[14.19354839  7.80645161] ; [85.80645161 47.19354839],0
r1,1,0.12499,2.353646,[16  6] ; [114  19],[18.4516129  3.5483871] ; [111.5483871  21.4516129],0
u2,1,0.171257,1.871905,[2 6] ; [26 25],[3.79661017 4.20338983] ; [24.20338983 26.79661017],0
d3,1,0.188352,1.730463,[16  6] ; [77 56],[13.2  8.8] ; [79.8 53.2],0
n3,1,0.196547,1.667845,[8 1] ; [29 14],[6.40384615 2.59615385] ; [30.59615385 12.40384615],0
d2,1,0.199424,1.646585,[ 8 14] ; [68 65],[10.78709677 11.21290323] ; [65.21290323 67.78709677],0
p8,1,0.228216,1.451948,[ 5 17] ; [47 84],[ 7.47712418 14.52287582] ; [44.52287582 86.47712418],0
a8,1,0.229324,1.445052,[ 1 17] ; [ 20 102],[ 2.7 15.3] ; [ 18.3 103.7],0
a7,1,0.229444,1.444304,[17  5] ; [86 48],[14.52564103  7.47435897] ; [88.47435897 45.52564103],0
d5,1,0.279611,1.168977,[18  4] ; [94 39],[15.89677419  6.10322581] ; [96.10322581 36.89677419],0
d1,1,0.290061,1.119341,[ 8 14] ; [65 69],[10.29487179 11.70512821] ; [62.70512821 71.29487179],0
u3,1,0.372934,0.793866,[6 2] ; [31 22],[4.85245902 3.14754098] ; [32.14754098 20.85245902],0
a2,1,0.388778,0.742762,[ 3 19] ; [ 29 105],[ 4.51282051 17.48717949] ; [ 27.48717949 106.51282051],0
p7,1,0.42964,0.623797,[ 9 13] ; [66 66],[10.71428571 11.28571429] ; [64.28571429 67.71428571],0
v1,1,0.449973,0.570721,[ 7 15] ; [54 80],[ 8.6025641 13.3974359] ; [52.3974359 81.6025641],0
a5,1,0.466955,0.529172,[12 10] ; [84 50],[13.53846154  8.46153846] ; [82.46153846 51.53846154],0
v2,1,0.511793,0.4304,[ 8 14] ; [57 73],[ 9.40789474 12.59210526] ; [55.59210526 74.40789474],0
b5,1,0.57451,0.315195,[15  7] ; [83 51],[13.82051282  8.17948718] ; [84.17948718 49.82051282],0
p1,1,0.593323,0.285185,[ 2 20] ; [  8 124],[ 1.42857143 20.57142857] ; [  8.57142857 123.42857143],0
b1,1,0.601802,0.272286,[11 11] ; [59 75],[ 9.87179487 12.12820513] ; [60.12820513 73.87179487],0
b4,1,0.619832,0.246103,[15  7] ; [84 50],[13.96153846  8.03846154] ; [85.03846154 48.96153846],0
p6,1,0.693493,0.15533,[ 5 17] ; [35 96],[ 5.75163399 16.24836601] ; [34.24836601 96.75163399],0
v4,1,0.694409,0.154353,[21  1] ; [124   9],[20.58064516  1.41935484] ; [124.41935484   8.58064516],0
r3,1,0.700157,0.148308,[21  1] ; [130   4],[21.29487179  0.70512821] ; [129.70512821   4.29487179],0
b3,1,0.739079,0.110938,[3 8] ; [29 61],[3.48514851 7.51485149] ; [28.51485149 61.48514851],0
b2,1,0.739079,0.110938,[3 8] ; [29 61],[3.48514851 7.51485149] ; [28.51485149 61.48514851],0
u1,1,0.741691,0.108646,[ 3 19] ; [ 22 112],[ 3.52564103 18.47435897] ; [ 21.47435897 112.52564103],0
a3,1,0.807322,0.059479,[14  8] ; [81 52],[13.48387097  8.51612903] ; [81.51612903 51.48387097],0
a4,1,0.812814,0.056073,[ 9 13] ; [58 75],[ 9.50967742 12.49032258] ; [57.49032258 75.50967742],0
d4,1,0.81893,0.052405,[17  5] ; [99 33],[16.57142857  5.42857143] ; [99.42857143 32.57142857],0
v3,1,0.826511,0.048039,[ 6 15] ; [39 87],[ 6.42857143 14.57142857] ; [38.57142857 87.42857143],0
s8,1,0.829274,0.046498,[ 7 15] ; [39 93],[ 6.57142857 15.42857143] ; [39.42857143 92.57142857],0
a1,1,0.85399,0.033867,[ 1 21] ; [  5 129],[ 0.84615385 21.15384615] ; [  5.15384615 128.84615385],0
p2,1,0.870785,0.026459,[15  7] ; [89 45],[14.66666667  7.33333333] ; [89.33333333 44.66666667],0
s1,1,0.882154,0.021975,[ 1 21] ; [  7 125],[ 1.14285714 20.85714286] ; [  6.85714286 125.14285714],0
