Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3e-06,22.020155,[47 74] ; [ 22 133],[30.25 90.75] ; [ 38.75 116.25],1
p2,1,0.000116,14.861347,[104  18] ; [101  55],[89.96402878 32.03597122] ; [115.03597122  40.96402878],1
p10,1,0.005512,7.703291,[102  18] ; [109  45],[92.40875912 27.59124088] ; [118.59124088  35.40875912],0
p9,1,0.011358,6.408465,[109  13] ; [119  34],[101.14909091  20.85090909] ; [126.85090909  26.14909091],0
p12,1,0.017058,5.690415,[  4 118] ; [ 17 139],[  9.21582734 112.78417266] ; [ 11.78417266 144.21582734],0
s7,1,0.033159,4.537547,[75 44] ; [74 74],[66.4082397 52.5917603] ; [82.5917603 65.4082397],0
b4,1,0.034806,4.454651,[67 55] ; [105  51],[75.48201439 46.51798561] ; [96.51798561 59.48201439],0
a8,1,0.040552,4.194627,[20 92] ; [ 13 129],[14.5511811 97.4488189] ; [ 18.4488189 123.5511811],0
p3,1,0.053105,3.740621,[57 65] ; [ 55 101],[49.15107914 72.84892086] ; [62.84892086 93.15107914],0
b1,1,0.059349,3.555475,[55 67] ; [ 53 103],[47.39568345 74.60431655] ; [60.60431655 95.39568345],0
a2,1,0.089792,2.878098,[41 81] ; [ 38 118],[34.66906475 87.33093525] ; [ 44.33093525 111.66906475],0
r3,1,0.124952,2.354129,[118   3] ; [146  10],[115.32129964   5.67870036] ; [148.67870036   7.32129964],0
s3,1,0.139247,2.186261,[87 32] ; [99 54],[81.375 37.625] ; [104.625  48.375],0
u1,1,0.164192,1.935189,[32 90] ; [ 30 126],[27.20863309 94.79136691] ; [ 34.79136691 121.20863309],0
p4,1,0.186266,1.746907,[68 54] ; [74 81],[62.54151625 59.45848375] ; [79.45848375 75.54151625],0
n5,1,0.19939,1.64684,[90 29] ; [107  49],[85.24727273 33.75272727] ; [111.75272727  44.24727273],0
v2,1,0.218563,1.51378,[71 46] ; [77 68],[66.09160305 50.90839695] ; [81.90839695 63.09160305],0
n4,1,0.242098,1.368333,[95 25] ; [114  42],[90.86956522 29.13043478] ; [118.13043478  37.86956522],0
s8,1,0.270225,1.215603,[66 56] ; [74 82],[61.43884892 60.56115108] ; [78.56115108 77.43884892],0
a4,1,0.292574,1.107737,[62 59] ; [70 86],[57.66064982 63.33935018] ; [74.33935018 81.66064982],0
s2,1,0.329157,0.952213,[82 39] ; [95 58],[78.16423358 42.83576642] ; [98.83576642 54.16423358],0
u2,1,0.404681,0.694372,[20 11] ; [27 22],[18.2125 12.7875] ; [28.7875 20.2125],0
v4,1,0.415043,0.664309,[115   5] ; [146  10],[113.47826087   6.52173913] ; [147.52173913   8.47826087],0
a3,1,0.451077,0.567944,[88 34] ; [106  50],[85.13669065 36.86330935] ; [108.86330935  47.13669065],0
d3,1,0.455428,0.557107,[85 36] ; [103  53],[82.12274368 38.87725632] ; [105.87725632  50.12274368],0
r1,1,0.461946,0.541174,[98 22] ; [121  34],[95.56363636 24.43636364] ; [123.43636364  31.56363636],0
u3,1,0.489283,0.478104,[20 13] ; [34 16],[21.46987952 11.53012048] ; [32.53012048 17.46987952],0
b5,1,0.496378,0.462673,[83 39] ; [112  44],[85.57553957 36.42446043] ; [109.42446043  46.57553957],0
a7,1,0.498159,0.458855,[89 33] ; [108  48],[86.45323741 35.54676259] ; [110.54676259  45.45323741],0
s5,1,0.519315,0.415253,[49 72] ; [55 95],[46.43542435 74.56457565] ; [57.56457565 92.43542435],0
v1,1,0.582603,0.302045,[63 55] ; [74 74],[60.77443609 57.22556391] ; [76.22556391 71.77443609],0
d5,1,0.586314,0.296138,[103  18] ; [129  27],[101.34296029  19.65703971] ; [130.65703971  25.34296029],0
u4,1,0.598512,0.277246,[  2 120] ; [  4 152],[  2.63309353 119.36690647] ; [  3.36690647 152.63309353],0
d2,1,0.604895,0.267676,[61 60] ; [83 72],[63.13043478 57.86956522] ; [80.86956522 74.13043478],0
r4,1,0.620335,0.245397,[108  14] ; [135  21],[106.64028777  15.35971223] ; [136.35971223  19.64028777],0
v3,1,0.623232,0.241351,[41 77] ; [55 91],[42.90909091 75.09090909] ; [53.09090909 92.90909091],0
n1,1,0.63505,0.225274,[12 21] ; [22 31],[13.04651163 19.95348837] ; [20.95348837 32.04651163],0
n6,1,0.637204,0.222418,[99 21] ; [132  24],[100.43478261  19.56521739] ; [130.56521739  25.43478261],0
