Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3e-06,22.010948,[57 57] ; [51  8],[71.16763006 42.83236994] ; [36.83236994 22.16763006],1
s8,1,3.3e-05,17.233495,[26 88] ; [32 27],[38.21965318 75.78034682] ; [19.78034682 39.21965318],1
s7,1,0.000165,14.196228,[33 71] ; [34 20],[44.10126582 59.89873418] ; [22.89873418 31.10126582],1
s2,1,0.000256,13.368004,[42 72] ; [39 20],[53.37572254 60.62427746] ; [27.62427746 31.37572254],1
s4,1,0.000694,11.505999,[ 14 100] ; [20 39],[22.40462428 91.59537572] ; [11.59537572 47.40462428],1
p10,1,0.001125,10.609993,[51 61] ; [41 16],[60.9704142 51.0295858] ; [31.0295858 25.9704142],0
p9,1,0.004421,8.102212,[58 52] ; [43 14],[66.52694611 43.47305389] ; [34.47305389 22.52694611],0
r4,1,0.00445,8.090297,[78 36] ; [52  7],[85.66473988 28.33526012] ; [44.33526012 14.66473988],0
r2,1,0.006004,7.548967,[94 17] ; [58  1],[99.24705882 11.75294118] ; [52.75294118  6.24705882],0
d2,1,0.012203,6.281183,[58 55] ; [42 17],[65.69767442 47.30232558] ; [34.30232558 24.69767442],0
p6,1,0.023719,5.115068,[24 87] ; [22 36],[30.21301775 80.78698225] ; [15.78698225 42.21301775],0
a8,1,0.024246,5.076923,[ 5 99] ; [ 8 44],[ 8.66666667 95.33333333] ; [ 4.33333333 47.66666667],0
p3,1,0.024739,5.042077,[38 74] ; [30 28],[44.8 67.2] ; [23.2 34.8],0
n2,1,0.027205,4.877763,[25 20] ; [19  4],[29.11764706 15.88235294] ; [14.88235294  8.11764706],0
s3,1,0.040569,4.193949,[48 64] ; [35 24],[54.3625731 57.6374269] ; [28.6374269 30.3625731],0
v1,1,0.041583,4.152117,[42 71] ; [31 27],[48.23976608 64.76023392] ; [24.76023392 33.23976608],0
u1,1,0.052725,3.752611,[17 97] ; [16 43],[21.74566474 92.25433526] ; [11.25433526 47.74566474],0
p4,1,0.060011,3.537072,[42 70] ; [30 27],[47.71597633 64.28402367] ; [24.28402367 32.71597633],0
a4,1,0.060499,3.523643,[50 63] ; [35 24],[55.84302326 57.15697674] ; [29.15697674 29.84302326],0
a5,1,0.06346,3.444575,[71 43] ; [45 14],[76.43930636 37.56069364] ; [39.56069364 19.43930636],0
v4,1,0.069408,3.296958,[95 19] ; [55  4],[98.84393064 15.15606936] ; [51.15606936  7.84393064],0
p12,1,0.077232,3.122216,[  1 113] ; [ 3 55],[  2.65116279 111.34883721] ; [ 1.34883721 56.65116279],0
p2,1,0.091067,2.855409,[67 46] ; [42 16],[72.02923977 40.97076023] ; [36.97076023 21.02923977],0
d3,1,0.117518,2.450087,[78 36] ; [47 12],[82.3699422 31.6300578] ; [42.6300578 16.3699422],0
a3,1,0.123853,2.367912,[77 36] ; [46 12],[81.28070175 31.71929825] ; [41.71929825 16.28070175],0
r3,1,0.126883,2.330226,[91 22] ; [52  6],[94.49707602 18.50292398] ; [48.50292398  9.49707602],0
n1,1,0.158869,1.984962,[16 28] ; [12 10],[18.66666667 25.33333333] ; [ 9.33333333 12.66666667],0
b1,1,0.166842,1.91109,[55 59] ; [35 24],[59.30635838 54.69364162] ; [30.69364162 28.30635838],0
p1,1,0.178856,1.807102,[  7 107] ; [ 7 51],[  9.27906977 104.72093023] ; [ 4.72093023 53.27906977],0
b4,1,0.204997,1.606412,[66 48] ; [40 19],[69.84971098 44.15028902] ; [36.15028902 22.84971098],0
s1,1,0.254423,1.298854,[  9 104] ; [ 2 56],[  7.26900585 105.73099415] ; [ 3.73099415 54.26900585],0
n6,1,0.278446,1.174659,[74 39] ; [42 15],[77.10588235 35.89411765] ; [38.89411765 18.10588235],0
v2,1,0.300445,1.072218,[50 59] ; [32 27],[53.20238095 55.79761905] ; [28.79761905 30.20238095],0
n3,1,0.309335,1.033514,[25 19] ; [16  7],[26.92537313 17.07462687] ; [14.07462687  8.92537313],0
d5,1,0.310694,1.027721,[96 18] ; [53  6],[98.1849711 15.8150289] ; [50.8150289  8.1849711],0
u3,1,0.329859,0.949451,[19 16] ; [5 8],[17.5 17.5] ; [6.5 6.5],0
p7,1,0.342065,0.902678,[47 64] ; [29 29],[49.91715976 61.08284024] ; [26.08284024 31.91715976],0
d1,1,0.34668,0.885574,[71 43] ; [41 18],[73.80346821 40.19653179] ; [38.19653179 20.80346821],0
u2,1,0.374392,0.789035,[18 16] ; [5 8],[16.63829787 17.36170213] ; [6.36170213 6.63829787],0
p5,1,0.403434,0.698066,[  6 107] ; [ 5 53],[  7.26900585 105.73099415] ; [ 3.73099415 54.26900585],0
v3,1,0.474866,0.510631,[35 73] ; [22 36],[37.08433735 70.91566265] ; [19.91566265 38.08433735],0
a1,1,0.49044,0.47556,[  9 105] ; [ 3 56],[  7.90751445 106.09248555] ; [ 4.09248555 54.90751445],0
a2,1,0.545601,0.365257,[28 86] ; [17 42],[29.65317919 84.34682081] ; [15.34682081 43.65317919],0
b3,1,0.56779,0.326395,[21 37] ; [10 23],[19.75824176 38.24175824] ; [11.24175824 21.75824176],0
b2,1,0.56779,0.326395,[21 37] ; [10 23],[19.75824176 38.24175824] ; [11.24175824 21.75824176],0
n4,1,0.598273,0.277608,[68 46] ; [37 21],[69.59302326 44.40697674] ; [35.40697674 22.59302326],0
b5,1,0.701881,0.146523,[72 42] ; [39 20],[73.14450867 40.85549133] ; [37.85549133 21.14450867],0
p8,1,0.791447,0.069924,[37 75] ; [18 40],[36.23529412 75.76470588] ; [18.76470588 39.23529412],0
a7,1,0.830948,0.045576,[81 33] ; [41 18],[80.39306358 33.60693642] ; [41.60693642 17.39306358],0
a6,1,0.861726,0.030338,[68 46] ; [36 23],[68.53179191 45.46820809] ; [35.46820809 23.53179191],0
n5,1,0.900352,0.015679,[66 48] ; [33 25],[65.61627907 48.38372093] ; [33.38372093 24.61627907],0
r1,1,0.980766,0.000581,[86 27] ; [45 14],[86.06395349 26.93604651] ; [44.93604651 14.06395349],0
