Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,40.511034,[84 11] ; [100 100],[59.25423729 35.74576271] ; [124.74576271  75.25423729],1
p5,1,0.0,32.351663,[26 70] ; [  9 194],[11.23745819 84.76254181] ; [ 23.76254181 179.23745819],1
p4,1,0.0,30.72208,[74 22] ; [ 87 116],[51.69230769 44.30769231] ; [109.30769231  93.69230769],1
p3,1,2e-05,18.166869,[59 37] ; [ 72 132],[41.92 54.08] ; [ 89.08 114.92],1
p8,1,3.9e-05,16.937698,[67 29] ; [ 90 113],[50.40802676 45.59197324] ; [106.59197324  96.40802676],1
s5,1,0.00017,14.138491,[41 53] ; [ 44 154],[27.3630137 66.6369863] ; [ 57.6369863 140.3630137],1
s7,1,0.000301,13.061534,[55 34] ; [ 76 120],[40.90877193 48.09122807] ; [ 90.09122807 105.90877193],1
p12,1,0.001108,10.638452,[13 83] ; [  7 196],[ 6.42140468 89.57859532] ; [ 13.57859532 189.42140468],0
v2,1,0.002957,8.833632,[60 35] ; [ 85 106],[48.16433566 46.83566434] ; [96.83566434 94.16433566],0
s8,1,0.004357,8.128845,[48 48] ; [ 67 137],[36.8 59.2] ; [ 78.2 125.8],0
p1,1,0.010175,6.604034,[15 81] ; [ 13 191],[ 8.96 87.04] ; [ 19.04 184.96],0
n2,1,0.013007,6.168097,[12  8] ; [45  7],[15.83333333  4.16666667] ; [41.16666667 10.83333333],0
b2,1,0.018873,5.513244,[26 30] ; [30 77],[19.2392638 36.7607362] ; [36.7607362 70.2392638],0
b3,1,0.018873,5.513244,[26 30] ; [30 77],[19.2392638 36.7607362] ; [36.7607362 70.2392638],0
v3,1,0.025549,4.986259,[40 55] ; [ 58 142],[31.55932203 63.44067797] ; [ 66.44067797 133.55932203],0
n4,1,0.032481,4.572941,[76 20] ; [137  67],[68.16 27.84] ; [144.84  59.16],0
s2,1,0.033837,4.502932,[52 43] ; [ 84 118],[43.5016835 51.4983165] ; [ 92.4983165 109.5016835],0
p2,1,0.037306,4.336377,[86 10] ; [163  41],[79.68 16.32] ; [169.32  34.68],0
a4,1,0.046982,3.946027,[32 64] ; [ 46 158],[24.96 71.04] ; [ 53.04 150.96],0
s6,1,0.052932,3.746051,[67 25] ; [123  78],[59.65870307 32.34129693] ; [130.34129693  70.65870307],0
n6,1,0.057225,3.616042,[85 10] ; [163  39],[79.32659933 15.67340067] ; [168.67340067  33.32659933],0
n5,1,0.061046,3.50873,[79 16] ; [148  54],[72.60942761 22.39057239] ; [154.39057239  47.60942761],0
a2,1,0.074061,3.190651,[10 86] ; [ 10 194],[ 6.4 89.6] ; [ 13.6 190.4],0
a8,1,0.153036,2.041722,[15 77] ; [ 20 173],[11.29824561 80.70175439] ; [ 23.70175439 169.29824561],0
p9,1,0.183738,1.767126,[92  4] ; [186  17],[89.25752508  6.74247492] ; [188.74247492  14.25752508],0
b1,1,0.214879,1.538247,[42 54] ; [ 74 130],[37.12 58.88] ; [ 78.88 125.12],0
r2,1,0.266847,1.232882,[89  7] ; [178  23],[86.3030303  9.6969697] ; [180.6969697  20.3030303],0
v1,1,0.278225,1.17574,[52 43] ; [ 94 102],[47.66323024 47.33676976] ; [98.33676976 97.66323024],0
b5,1,0.290422,1.117663,[58 38] ; [110  94],[53.76 42.24] ; [114.24  89.76],0
n3,1,0.303879,1.057093,[13  7] ; [40 12],[14.72222222  5.27777778] ; [38.27777778 13.72222222],0
s4,1,0.306856,1.044159,[13 81] ; [ 38 166],[16.08724832 77.91275168] ; [ 34.91275168 169.08724832],0
u2,1,0.324529,0.970608,[24 13] ; [47 38],[21.53278689 15.46721311] ; [49.46721311 35.53278689],0
u3,1,0.345898,0.888449,[23 14] ; [45 40],[20.62295082 16.37704918] ; [47.37704918 37.62295082],0
r4,1,0.350129,0.872989,[84 12] ; [170  34],[81.28 14.72] ; [172.72  31.28],0
n1,1,0.358685,0.842493,[ 9 11] ; [17 34],[ 7.32394366 12.67605634] ; [18.67605634 32.32394366],0
r1,1,0.366147,0.816698,[72 24] ; [142  61],[68.7090301 27.2909699] ; [145.2909699  57.7090301],0
p11,1,0.388032,0.745101,[82 14] ; [166  38],[79.36 16.64] ; [168.64  35.36],0
