Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3e-06,21.905154,[11 25] ; [173  73],[23.4893617 12.5106383] ; [160.5106383  85.4893617],1
p7,1,3e-06,21.825247,[14 21] ; [187  54],[25.48913043  9.51086957] ; [175.51086957  65.48913043],1
p8,1,1.8e-05,18.381702,[11 26] ; [161  81],[22.81003584 14.18996416] ; [149.18996416  92.81003584],1
p10,1,0.000548,11.945866,[27 10] ; [224  20],[33.04982206  3.95017794] ; [217.95017794  26.04982206],1
d5,1,0.000576,11.850421,[23 13] ; [213  33],[30.12765957  5.87234043] ; [205.87234043  40.12765957],1
p9,1,0.001214,10.469511,[28  9] ; [224  18],[33.41935484  3.58064516] ; [218.58064516  23.41935484],0
d4,1,0.003661,8.444767,[25 11] ; [215  30],[30.74733096  5.25266904] ; [209.25266904  35.74733096],0
p3,1,0.005475,7.715472,[14 22] ; [156  91],[21.6254417 14.3745583] ; [148.3745583  98.6254417],0
d3,1,0.011596,6.371655,[19 17] ; [181  66],[25.44169611 10.55830389] ; [174.55830389  72.44169611],0
d1,1,0.015535,5.854805,[18 19] ; [170  77],[24.49295775 12.50704225] ; [163.50704225  83.49295775],0
v4,1,0.018288,5.568353,[34  3] ; [241   4],[36.08156028  0.91843972] ; [238.91843972   6.08156028],0
s1,1,0.019375,5.467337,[ 3 34] ; [  4 238],[ 0.92831541 36.07168459] ; [  6.07168459 235.92831541],0
a3,1,0.031187,4.64265,[24 13] ; [198  48],[29.02473498  7.97526502] ; [192.97526502  53.02473498],0
v2,1,0.03138,4.63203,[24 11] ; [204  40],[28.60215054  6.39784946] ; [199.39784946  44.60215054],0
r4,1,0.038481,4.283635,[32  5] ; [235  12],[34.78521127  2.21478873] ; [232.21478873  14.78521127],0
a8,1,0.042485,4.115758,[ 1 32] ; [ 36 183],[ 4.8452381 28.1547619] ; [ 32.1547619 186.8452381],0
n3,1,0.047537,3.926282,[3 4] ; [33  9],[5.14285714 1.85714286] ; [30.85714286 11.14285714],0
n6,1,0.060426,3.525666,[30  6] ; [228  18],[32.93617021  3.06382979] ; [225.06382979  20.93617021],0
s3,1,0.070086,3.281015,[17 19] ; [150  88],[21.94160584 14.05839416] ; [145.05839416  92.94160584],0
r3,1,0.072463,3.226339,[35  2] ; [242   3],[36.34397163  0.65602837] ; [240.65602837   4.34397163],0
p6,1,0.073008,3.214066,[10 27] ; [103 139],[14.98566308 22.01433692] ; [ 98.01433692 143.98566308],0
