Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.2e-05,19.085528,[ 30 151] ; [57 94],[ 47.43072289 133.56927711] ; [ 39.56927711 111.43072289],1
s5,1,1.3e-05,19.075165,[ 19 159] ; [ 45 106],[ 34.62613982 143.37386018] ; [ 29.37386018 121.62613982],1
s7,1,0.000277,13.218406,[ 34 132] ; [58 90],[ 48.63694268 117.36305732] ; [ 43.36305732 104.63694268],1
r4,1,0.00057,11.872822,[142  39] ; [140  12],[153.27927928  27.72072072] ; [128.72072072  23.27927928],1
p10,1,0.001154,10.562103,[124  56] ; [124  23],[136.51376147  43.48623853] ; [111.48623853  35.51376147],0
p2,1,0.001544,10.025556,[128  51] ; [129  21],[139.82674772  39.17325228] ; [117.17325228  32.82674772],0
s4,1,0.003026,8.791648,[ 10 171] ; [ 23 127],[ 18.04531722 162.95468278] ; [ 14.95468278 135.04531722],0
p9,1,0.003767,8.39308,[129  48] ; [129  21],[139.65137615  37.34862385] ; [118.34862385  31.65137615],0
p4,1,0.003945,8.308852,[83 96] ; [94 57],[96.00909091 82.99090909] ; [80.99090909 70.00909091],0
r3,1,0.00431,8.148444,[156  23] ; [146   6],[163.31722054  15.68277946] ; [138.68277946  13.31722054],0
p7,1,0.008987,6.825316,[95 84] ; [99 48],[106.52147239  72.47852761] ; [87.47852761 59.52147239],0
s3,1,0.011873,6.329778,[ 30 150] ; [ 42 107],[ 39.39209726 140.60790274] ; [ 32.60790274 116.39209726],0
p12,1,0.015972,5.805912,[  4 174] ; [ 12 138],[  8.68292683 169.31707317] ; [  7.31707317 142.68292683],0
r1,1,0.029313,4.749137,[136  43] ; [130  22],[143.8489426  35.1510574] ; [122.1510574  29.8489426],0
p8,1,0.030602,4.675145,[81 96] ; [85 62],[90.68518519 86.31481481] ; [75.31481481 71.68518519],0
n6,1,0.053623,3.72439,[134  45] ; [127  25],[141.14501511  37.85498489] ; [119.85498489  32.14501511],0
v4,1,0.069223,3.301343,[158  21] ; [142   9],[162.72727273  16.27272727] ; [137.27272727  13.72727273],0
d5,1,0.082148,3.021893,[147  34] ; [134  18],[152.73573574  28.26426426] ; [128.26426426  23.73573574],0
p6,1,0.092368,2.83262,[ 40 135] ; [ 47 104],[ 46.70245399 128.29754601] ; [ 40.29754601 110.70245399],0
p5,1,0.098325,2.732512,[ 14 166] ; [ 20 130],[ 18.54545455 161.45454545] ; [ 15.45454545 134.54545455],0
a3,1,0.100662,2.695025,[143  37] ; [109  43],[136.62650602  43.37349398] ; [115.37349398  36.62650602],0
n2,1,0.101228,2.686089,[29 19] ; [30  9],[32.55172414 15.44827586] ; [26.44827586 12.55172414],0
b4,1,0.123875,2.367635,[98 83] ; [95 57],[104.9039039  76.0960961] ; [88.0960961 63.9039039],0
b5,1,0.123875,2.367635,[98 83] ; [95 57],[104.9039039  76.0960961] ; [88.0960961 63.9039039],0
u1,1,0.146987,2.103245,[ 25 156] ; [ 30 122],[ 29.89489489 151.10510511] ; [ 25.10510511 126.89489489],0
d3,1,0.166374,1.915314,[122  59] ; [113  39],[127.73273273  53.26726727] ; [107.26726727  44.73273273],0
p3,1,0.190229,1.715843,[ 76 103] ; [75 76],[81.90606061 97.09393939] ; [69.09393939 81.90606061],0
p11,1,0.190646,1.71262,[133  48] ; [121  31],[138.06006006  42.93993994] ; [115.93993994  36.06006006],0
a8,1,0.1944,1.683952,[ 15 147] ; [ 19 116],[ 18.54545455 143.45454545] ; [ 15.45454545 119.54545455],0
n5,1,0.198577,1.652808,[125  54] ; [115  36],[130.18181818  48.81818182] ; [109.81818182  41.18181818],0
a4,1,0.220135,1.50349,[95 85] ; [69 81],[89.45454545 90.54545455] ; [74.54545455 75.45454545],0
v1,1,0.233649,1.418509,[82 96] ; [79 71],[87.37195122 90.62804878] ; [73.62804878 76.37195122],0
b2,1,0.334336,0.932032,[47 65] ; [34 62],[43.61538462 68.38461538] ; [37.38461538 58.61538462],0
b3,1,0.334336,0.932032,[47 65] ; [34 62],[43.61538462 68.38461538] ; [37.38461538 58.61538462],0
r2,1,0.337377,0.920372,[159  17] ; [139  10],[161.37846154  14.62153846] ; [136.62153846  12.37846154],0
n3,1,0.3562,0.851247,[27 17] ; [27 11],[28.97560976 15.02439024] ; [25.02439024 12.97560976],0
s1,1,0.356922,0.848696,[  5 173] ; [  2 148],[  3.79878049 174.20121951] ; [  3.20121951 146.79878049],0
n4,1,0.37933,0.772871,[136  44] ; [121  31],[139.3373494  40.6626506] ; [117.6626506  34.3373494],0
u2,1,0.395942,0.720615,[18 19] ; [25 18],[19.8875 17.1125] ; [23.1125 19.8875],0
d4,1,0.418608,0.654219,[145  36] ; [127  25],[147.84384384  33.15615616] ; [124.15615616  27.84384384],0
a6,1,0.490234,0.476013,[137  44] ; [110  42],[134.25525526  46.74474474] ; [112.74474474  39.25525526],0
a1,1,0.535303,0.384314,[  8 173] ; [  9 143],[  9.24024024 171.75975976] ; [  7.75975976 144.24024024],0
b1,1,0.542887,0.370215,[ 75 106] ; [58 94],[ 72.29129129 108.70870871] ; [60.70870871 91.29129129],0
d2,1,0.601653,0.27251,[97 82] ; [78 74],[94.63746224 84.36253776] ; [80.36253776 71.63746224],0
a7,1,0.601743,0.272376,[128  52] ; [112  40],[130.12048193  49.87951807] ; [109.87951807  42.12048193],0
v3,1,0.609568,0.260804,[ 58 116] ; [53 94],[ 60.1682243 113.8317757] ; [50.8317757 96.1682243],0
p1,1,0.631275,0.230336,[ 17 163] ; [ 12 139],[ 15.77039275 164.22960725] ; [ 13.22960725 137.77039275],0
n1,1,0.657426,0.196665,[16 30] ; [15 23],[16.97619048 29.02380952] ; [14.02380952 23.97619048],0
d1,1,0.701109,0.147321,[107  74] ; [93 59],[108.70870871  72.29129129] ; [91.29129129 60.70870871],0
v2,1,0.733611,0.115822,[93 82] ; [82 67],[94.52160494 80.47839506] ; [80.47839506 68.52160494],0
u3,1,0.814089,0.055298,[20 18] ; [21 21],[19.475 18.525] ; [21.525 20.475],0
a2,1,0.966531,0.001761,[ 48 133] ; [ 40 112],[ 47.83183183 133.16816817] ; [ 40.16816817 111.83183183],0
