Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,2.6e-05,17.715053,[49  1] ; [5 4],[45.76271186  4.23728814] ; [8.23728814 0.76271186],1
r1,1,0.000176,14.067943,[44  6] ; [3 6],[39.83050847 10.16949153] ; [7.16949153 1.83050847],1
v4,1,0.000577,11.848273,[49  1] ; [6 3],[46.61016949  3.38983051] ; [8.38983051 0.61016949],1
s1,1,0.011016,6.462685,[ 1 49] ; [2 7],[ 2.54237288 47.45762712] ; [0.45762712 8.54237288],0
p7,1,0.018176,5.579151,[31 17] ; [2 7],[27.78947368 20.21052632] ; [5.21052632 3.78947368],0
p11,1,0.024076,5.089128,[36 14] ; [3 6],[33.05084746 16.94915254] ; [5.94915254 3.05084746],0
p9,1,0.037242,4.339303,[41  7] ; [5 4],[38.73684211  9.26315789] ; [7.26315789 1.73684211],0
s2,1,0.03924,4.250468,[24 26] ; [1 8],[21.18644068 28.81355932] ; [3.81355932 5.18644068],0
n3,1,0.050694,3.818346,[13  6] ; [1 4],[11.08333333  7.91666667] ; [2.91666667 2.08333333],0
p2,1,0.059848,3.541586,[37 12] ; [4 5],[34.63793103 14.36206897] ; [6.36206897 2.63793103],0
s3,1,0.062046,3.481829,[28 22] ; [2 7],[25.42372881 24.57627119] ; [4.57627119 4.42372881],0
p10,1,0.084652,2.973235,[40  9] ; [5 4],[38.01724138 10.98275862] ; [6.98275862 2.01724138],0
s5,1,0.108516,2.575701,[19 30] ; [1 8],[16.89655172 32.10344828] ; [3.10344828 5.89655172],0
s8,1,0.116703,2.461023,[19 31] ; [1 8],[16.94915254 33.05084746] ; [3.05084746 5.94915254],0
n2,1,0.155132,2.021053,[14  5] ; [2 3],[12.66666667  6.33333333] ; [3.33333333 1.66666667],0
a5,1,0.174241,1.846071,[34 16] ; [4 5],[32.20338983 17.79661017] ; [5.79661017 3.20338983],0
b1,1,0.219024,1.510758,[ 8 42] ; [3 6],[ 9.3220339 40.6779661] ; [1.6779661 7.3220339],0
p8,1,0.276609,1.183673,[26 23] ; [3 6],[24.5 24.5] ; [4.5 4.5],0
a2,1,0.292784,1.106773,[ 9 41] ; [3 6],[10.16949153 39.83050847] ; [1.83050847 7.16949153],0
v2,1,0.324732,0.969792,[39  9] ; [6 3],[37.89473684 10.10526316] ; [7.10526316 1.89473684],0
b3,1,0.332373,0.939631,[ 9 15] ; [2 1],[ 9.77777778 14.22222222] ; [1.22222222 1.77777778],0
b2,1,0.332373,0.939631,[ 9 15] ; [2 1],[ 9.77777778 14.22222222] ; [1.22222222 1.77777778],0
d3,1,0.333769,0.934219,[37 13] ; [8 1],[38.13559322 11.86440678] ; [6.86440678 2.13559322],0
s4,1,0.333769,0.934219,[13 37] ; [1 8],[11.86440678 38.13559322] ; [2.13559322 6.86440678],0
p3,1,0.342242,0.902016,[19 30] ; [2 7],[17.74137931 31.25862069] ; [3.25862069 5.74137931],0
s6,1,0.344109,0.895062,[35 14] ; [5 4],[33.79310345 15.20689655] ; [6.20689655 2.79310345],0
p1,1,0.381457,0.766,[ 2 47] ; [1 8],[ 2.53448276 46.46551724] ; [0.46551724 8.53448276],0
p4,1,0.387077,0.748104,[24 25] ; [3 6],[22.81034483 26.18965517] ; [4.18965517 4.81034483],0
n6,1,0.416406,0.660436,[34 15] ; [5 4],[32.94827586 16.05172414] ; [6.05172414 2.94827586],0
a3,1,0.421495,0.646142,[32 18] ; [7 2],[33.05084746 16.94915254] ; [5.94915254 3.05084746],0
n5,1,0.421495,0.646142,[18 32] ; [2 7],[16.94915254 33.05084746] ; [3.05084746 5.94915254],0
d2,1,0.467814,0.527134,[16 34] ; [4 5],[16.94915254 33.05084746] ; [3.05084746 5.94915254],0
b5,1,0.481051,0.49648,[27 23] ; [6 3],[27.96610169 22.03389831] ; [5.03389831 3.96610169],0
v1,1,0.626087,0.237405,[29 21] ; [6 3],[29.66101695 20.33898305] ; [5.33898305 3.66101695],0
p6,1,0.674898,0.175926,[ 8 40] ; [1 8],[ 7.57894737 40.42105263] ; [1.42105263 7.57894737],0
d1,1,0.676395,0.174212,[24 26] ; [5 4],[24.57627119 25.42372881] ; [4.42372881 4.57627119],0
u3,1,0.683406,0.166317,[11  6] ; [1 1],[10.73684211  6.26315789] ; [1.26315789 0.73684211],0
u1,1,0.707272,0.141017,[ 8 42] ; [1 8],[ 7.62711864 42.37288136] ; [1.37288136 7.62711864],0
a4,1,0.745012,0.10577,[14 36] ; [3 6],[14.40677966 35.59322034] ; [2.59322034 6.40677966],0
a7,1,0.764632,0.089642,[41  9] ; [7 2],[40.6779661  9.3220339] ; [7.3220339 1.6779661],0
p5,1,0.772114,0.083875,[ 4 45] ; [1 8],[ 4.22413793 44.77586207] ; [0.77586207 8.22413793],0
s7,1,0.778068,0.079433,[18 29] ; [3 6],[17.625 29.375] ; [3.375 5.625],0
d5,1,0.810636,0.057411,[37 13] ; [7 2],[37.28813559 12.71186441] ; [6.71186441 2.28813559],0
d4,1,0.815729,0.054308,[43  7] ; [8 1],[43.22033898  6.77966102] ; [7.77966102 1.22033898],0
p12,1,0.934547,0.006745,[ 5 44] ; [1 8],[ 5.06896552 43.93103448] ; [0.93103448 8.06896552],0
a6,1,0.937186,0.006211,[34 16] ; [6 3],[33.89830508 16.10169492] ; [6.10169492 2.89830508],0
b4,1,0.968974,0.001513,[33 17] ; [6 3],[33.05084746 16.94915254] ; [5.94915254 3.05084746],0
