Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,4.2e-05,16.778258,[10 83] ; [13 16],[17.53278689 75.46721311] ; [ 5.46721311 23.53278689],1
s6,1,4.8e-05,16.538554,[41 54] ; [25  4],[50.56451613 44.43548387] ; [15.43548387 13.56451613],1
p12,1,0.000281,13.190186,[ 3 92] ; [ 7 22],[ 7.66129032 87.33870968] ; [ 2.33870968 26.66129032],1
r4,1,0.000707,11.470899,[61 34] ; [28  1],[68.18548387 26.81451613] ; [20.81451613  8.18548387],1
p5,1,0.003055,8.774169,[ 5 88] ; [ 7 22],[ 9.14754098 83.85245902] ; [ 2.85245902 26.14754098],0
s8,1,0.003715,8.417944,[29 66] ; [17 11],[35.52845528 59.47154472] ; [10.47154472 17.52845528],0
v4,1,0.004873,7.925884,[68 27] ; [28  1],[73.5483871 21.4516129] ; [22.4516129  6.5483871],0
s2,1,0.006383,7.438954,[32 63] ; [18 11],[38.30645161 56.69354839] ; [11.69354839 17.30645161],0
a5,1,0.011725,6.351914,[58 37] ; [25  4],[63.58870968 31.41129032] ; [19.41129032  9.58870968],0
p8,1,0.016015,5.801187,[16 79] ; [11 18],[20.68548387 74.31451613] ; [ 6.31451613 22.68548387],0
s4,1,0.018839,5.516354,[10 84] ; [ 8 20],[13.86885246 80.13114754] ; [ 4.13114754 23.86885246],0
p10,1,0.019396,5.465414,[47 47] ; [21  7],[52.39344262 41.60655738] ; [15.60655738 12.39344262],0
v1,1,0.023983,5.09587,[29 62] ; [16 13],[34.125 56.875] ; [10.875 18.125],0
r1,1,0.024515,5.057819,[61 34] ; [25  4],[65.88709677 29.11290323] ; [20.11290323  8.88709677],0
s7,1,0.031461,4.627651,[32 57] ; [17 12],[36.95762712 52.04237288] ; [12.04237288 16.95762712],0
p9,1,0.039589,4.235403,[50 42] ; [22  7],[54.74380165 37.25619835] ; [17.25619835 11.74380165],0
r3,1,0.058004,3.593554,[69 26] ; [26  3],[72.78225806 22.21774194] ; [22.21774194  6.78225806],0
d3,1,0.070516,3.270969,[49 45] ; [20  8],[53.16393443 40.83606557] ; [15.83606557 12.16393443],0
p4,1,0.07462,3.178356,[22 72] ; [11 16],[25.63636364 68.36363636] ; [ 7.36363636 19.63636364],0
v2,1,0.074748,3.175554,[40 52] ; [17 10],[44.06722689 47.93277311] ; [12.93277311 14.06722689],0
n6,1,0.079402,3.077093,[69 25] ; [25  3],[72.42622951 21.57377049] ; [21.57377049  6.42622951],0
r2,1,0.113389,2.50634,[78 13] ; [28  1],[80.38333333 10.61666667] ; [25.61666667  3.38333333],0
p1,1,0.115475,2.477642,[ 7 88] ; [ 5 24],[ 9.19354839 85.80645161] ; [ 2.80645161 26.19354839],0
p7,1,0.141559,2.160933,[27 63] ; [13 16],[30.25210084 59.74789916] ; [ 9.74789916 19.25210084],0
u3,1,0.161989,1.955556,[13 20] ; [7 4],[15. 18.] ; [5. 6.],0
p11,1,0.206896,1.593017,[53 42] ; [20  9],[55.92741935 39.07258065] ; [17.07258065 11.92741935],0
v3,1,0.20816,1.584177,[33 57] ; [14 14],[35.84745763 54.15254237] ; [11.15254237 16.84745763],0
p3,1,0.223822,1.479699,[29 66] ; [12 16],[31.66666667 63.33333333] ; [ 9.33333333 18.66666667],0
n3,1,0.252904,1.30719,[20 14] ; [5 1],[21.25 12.75] ; [3.75 2.25],0
s1,1,0.295118,1.096127,[ 7 87] ; [ 4 25],[ 8.40650407 85.59349593] ; [ 2.59349593 26.40650407],0
s3,1,0.325164,0.968062,[40 53] ; [15 13],[42.27272727 50.72727273] ; [12.72727273 15.27272727],0
b1,1,0.336221,0.924788,[46 49] ; [17 12],[48.26612903 46.73387097] ; [14.73387097 14.26612903],0
a8,1,0.361315,0.833316,[11 79] ; [ 5 21],[12.4137931 77.5862069] ; [ 3.5862069 22.4137931],0
d4,1,0.445608,0.581798,[67 27] ; [22  6],[68.57377049 25.42622951] ; [20.42622951  7.57377049],0
n2,1,0.508141,0.437894,[26 11] ; [5 1],[26.6744186 10.3255814] ; [4.3255814 1.6744186],0
a6,1,0.553505,0.351076,[58 36] ; [19  9],[59.32786885 34.67213115] ; [17.67213115 10.32786885],0
a2,1,0.573305,0.317183,[21 74] ; [ 5 24],[19.91935484 75.08064516] ; [ 6.08064516 22.91935484],0
a3,1,0.649124,0.207006,[62 31] ; [18 11],[60.98360656 32.01639344] ; [19.01639344  9.98360656],0
b5,1,0.73449,0.115028,[49 46] ; [16 13],[49.7983871 45.2016129] ; [15.2016129 13.7983871],0
u1,1,0.742063,0.108322,[19 76] ; [ 5 24],[18.38709677 76.61290323] ; [ 5.61290323 23.38709677],0
u2,1,0.760918,0.092584,[15 18] ; [4 6],[14.58139535 18.41860465] ; [4.41860465 5.58139535],0
a4,1,0.768859,0.086359,[42 51] ; [14 15],[42.68852459 50.31147541] ; [13.31147541 15.68852459],0
d2,1,0.778278,0.079278,[47 46] ; [15 13],[47.65289256 45.34710744] ; [14.34710744 13.65289256],0
d5,1,0.787938,0.072355,[63 31] ; [18 10],[62.40983607 31.59016393] ; [18.59016393  9.40983607],0
a7,1,0.817095,0.053492,[60 35] ; [19 10],[60.52419355 34.47580645] ; [18.47580645 10.52419355],0
a1,1,0.854163,0.033786,[11 84] ; [ 3 26],[10.72580645 84.27419355] ; [ 3.27419355 25.72580645],0
d1,1,0.888065,0.019812,[51 44] ; [16 13],[51.33064516 43.66935484] ; [15.66935484 13.33064516],0
n1,1,0.890599,0.018919,[21 16] ; [3 2],[21.14285714 15.85714286] ; [2.85714286 2.14285714],0
n5,1,0.935749,0.006499,[78 17] ; [24  5],[78.14516129 16.85483871] ; [23.85483871  5.14516129],0
b4,1,0.944715,0.004809,[55 40] ; [17 12],[55.16129032 39.83870968] ; [16.83870968 12.16129032],0
b3,1,0.962903,0.002163,[28 41] ; [ 8 12],[27.91011236 41.08988764] ; [ 8.08988764 11.91011236],0
b2,1,0.962903,0.002163,[28 41] ; [ 8 12],[27.91011236 41.08988764] ; [ 8.08988764 11.91011236],0
