Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,62.687942,[99 60] ; [ 1 57],[73.2718894 85.7281106] ; [26.7281106 31.2718894],1
d4,1,0.0,45.676787,[136  23] ; [23 35],[116.50230415  42.49769585] ; [42.49769585 15.50230415],1
a5,1,1e-06,25.11257,[125  34] ; [25 33],[109.9078341  49.0921659] ; [40.0921659 17.9078341],1
a4,1,4e-06,21.254506,[84 75] ; [10 47],[69.19444444 89.80555556] ; [24.80555556 32.19444444],1
a3,1,5e-06,20.824775,[125  34] ; [27 31],[111.37327189  47.62672811] ; [40.62672811 17.37327189],1
d3,1,6e-06,20.509666,[82 77] ; [10 48],[67.41013825 91.58986175] ; [24.58986175 33.41013825],1
d2,1,0.000139,14.515629,[87 71] ; [15 43],[74.61111111 83.38888889] ; [27.38888889 30.61111111],1
s7,1,0.000275,13.235031,[91 64] ; [17 39],[79.33649289 75.66350711] ; [28.66350711 27.33649289],1
n4,1,0.000767,11.320571,[132  26] ; [36 22],[122.88888889  35.11111111] ; [45.11111111 12.88888889],1
p10,1,0.001151,10.568049,[132  23] ; [37 20],[123.56132075  31.43867925] ; [45.43867925 11.56132075],0
p2,1,0.001659,9.892611,[129  25] ; [37 21],[120.58490566  33.41509434] ; [45.41509434 12.58490566],0
p4,1,0.001996,9.55322,[92 64] ; [20 37],[82.02816901 73.97183099] ; [29.97183099 27.02816901],0
v3,1,0.002243,9.339201,[66 89] ; [11 45],[56.56398104 98.43601896] ; [20.43601896 35.56398104],0
p6,1,0.002587,9.077989,[63 88] ; [11 46],[53.72115385 97.27884615] ; [20.27884615 36.72115385],0
p1,1,0.004318,8.144836,[  8 149] ; [10 48],[ 13.14418605 143.85581395] ; [ 4.85581395 53.14418605],0
r2,1,0.004948,7.898223,[147  10] ; [46 11],[141.59345794  15.40654206] ; [51.40654206  5.59345794],0
s2,1,0.006585,7.382851,[83 75] ; [18 39],[74.22325581 83.77674419] ; [26.77674419 30.22325581],0
v2,1,0.007272,7.204522,[84 71] ; [17 35],[75.62801932 79.37198068] ; [25.37198068 26.62801932],0
n5,1,0.011082,6.452181,[130  27] ; [38 19],[123.25233645  33.74766355] ; [44.74766355 12.25233645],0
r4,1,0.012687,6.212229,[138  21] ; [42 16],[131.88940092  27.11059908] ; [48.11059908  9.88940092],0
p7,1,0.015854,5.819048,[106  48] ; [29 28],[98.53080569 55.46919431] ; [36.46919431 20.53080569],0
s5,1,0.017318,5.663834,[63 88] ; [13 42],[55.70873786 95.29126214] ; [20.29126214 34.70873786],0
n6,1,0.020571,5.362791,[135  22] ; [42 16],[129.25116279  27.74883721] ; [47.74883721 10.25116279],0
s8,1,0.023069,5.163325,[82 76] ; [20 38],[74.61111111 83.38888889] ; [27.38888889 30.61111111],0
v1,1,0.035994,4.397399,[88 65] ; [24 34],[81.21327014 71.78672986] ; [30.78672986 27.21327014],0
r1,1,0.04084,4.182657,[121  38] ; [36 22],[115.03686636  43.96313364] ; [41.96313364 16.03686636],0
a2,1,0.043069,4.092686,[ 16 143] ; [ 1 57],[ 12.4562212 146.5437788] ; [ 4.5437788 53.4562212],0
p9,1,0.044109,4.052375,[136  20] ; [44 14],[131.21495327  24.78504673] ; [48.78504673  9.21495327],0
s6,1,0.049497,3.858415,[103  50] ; [30 27],[96.9 56.1] ; [36.1 20.9],0
s1,1,0.059366,3.555022,[  3 154] ; [ 4 52],[  5.15962441 151.84037559] ; [ 1.84037559 54.15962441],0
r3,1,0.072646,3.222192,[150   8] ; [51  7],[147.02777778  10.97222222] ; [53.97222222  4.02777778],0
p3,1,0.089609,2.881387,[80 77] ; [22 36],[74.48372093 82.51627907] ; [27.51627907 30.48372093],0
u1,1,0.109693,2.558643,[ 12 147] ; [ 1 57],[  9.52534562 149.47465438] ; [ 3.47465438 54.52534562],0
p5,1,0.13351,2.251215,[ 23 133] ; [ 4 53],[ 19.77464789 136.22535211] ; [ 7.22535211 49.77464789],0
s3,1,0.167781,1.902661,[93 65] ; [27 29],[88.59813084 69.40186916] ; [31.40186916 24.59813084],0
n1,1,0.20573,1.60122,[19 21] ; [ 5 12],[16.84210526 23.15789474] ; [7.15789474 9.84210526],0
a6,1,0.289817,1.12047,[64 95] ; [28 30],[67.41013825 91.58986175] ; [24.58986175 33.41013825],0
