Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,48.176808,[103  23] ; [ 5 25],[87.23076923 38.76923077] ; [20.76923077  9.23076923],1
r3,1,0.0,33.512683,[113  13] ; [13 17],[101.76923077  24.23076923] ; [24.23076923  5.76923077],1
r2,1,3e-06,22.047402,[114  11] ; [17 13],[105.64516129  19.35483871] ; [25.35483871  4.64516129],1
p2,1,3e-06,21.897994,[88 36] ; [ 7 22],[76.99346405 47.00653595] ; [18.00653595 10.99346405],1
p10,1,3.1e-05,17.326954,[78 45] ; [ 6 23],[67.97368421 55.02631579] ; [16.02631579 12.97368421],1
p11,1,4.8e-05,16.526585,[81 45] ; [ 7 23],[71.07692308 54.92307692] ; [16.92307692 13.07692308],1
r1,1,0.000205,13.788007,[97 28] ; [13 17],[88.70967742 36.29032258] ; [21.29032258  8.70967742],1
p9,1,0.00033,12.893336,[87 37] ; [10 19],[78.61437908 45.38562092] ; [18.38562092 10.61437908],1
d5,1,0.000739,11.387824,[97 28] ; [14 16],[89.51612903 35.48387097] ; [21.48387097  8.51612903],1
s6,1,0.000936,10.949198,[63 63] ; [ 5 25],[54.92307692 71.07692308] ; [13.07692308 16.92307692],1
u2,1,0.001583,9.978845,[31 10] ; [ 4 10],[26.09090909 14.90909091] ; [8.90909091 5.09090909],0
s8,1,0.002834,8.911635,[37 89] ; [ 1 29],[30.69230769 95.30769231] ; [ 7.30769231 22.69230769],0
s2,1,0.004581,8.037678,[46 79] ; [ 3 27],[39.51612903 85.48387097] ; [ 9.48387097 20.51612903],0
a1,1,0.004879,7.92381,[  6 120] ; [ 6 24],[  9.69230769 116.30769231] ; [ 2.30769231 27.69230769],0
d3,1,0.005371,7.750244,[80 44] ; [11 19],[73.27272727 50.72727273] ; [17.72727273 12.27272727],0
v2,1,0.012252,6.274038,[58 58] ; [ 7 22],[52. 64.] ; [13. 16.],0
p7,1,0.012614,6.222496,[62 57] ; [ 8 22],[55.90604027 63.09395973] ; [14.09395973 15.90604027],0
s7,1,0.015891,5.814923,[34 83] ; [ 2 26],[29.04827586 87.95172414] ; [ 6.95172414 21.04827586],0
p4,1,0.039105,4.256287,[54 69] ; [ 7 23],[49.03921569 73.96078431] ; [11.96078431 18.03921569],0
s3,1,0.042415,4.118576,[60 64] ; [ 8 21],[55.11111111 68.88888889] ; [12.88888889 16.11111111],0
n3,1,0.045615,3.995768,[29 11] ; [6 8],[25.92592593 14.07407407] ; [9.07407407 4.92592593],0
v1,1,0.046688,3.956599,[57 65] ; [ 8 22],[52.17105263 69.82894737] ; [12.82894737 17.17105263],0
p3,1,0.062778,3.462428,[42 81] ; [ 5 25],[37.78431373 85.21568627] ; [ 9.21568627 20.78431373],0
p8,1,0.063478,3.444103,[48 75] ; [ 6 23],[43.69736842 79.30263158] ; [10.30263158 18.69736842],0
