Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000184,13.991528,[105  41] ; [15 23],[95.2173913 50.7826087] ; [24.7826087 13.2173913],1
n4,1,0.000727,11.419021,[101  45] ; [15 23],[92.04347826 53.95652174] ; [23.95652174 14.04347826],1
r3,1,0.001083,10.679716,[133  13] ; [27 11],[126.95652174  19.04347826] ; [33.04347826  4.95652174],0
b1,1,0.00213,9.433888,[52 94] ; [24 14],[60.30434783 85.69565217] ; [15.69565217 22.30434783],0
u3,1,0.005403,7.739331,[23 37] ; [13  4],[28.05194805 31.94805195] ; [7.94805195 9.05194805],0
p8,1,0.007886,7.059203,[70 74] ; [ 9 28],[62.85082873 81.14917127] ; [16.14917127 20.85082873],0
n5,1,0.02321,5.152697,[101  44] ; [19 19],[95.08196721 49.91803279] ; [24.91803279 13.08196721],0
p10,1,0.023942,5.098863,[108  35] ; [21 16],[102.48333333  40.51666667] ; [26.51666667 10.48333333],0
v3,1,0.026225,4.941102,[46 98] ; [ 5 32],[ 40.57458564 103.42541436] ; [10.42541436 26.57458564],0
p11,1,0.033355,4.527462,[110  36] ; [22 16],[104.73913043  41.26086957] ; [27.26086957 10.73913043],0
p9,1,0.044531,4.036323,[118  24] ; [26 12],[113.6  28.4] ; [30.4  7.6],0
p3,1,0.048818,3.881592,[67 79] ; [10 26],[61.76923077 84.23076923] ; [15.23076923 20.76923077],0
b4,1,0.063471,3.444286,[86 60] ; [16 22],[80.93478261 65.06521739] ; [21.06521739 16.93478261],0
u2,1,0.104502,2.635457,[29 31] ; [12  5],[31.94805195 28.05194805] ; [9.05194805 7.94805195],0
b3,1,0.11923,2.427411,[33 51] ; [ 5 18],[29.8317757 54.1682243] ; [ 8.1682243 14.8317757],0
b2,1,0.11923,2.427411,[33 51] ; [ 5 18],[29.8317757 54.1682243] ; [ 8.1682243 14.8317757],0
r2,1,0.127349,2.324526,[123  20] ; [28  9],[119.96111111  23.03888889] ; [31.03888889  5.96111111],0
s6,1,0.176105,1.830193,[81 61] ; [17 21],[77.31111111 64.68888889] ; [20.68888889 17.31111111],0
n1,1,0.209482,1.575,[14 34] ; [7 8],[16. 32.] ; [ 5. 10.],0
p4,1,0.224568,1.474938,[75 70] ; [15 22],[71.7032967 73.2967033] ; [18.2967033 18.7032967],0
p5,1,0.245132,1.350834,[ 17 128] ; [ 2 36],[ 15.05464481 129.94535519] ; [ 3.94535519 34.05464481],0
d1,1,0.252178,1.311198,[61 85] ; [12 26],[57.92391304 88.07608696] ; [15.07608696 22.92391304],0
a6,1,0.282243,1.156258,[78 68] ; [24 14],[80.93478261 65.06521739] ; [21.06521739 16.93478261],0
a7,1,0.290267,1.118383,[90 55] ; [20 18],[87.15846995 57.84153005] ; [22.84153005 15.15846995],0
p2,1,0.316795,1.002132,[114  32] ; [26 11],[111.69398907  34.30601093] ; [28.30601093  8.69398907],0
n3,1,0.367784,0.811138,[31 17] ; [13  4],[32.49230769 15.50769231] ; [11.50769231  5.49230769],0
a5,1,0.371665,0.798091,[81 65] ; [18 20],[78.55434783 67.44565217] ; [20.44565217 17.55434783],0
s4,1,0.385955,0.751649,[ 29 117] ; [10 28],[ 30.94565217 115.05434783] ; [ 8.05434783 29.94565217],0
d2,1,0.429719,0.623582,[51 94] ; [16 22],[53.08743169 91.91256831] ; [13.91256831 24.08743169],0
d3,1,0.431674,0.618316,[81 64] ; [18 19],[78.87362637 66.12637363] ; [20.12637363 16.87362637],0
n2,1,0.437662,0.602405,[35 13] ; [14  3],[36.18461538 11.81538462] ; [12.81538462  4.18461538],0
a1,1,0.446345,0.579916,[ 10 136] ; [ 4 34],[ 11.10869565 134.89130435] ; [ 2.89130435 35.10869565],0
d5,1,0.47522,0.509814,[104  41] ; [25 13],[102.21311475  42.78688525] ; [26.78688525 11.21311475],0
s7,1,0.504282,0.445914,[53 85] ; [12 25],[51.25714286 86.74285714] ; [13.74285714 23.25714286],0
b5,1,0.510346,0.433357,[93 53] ; [22 16],[91.25 54.75] ; [23.75 14.25],0
s5,1,0.519654,0.414579,[ 38 100] ; [ 8 28],[ 36.48275862 101.51724138] ; [ 9.51724138 26.48275862],0
s3,1,0.540791,0.374075,[64 80] ; [19 19],[65.67032967 78.32967033] ; [17.32967033 20.67032967],0
p12,1,0.573587,0.316718,[  7 138] ; [ 1 36],[  6.37362637 138.62637363] ; [ 1.62637363 35.37362637],0
a4,1,0.643872,0.213714,[48 98] ; [11 27],[46.81521739 99.18478261] ; [12.18478261 25.81521739],0
p6,1,0.654175,0.200677,[49 93] ; [11 25],[47.86516854 94.13483146] ; [12.13483146 23.86516854],0
d4,1,0.671564,0.179778,[105  41] ; [26 12],[103.94565217  42.05434783] ; [27.05434783 10.94565217],0
v2,1,0.682416,0.167419,[59 83] ; [14 23],[57.91061453 84.08938547] ; [15.08938547 21.91061453],0
s8,1,0.701383,0.147037,[47 99] ; [11 27],[46.02173913 99.97826087] ; [11.97826087 26.02173913],0
a3,1,0.709011,0.139266,[85 60] ; [21 17],[83.98907104 61.01092896] ; [22.01092896 15.98907104],0
a2,1,0.747997,0.103222,[ 14 132] ; [ 3 35],[ 13.48913043 132.51086957] ; [ 3.51086957 34.48913043],0
s1,1,0.825663,0.048518,[  5 141] ; [ 1 36],[  4.78688525 141.21311475] ; [ 1.21311475 35.78688525],0
a8,1,0.868125,0.027569,[ 10 127] ; [ 3 34],[ 10.23563218 126.76436782] ; [ 2.76436782 34.23563218],0
p7,1,0.88114,0.022357,[78 66] ; [19 17],[77.6 66.4] ; [19.4 16.6],0
u1,1,0.90503,0.014235,[  7 139] ; [ 2 36],[  7.14130435 138.85869565] ; [ 1.85869565 36.14130435],0
s2,1,0.907673,0.01345,[63 83] ; [16 22],[62.68478261 83.31521739] ; [16.31521739 21.68478261],0
p1,1,0.948089,0.004239,[ 12 134] ; [ 3 35],[ 11.90217391 134.09782609] ; [ 3.09782609 34.90217391],0
v1,1,0.989817,0.000163,[59 83] ; [15 21],[59.03370787 82.96629213] ; [14.96629213 21.03370787],0
