Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.1e-05,19.285309,[14 19] ; [66 13],[23.57142857  9.42857143] ; [56.42857143 22.57142857],1
n6,1,0.000735,11.398258,[18 16] ; [65 13],[25.19642857  8.80357143] ; [57.80357143 20.19642857],1
u1,1,0.013321,6.126006,[ 1 33] ; [17 62],[ 5.4159292 28.5840708] ; [12.5840708 66.4159292],0
n3,1,0.03076,4.666332,[9 7] ; [20  3],[11.8974359  4.1025641] ; [17.1025641  5.8974359],0
a6,1,0.041727,4.146257,[17 17] ; [54 23],[21.74774775 12.25225225] ; [49.25225225 27.74774775],0
s8,1,0.048608,3.888835,[11 23] ; [41 37],[15.78571429 18.21428571] ; [36.21428571 41.78571429],0
d1,1,0.055031,3.681138,[14 20] ; [48 31],[18.65486726 15.34513274] ; [43.34513274 35.65486726],0
p11,1,0.066314,3.371974,[20 14] ; [60 19],[24.07079646  9.92920354] ; [55.92920354 23.07079646],0
v3,1,0.067495,3.342906,[ 7 23] ; [31 42],[11.06796117 18.93203883] ; [26.93203883 46.06796117],0
a8,1,0.073182,3.210177,[ 1 32] ; [11 63],[ 3.70093458 29.29906542] ; [ 8.29906542 65.70093458],0
s7,1,0.082439,3.016145,[10 21] ; [39 38],[14.06481481 16.93518519] ; [34.93518519 42.06481481],0
a7,1,0.121538,2.397384,[19 15] ; [56 23],[22.56637168 11.43362832] ; [52.43362832 26.56637168],0
d3,1,0.138121,2.198768,[17 17] ; [50 27],[20.52252252 13.47747748] ; [46.47747748 30.52252252],0
p7,1,0.141902,2.157208,[ 9 24] ; [32 44],[12.41284404 20.58715596] ; [28.58715596 47.41284404],0
n1,1,0.150945,2.062672,[ 6 10] ; [14  9],[8.20512821 7.79487179] ; [11.79487179 11.20512821],0
r2,1,0.156889,2.003963,[29  5] ; [73  5],[30.96428571  3.03571429] ; [71.03571429  6.96428571],0
r1,1,0.16599,1.91879,[21 13] ; [59 20],[24.07079646  9.92920354] ; [55.92920354 23.07079646],0
s6,1,0.213123,1.550083,[18 16] ; [51 27],[20.94642857 13.05357143] ; [48.05357143 29.94642857],0
p12,1,0.283596,1.149774,[ 2 32] ; [10 69],[ 3.61061947 30.38938053] ; [ 8.38938053 70.61061947],0
s2,1,0.310954,1.026621,[15 19] ; [42 35],[17.45945946 16.54054054] ; [39.54054054 37.45945946],0
d4,1,0.321056,0.984639,[23 11] ; [59 18],[25.11711712  8.88288288] ; [56.88288288 20.11711712],0
v2,1,0.34972,0.874474,[14 16] ; [42 32],[16.15384615 13.84615385] ; [39.84615385 34.15384615],0
n2,1,0.355582,0.853437,[13  3] ; [21  2],[13.94871795  2.05128205] ; [20.05128205  2.94871795],0
p3,1,0.358072,0.844646,[10 24] ; [30 48],[12.14285714 21.85714286] ; [27.85714286 50.14285714],0
b1,1,0.372816,0.794258,[12 22] ; [35 44],[14.14159292 19.85840708] ; [32.85840708 46.14159292],0
d5,1,0.394048,0.726413,[22 12] ; [56 21],[23.89189189 10.10810811] ; [54.10810811 22.89189189],0
s4,1,0.406454,0.689148,[10 24] ; [17 60],[ 8.27027027 25.72972973] ; [18.72972973 58.27027027],0
s3,1,0.425758,0.634367,[16 18] ; [42 34],[17.92727273 16.07272727] ; [40.07272727 35.92727273],0
b4,1,0.439306,0.598094,[18 16] ; [48 31],[19.85840708 14.14159292] ; [46.14159292 32.85840708],0
b5,1,0.45426,0.56,[24 10] ; [50 29],[22.26548673 11.73451327] ; [51.73451327 27.26548673],0
p5,1,0.45804,0.550681,[ 2 31] ; [ 8 68],[ 3.02752294 29.97247706] ; [ 6.97247706 69.02752294],0
