Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.258651,[112  10] ; [87 44],[95.96047431 26.03952569] ; [103.03952569  27.96047431],1
s6,1,5e-05,16.435402,[115   5] ; [102  28],[104.16  15.84] ; [112.84  17.16],1
v1,1,0.000138,14.532698,[86 35] ; [60 67],[71.23387097 49.76612903] ; [74.76612903 52.23387097],1
p5,1,0.000215,13.695525,[34 87] ; [ 13 118],[22.56746032 98.43253968] ; [ 24.43253968 106.56746032],1
p7,1,0.001789,9.75393,[109   9] ; [100  28],[100.25203252  17.74796748] ; [108.74796748  19.25203252],0
s7,1,0.005684,7.647771,[92 26] ; [79 49],[82.02439024 35.97560976] ; [88.97560976 39.02439024],0
p9,1,0.006219,7.485691,[114   7] ; [109  22],[107.07539683  13.92460317] ; [115.92460317  15.07539683],0
p10,1,0.00686,7.309234,[112   9] ; [106  25],[104.67460317  16.32539683] ; [113.32539683  17.67460317],0
v3,1,0.007887,7.058971,[69 52] ; [51 76],[58.5483871 62.4516129] ; [61.4516129 65.5483871],0
n6,1,0.023914,5.10087,[111   9] ; [108  22],[105.12  14.88] ; [113.88  16.12],0
p6,1,0.024429,5.063941,[72 48] ; [60 71],[63.10756972 56.89243028] ; [68.89243028 62.10756972],0
s8,1,0.032554,4.569091,[86 34] ; [77 54],[77.92828685 42.07171315] ; [85.07171315 45.92828685],0
n2,1,0.032822,4.555056,[21  1] ; [12  5],[18.61538462  3.38461538] ; [14.38461538  2.61538462],0
b5,1,0.072232,3.23155,[57 65] ; [76 55],[64.13438735 57.86561265] ; [68.86561265 62.13438735],0
p3,1,0.085623,2.954804,[86 35] ; [79 51],[79.54183267 41.45816733] ; [85.45816733 44.54183267],0
r2,1,0.106789,2.601111,[120   2] ; [122   7],[117.62549801   4.37450199] ; [124.37450199   4.62549801],0
a5,1,0.117548,2.449692,[97 25] ; [93 38],[91.62055336 30.37944664] ; [98.37944664 32.62055336],0
d1,1,0.123086,2.3776,[84 38] ; [78 53],[78.11857708 43.88142292] ; [83.88142292 47.11857708],0
s4,1,0.124214,2.36336,[30 91] ; [ 22 108],[25.06772908 95.93227092] ; [ 26.93227092 103.06772908],0
r4,1,0.130057,2.291828,[118   4] ; [121  10],[115.24901186   6.75098814] ; [123.75098814   7.24901186],0
a4,1,0.132035,2.268408,[58 64] ; [50 81],[52.07905138 69.92094862] ; [55.92094862 75.07905138],0
a1,1,0.159028,1.983449,[ 11 111] ; [  6 125],[  8.19762846 113.80237154] ; [  8.80237154 122.19762846],0
u2,1,0.160409,1.970363,[13 16] ; [23 14],[15.81818182 13.18181818] ; [20.18181818 16.81818182],0
p12,1,0.175044,1.839206,[ 20 101] ; [ 14 117],[ 16.32539683 104.67460317] ; [ 17.67460317 113.32539683],0
u1,1,0.209255,1.576574,[25 97] ; [ 19 112],[ 21.2173913 100.7826087] ; [ 22.7826087 108.2173913],0
d5,1,0.216739,1.525834,[100  20] ; [101  30],[96.09561753 23.90438247] ; [104.90438247  26.09561753],0
p11,1,0.241737,1.370438,[107  15] ; [108  23],[103.67588933  18.32411067] ; [111.32411067  19.67588933],0
a7,1,0.247283,1.33859,[84 38] ; [98 32],[88.11111111 33.88888889] ; [93.88888889 36.11111111],0
p1,1,0.289154,1.123558,[ 17 102] ; [ 13 118],[ 14.28 104.72] ; [ 15.72 115.28],0
r1,1,0.294358,1.099582,[108  14] ; [110  21],[105.12252964  16.87747036] ; [112.87747036  18.12252964],0
b3,1,0.309453,1.03301,[33 43] ; [28 51],[29.90967742 46.09032258] ; [31.09032258 47.90967742],0
b2,1,0.309453,1.03301,[33 43] ; [28 51],[29.90967742 46.09032258] ; [31.09032258 47.90967742],0
n3,1,0.331993,0.94111,[15  7] ; [9 8],[13.53846154  8.46153846] ; [10.46153846  6.53846154],0
a3,1,0.354854,0.856024,[93 28] ; [94 37],[89.78968254 31.21031746] ; [97.21031746 33.78968254],0
a6,1,0.362121,0.830524,[74 46] ; [88 43],[77.4501992 42.5498008] ; [84.5498008 46.4501992],0
u4,1,0.362727,0.828431,[  3 119] ; [  6 125],[  4.33992095 117.66007905] ; [  4.66007905 126.33992095],0
n5,1,0.374415,0.78896,[103  19] ; [105  26],[100.30039526  21.69960474] ; [107.69960474  23.30039526],0
v2,1,0.386857,0.748799,[73 46] ; [71 56],[69.65853659 49.34146341] ; [74.34146341 52.65853659],0
a8,1,0.387652,0.746294,[16 99] ; [ 22 100],[18.43881857 96.56118143] ; [ 19.56118143 102.43881857],0
p4,1,0.417437,0.657521,[94 27] ; [96 35],[91.23015873 29.76984127] ; [98.76984127 32.23015873],0
b1,1,0.515197,0.423497,[50 72] ; [59 72],[52.56126482 69.43873518] ; [56.43873518 74.56126482],0
v4,1,0.537911,0.379425,[118   3] ; [125   5],[117.14342629   3.85657371] ; [125.85657371   4.14342629],0
b4,1,0.582431,0.30232,[74 48] ; [75 56],[71.84980237 50.15019763] ; [77.15019763 53.84980237],0
u3,1,0.59631,0.280597,[18 11] ; [20 16],[16.95384615 12.04615385] ; [21.04615385 14.95384615],0
d3,1,0.639124,0.219889,[90 31] ; [94 37],[88.34920635 32.65079365] ; [95.65079365 35.34920635],0
