Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.757136,[115  12] ; [4 6],[110.31386861  16.68613139] ; [8.68613139 1.31386861],1
p10,1,0.000692,11.511561,[98 27] ; [3 7],[93.51851852 31.48148148] ; [7.48148148 2.51851852],1
r2,1,0.004153,8.215498,[120   7] ; [7 3],[117.72992701   9.27007299] ; [9.27007299 0.72992701],0
r3,1,0.004374,8.121439,[123   3] ; [8 2],[121.36764706   4.63235294] ; [9.63235294 0.36764706],0
p2,1,0.007918,7.051852,[98 28] ; [4 6],[94.5 31.5] ; [7.5 2.5],0
p9,1,0.014429,5.984881,[102  22] ; [5 5],[99.01492537 24.98507463] ; [7.98507463 2.01492537],0
r1,1,0.015477,5.861397,[95 31] ; [4 6],[91.72058824 34.27941176] ; [7.27941176 2.72058824],0
a6,1,0.031014,4.652177,[92 35] ; [4 6],[88.99270073 38.00729927] ; [7.00729927 2.99270073],0
a7,1,0.046561,3.961195,[99 28] ; [5 5],[96.40875912 30.59124088] ; [7.59124088 2.40875912],0
n6,1,0.054654,3.692607,[87 38] ; [4 6],[84.25925926 40.74074074] ; [6.74074074 3.25925926],0
u3,1,0.083116,3.002887,[34 16] ; [1 3],[32.40740741 17.59259259] ; [2.59259259 1.40740741],0
n2,1,0.091629,2.845521,[37 11] ; [1 2],[35.76470588 12.23529412] ; [2.23529412 0.76470588],0
s8,1,0.105063,2.626951,[59 68] ; [2 8],[56.54744526 70.45255474] ; [4.45255474 5.54744526],0
s2,1,0.108824,2.571221,[83 44] ; [4 6],[80.64963504 46.35036496] ; [6.35036496 3.64963504],0
p7,1,0.209382,1.575693,[73 48] ; [4 6],[71.1221374 49.8778626] ; [5.8778626 4.1221374],0
d5,1,0.221633,1.493766,[98 29] ; [6 4],[96.40875912 30.59124088] ; [7.59124088 2.40875912],0
s3,1,0.261298,1.261866,[85 41] ; [5 5],[83.38235294 42.61764706] ; [6.61764706 3.38235294],0
n5,1,0.272667,1.203278,[47 79] ; [2 8],[45.39705882 80.60294118] ; [3.60294118 6.39705882],0
v1,1,0.273377,1.199723,[59 64] ; [3 7],[57.33834586 65.66165414] ; [4.66165414 5.33834586],0
p11,1,0.277593,1.178836,[85 42] ; [5 5],[83.43065693 43.56934307] ; [6.56934307 3.43065693],0
a8,1,0.304349,1.055041,[  4 113] ; [1 9],[  4.60629921 112.39370079] ; [0.39370079 9.60629921],0
d4,1,0.317639,0.998644,[105  22] ; [7 3],[103.82481752  23.17518248] ; [8.17518248 1.82481752],0
s5,1,0.366835,0.814356,[55 68] ; [3 7],[53.63909774 69.36090226] ; [4.36090226 5.63909774],0
d3,1,0.435169,0.608988,[91 36] ; [6 4],[89.91970803 37.08029197] ; [7.08029197 2.91970803],0
d1,1,0.436999,0.60415,[67 60] ; [4 6],[65.81751825 61.18248175] ; [5.18248175 4.81751825],0
a2,1,0.515946,0.421989,[ 23 104] ; [1 9],[ 22.24817518 104.75182482] ; [1.75182482 8.24817518],0
p4,1,0.59101,0.288769,[65 62] ; [6 4],[65.81751825 61.18248175] ; [5.18248175 4.81751825],0
p6,1,0.610631,0.259257,[34 90] ; [2 8],[33.31343284 90.68656716] ; [2.68656716 7.31343284],0
p3,1,0.681271,0.168699,[55 72] ; [5 5],[55.62043796 71.37956204] ; [4.37956204 5.62043796],0
a5,1,0.692743,0.156132,[81 46] ; [7 3],[81.57664234 45.42335766] ; [6.42335766 3.57664234],0
s4,1,0.693657,0.155155,[43 84] ; [4 6],[43.56934307 83.43065693] ; [3.43065693 6.56934307],0
b1,1,0.693657,0.155155,[43 84] ; [4 6],[43.56934307 83.43065693] ; [3.43065693 6.56934307],0
p8,1,0.71284,0.135457,[62 64] ; [5 4],[62.53333333 63.46666667] ; [4.46666667 4.53333333],0
u2,1,0.75553,0.096942,[29 21] ; [2 2],[28.7037037 21.2962963] ; [2.2962963 1.7037037],0
s7,1,0.755991,0.096566,[55 67] ; [4 6],[54.53030303 67.46969697] ; [4.46969697 5.53030303],0
a4,1,0.803558,0.061874,[43 84] ; [3 7],[42.64233577 84.35766423] ; [3.35766423 6.64233577],0
v2,1,0.814933,0.054788,[63 54] ; [5 5],[62.64566929 54.35433071] ; [5.35433071 4.64566929],0
p1,1,0.823959,0.049487,[ 10 115] ; [1 9],[ 10.18518519 114.81481481] ; [0.81481481 9.18518519],0
d2,1,0.85052,0.035515,[47 80] ; [4 6],[47.27737226 79.72262774] ; [3.72262774 6.27737226],0
v3,1,0.862845,0.029844,[37 84] ; [3 6],[37.23076923 83.76923077] ; [2.76923077 6.23076923],0
n1,1,0.877879,0.023611,[14 34] ; [1 2],[14.11764706 33.88235294] ; [0.88235294 2.11764706],0
b5,1,0.929397,0.007851,[78 49] ; [6 4],[77.86861314 49.13138686] ; [6.13138686 3.86861314],0
b4,1,0.929397,0.007851,[78 49] ; [6 4],[77.86861314 49.13138686] ; [6.13138686 3.86861314],0
a3,1,0.953335,0.003425,[75 52] ; [6 4],[75.08759124 51.91240876] ; [5.91240876 4.08759124],0
b2,1,0.97723,0.000815,[19 39] ; [2 4],[19.03125 38.96875] ; [1.96875 4.03125],0
b3,1,0.97723,0.000815,[19 39] ; [2 4],[19.03125 38.96875] ; [1.96875 4.03125],0
n3,1,1.0,0.0,[32 16] ; [2 1],[32. 16.] ; [2. 1.],0
