Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.013226,6.138656,[31 70] ; [10  6],[35.39316239 65.60683761] ; [ 5.60683761 10.39316239],0
s3,1,0.015242,5.888286,[37 64] ; [11  5],[41.43589744 59.56410256] ; [6.56410256 9.43589744],0
d3,1,0.03554,4.419029,[28 74] ; [9 8],[31.71428571 70.28571429] ; [ 5.28571429 11.71428571],0
p2,1,0.035783,4.407407,[58 44] ; [ 5 12],[54. 48.] ; [9. 8.],0
s1,1,0.040505,4.196585,[ 5 97] ; [ 3 13],[ 6.91525424 95.08474576] ; [ 1.08474576 14.91525424],0
s6,1,0.041065,4.173345,[48 53] ; [12  4],[51.79487179 49.20512821] ; [8.20512821 7.79487179],0
s5,1,0.047594,3.924281,[17 79] ; [6 9],[19.89189189 76.10810811] ; [ 3.10810811 11.89189189],0
p4,1,0.054039,3.711501,[36 66] ; [ 2 15],[32.57142857 69.42857143] ; [ 5.42857143 11.57142857],0
v2,1,0.056025,3.651316,[35 60] ; [ 2 14],[31.66666667 63.33333333] ; [ 5.33333333 10.66666667],0
u3,1,0.078247,3.100944,[11 26] ; [4 2],[12.90697674 24.09302326] ; [2.09302326 3.90697674],0
n2,1,0.081848,3.027819,[30 11] ; [5 6],[27.59615385 13.40384615] ; [7.40384615 3.59615385],0
p9,1,0.099946,2.706413,[70 29] ; [8 8],[67.14782609 31.85217391] ; [10.85217391  5.14782609],0
n5,1,0.124493,2.359866,[73 29] ; [9 8],[70.28571429 31.71428571] ; [11.71428571  5.28571429],0
b4,1,0.129414,2.299517,[62 40] ; [ 7 10],[59.14285714 42.85714286] ; [9.85714286 7.14285714],0
b3,1,0.192684,1.696973,[34 35] ; [2 6],[32.25974026 36.74025974] ; [3.74025974 4.25974026],0
b2,1,0.192684,1.696973,[34 35] ; [2 6],[32.25974026 36.74025974] ; [3.74025974 4.25974026],0
n4,1,0.214006,1.544118,[75 27] ; [10  7],[72.85714286 29.14285714] ; [12.14285714  4.85714286],0
n6,1,0.261201,1.262378,[73 28] ; [10  7],[71.04237288 29.95762712] ; [11.95762712  5.04237288],0
v4,1,0.289348,1.122654,[82 20] ; [11  5],[80.38983051 21.61016949] ; [12.61016949  3.38983051],0
p12,1,0.327602,0.958356,[ 6 96] ; [ 2 14],[ 6.91525424 95.08474576] ; [ 1.08474576 14.91525424],0
d1,1,0.395924,0.720671,[37 65] ; [8 9],[38.57142857 63.42857143] ; [ 6.42857143 10.57142857],0
a6,1,0.45055,0.569269,[46 56] ; [ 6 11],[44.57142857 57.42857143] ; [7.42857143 9.57142857],0
b1,1,0.454154,0.560264,[52 50] ; [ 7 10],[50.57142857 51.42857143] ; [8.42857143 8.57142857],0
r3,1,0.474705,0.511004,[80 22] ; [12  5],[78.85714286 23.14285714] ; [13.14285714  3.85714286],0
p6,1,0.527298,0.399596,[11 90] ; [ 1 16],[10.27118644 90.72881356] ; [ 1.72881356 15.27118644],0
u1,1,0.53333,0.388043,[ 3 99] ; [ 1 16],[ 3.42857143 98.57142857] ; [ 0.57142857 16.42857143],0
n1,1,0.554087,0.350047,[19 22] ; [4 7],[18.13461538 22.86538462] ; [4.86538462 6.13461538],0
v3,1,0.560089,0.33955,[24 70] ; [ 3 13],[23.07272727 70.92727273] ; [ 3.92727273 12.07272727],0
p3,1,0.565332,0.330556,[31 71] ; [ 4 13],[30. 72.] ; [ 5. 12.],0
r1,1,0.594525,0.283333,[59 43] ; [11  6],[60. 42.] ; [10.  7.],0
s7,1,0.603786,0.269323,[35 63] ; [6 8],[35.875 62.125] ; [5.125 8.875],0
a5,1,0.647154,0.209507,[60 42] ; [11  6],[60.85714286 41.14285714] ; [10.14285714  6.85714286],0
u2,1,0.663067,0.18982,[15 22] ; [3 3],[15.48837209 21.51162791] ; [2.51162791 3.48837209],0
r2,1,0.673321,0.177742,[85 17] ; [14  2],[85.57627119 16.42372881] ; [13.42372881  2.57627119],0
d4,1,0.698294,0.150253,[65 37] ; [10  7],[64.28571429 37.71428571] ; [10.71428571  6.28571429],0
p1,1,0.698294,0.150253,[ 9 93] ; [ 2 15],[ 9.42857143 92.57142857] ; [ 1.57142857 15.42857143],0
p11,1,0.698294,0.150253,[65 37] ; [10  7],[64.28571429 37.71428571] ; [10.71428571  6.28571429],0
a4,1,0.729852,0.119247,[43 58] ; [8 9],[43.65254237 57.34745763] ; [7.34745763 9.65254237],0
d2,1,0.814483,0.055059,[44 56] ; [8 9],[44.44444444 55.55555556] ; [7.55555556 9.44444444],0
v1,1,0.827197,0.047654,[38 61] ; [ 7 10],[38.40517241 60.59482759] ; [ 6.59482759 10.40517241],0
n3,1,0.8433,0.039075,[22 16] ; [6 5],[21.71428571 16.28571429] ; [6.28571429 4.71428571],0
a2,1,0.8812,0.022335,[ 7 95] ; [ 1 16],[ 6.85714286 95.14285714] ; [ 1.14285714 15.85714286],0
s8,1,0.935067,0.006638,[31 71] ; [ 5 12],[30.85714286 71.14285714] ; [ 5.14285714 11.85714286],0
a3,1,0.937905,0.006069,[65 37] ; [11  6],[65.14285714 36.85714286] ; [10.85714286  6.14285714],0
r4,1,0.937905,0.006069,[65 37] ; [11  6],[65.14285714 36.85714286] ; [10.85714286  6.14285714],0
b5,1,0.940283,0.005612,[53 49] ; [9 8],[53.14285714 48.85714286] ; [8.85714286 8.14285714],0
p10,1,0.952023,0.00362,[56 45] ; [9 7],[56.11111111 44.88888889] ; [8.88888889 7.11111111],0
d5,1,1.0,0.0,[60 42] ; [10  7],[60. 42.] ; [10.  7.],0
a1,1,1.0,0.0,[ 6 96] ; [ 1 16],[ 6. 96.] ; [ 1. 16.],0
