Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.011526,6.382418,[ 5 27] ; [8 8],[ 8.66666667 23.33333333] ; [ 4.33333333 11.66666667],0
s7,1,0.012872,6.18668,[ 5 24] ; [8 7],[ 8.56818182 20.43181818] ; [ 4.43181818 10.56818182],0
r1,1,0.03284,4.55408,[ 8 24] ; [9 7],[11.33333333 20.66666667] ; [ 5.66666667 10.33333333],0
n4,1,0.036885,4.355717,[16 16] ; [13  3],[19.33333333 12.66666667] ; [9.66666667 6.33333333],0
s6,1,0.064078,3.428571,[15 17] ; [12  4],[18. 14.] ; [9. 7.],0
b1,1,0.066193,3.375,[19 13] ; [ 5 11],[16. 16.] ; [8. 8.],0
s3,1,0.083198,3.001294,[ 7 25] ; [7 8],[ 9.53191489 22.46808511] ; [ 4.46808511 10.53191489],0
p9,1,0.093821,2.807562,[23  9] ; [14  1],[25.19148936  6.80851064] ; [11.80851064  3.19148936],0
n1,1,0.114758,2.487446,[2 8] ; [4 3],[3.52941176 6.47058824] ; [2.47058824 4.52941176],0
v4,1,0.135223,2.231499,[23  9] ; [8 8],[20.66666667 11.33333333] ; [10.33333333  5.66666667],0
u3,1,0.166337,1.915646,[ 3 11] ; [4 4],[4.45454545 9.54545455] ; [2.54545455 5.45454545],0
b4,1,0.217044,1.52381,[16 16] ; [11  5],[18. 14.] ; [9. 7.],0
n6,1,0.261556,1.260504,[21 11] ; [13  3],[22.66666667  9.33333333] ; [11.33333333  4.66666667],0
b3,1,0.263978,1.247772,[ 3 14] ; [4 7],[ 4.25 12.75] ; [2.75 8.25],0
b2,1,0.263978,1.247772,[ 3 14] ; [4 7],[ 4.25 12.75] ; [2.75 8.25],0
s2,1,0.294551,1.098701,[ 8 24] ; [6 9],[ 9.53191489 22.46808511] ; [ 4.46808511 10.53191489],0
d3,1,0.305749,1.048951,[19 13] ; [7 9],[17.33333333 14.66666667] ; [8.66666667 7.33333333],0
a6,1,0.305749,1.048951,[19 13] ; [7 9],[17.33333333 14.66666667] ; [8.66666667 7.33333333],0
a8,1,0.352236,0.865385,[ 3 27] ; [ 3 12],[ 4. 26.] ; [ 2. 13.],0
a5,1,0.403822,0.696915,[18 14] ; [11  5],[19.33333333 12.66666667] ; [9.66666667 6.33333333],0
s4,1,0.432768,0.615385,[ 7 25] ; [ 2 14],[ 6. 26.] ; [ 3. 13.],0
p5,1,0.432768,0.615385,[ 7 25] ; [ 2 14],[ 6. 26.] ; [ 3. 13.],0
n3,1,0.452209,0.56511,[7 3] ; [6 1],[7.64705882 2.35294118] ; [5.35294118 1.64705882],0
d1,1,0.508883,0.436364,[11 21] ; [ 4 12],[10. 22.] ; [ 5. 11.],0
p4,1,0.537094,0.380952,[17 15] ; [10  6],[18. 14.] ; [9. 7.],0
p8,1,0.540291,0.375,[15 17] ; [9 7],[16. 16.] ; [8. 8.],0
v2,1,0.609366,0.2611,[16 15] ; [7 9],[15.17021277 15.82978723] ; [7.82978723 8.17021277],0
p2,1,0.627203,0.235872,[24  8] ; [13  3],[24.66666667  7.33333333] ; [12.33333333  3.66666667],0
p6,1,0.645993,0.210989,[ 8 24] ; [ 5 11],[ 8.66666667 23.33333333] ; [ 4.33333333 11.66666667],0
a4,1,0.653368,0.201681,[10 22] ; [ 4 12],[ 9.33333333 22.66666667] ; [ 4.66666667 11.33333333],0
d5,1,0.676381,0.174229,[20 12] ; [9 7],[19.33333333 12.66666667] ; [9.66666667 6.33333333],0
p7,1,0.678845,0.171429,[18 14] ; [10  6],[18.66666667 13.33333333] ; [9.33333333 6.66666667],0
n2,1,0.681777,0.168132,[8 2] ; [5 2],[7.64705882 2.35294118] ; [5.35294118 1.64705882],0
a3,1,0.682046,0.167832,[18 14] ; [8 8],[17.33333333 14.66666667] ; [8.66666667 7.33333333],0
b5,1,0.682831,0.166957,[16 16] ; [9 7],[16.66666667 15.33333333] ; [8.33333333 7.66666667],0
p1,1,0.711923,0.136364,[ 3 29] ; [ 1 15],[ 2.66666667 29.33333333] ; [ 1.33333333 14.66666667],0
p12,1,0.738298,0.111628,[ 3 29] ; [ 2 14],[ 3.33333333 28.66666667] ; [ 1.66666667 14.33333333],0
n5,1,0.822334,0.05042,[23  9] ; [11  5],[22.66666667  9.33333333] ; [11.33333333  4.66666667],0
p3,1,0.828593,0.046875,[11 21] ; [ 5 11],[10.66666667 21.33333333] ; [ 5.33333333 10.66666667],0
v1,1,0.83468,0.043557,[13 19] ; [ 6 10],[12.66666667 19.33333333] ; [6.33333333 9.66666667],0
d2,1,0.83468,0.043557,[13 19] ; [ 6 10],[12.66666667 19.33333333] ; [6.33333333 9.66666667],0
u2,1,0.856417,0.032738,[10  4] ; [6 2],[10.18181818  3.81818182] ; [5.81818182 2.18181818],0
s5,1,1.0,0.0,[ 8 24] ; [ 4 12],[ 8. 24.] ; [ 4. 12.],0
r4,1,1.0,0.0,[12 20] ; [ 6 10],[12. 20.] ; [ 6. 10.],0
a2,1,1.0,0.0,[ 2 30] ; [ 1 15],[ 2. 30.] ; [ 1. 15.],0
u1,1,1.0,0.0,[ 2 30] ; [ 1 15],[ 2. 30.] ; [ 1. 15.],0
d4,1,1.0,0.0,[22 10] ; [11  5],[22. 10.] ; [11.  5.],0
a7,1,1.0,0.0,[18 14] ; [9 7],[18. 14.] ; [9. 7.],0
