Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.00153,10.042034,[50 13] ; [ 9 12],[44.25 18.75] ; [14.75  6.25],0
p10,1,0.021427,5.291738,[38 23] ; [ 7 14],[33.47560976 27.52439024] ; [11.52439024  9.47560976],0
n6,1,0.021847,5.25796,[47 16] ; [10 11],[42.75 20.25] ; [14.25  6.75],0
s6,1,0.031705,4.614386,[34 27] ; [ 6 15],[29.75609756 31.24390244] ; [10.24390244 10.75609756],0
s7,1,0.045049,4.016803,[24 37] ; [ 3 17],[20.33333333 40.66666667] ; [ 6.66666667 13.33333333],0
p9,1,0.067112,3.352283,[40 21] ; [ 9 12],[36.45121951 24.54878049] ; [12.54878049  8.45121951],0
s5,1,0.094086,2.803035,[13 48] ; [ 1 19],[10.54320988 50.45679012] ; [ 3.45679012 16.54320988],0
v4,1,0.160948,1.965292,[51 11] ; [19  1],[52.92682927  9.07317073] ; [17.07317073  2.92682927],0
s4,1,0.19936,1.647059,[14 49] ; [ 2 19],[12. 51.] ; [ 4. 17.],0
d3,1,0.19936,1.647059,[10 53] ; [ 6 15],[12. 51.] ; [ 4. 17.],0
d5,1,0.285049,1.142857,[23 40] ; [ 5 16],[21. 42.] ; [ 7. 14.],0
v3,1,0.303708,1.057843,[16 45] ; [ 3 17],[14.30864198 46.69135802] ; [ 4.69135802 15.30864198],0
d2,1,0.322717,0.977904,[19 44] ; [ 4 17],[17.25 45.75] ; [ 5.75 15.25],0
a8,1,0.331434,0.943285,[ 7 51] ; [ 4 15],[ 8.28571429 49.71428571] ; [ 2.71428571 16.28571429],0
p2,1,0.360814,0.835058,[38 25] ; [15  6],[39.75 23.25] ; [13.25  7.75],0
r3,1,0.38998,0.739003,[45 18] ; [17  4],[46.5 16.5] ; [15.5  5.5],0
p1,1,0.390674,0.736842,[ 5 58] ; [ 3 18],[ 6. 57.] ; [ 2. 19.],0
p11,1,0.413598,0.668435,[42 21] ; [16  5],[43.5 19.5] ; [14.5  6.5],0
a4,1,0.415606,0.662707,[14 48] ; [ 3 18],[12.69879518 49.30120482] ; [ 4.30120482 16.69879518],0
n1,1,0.426763,0.631616,[12 15] ; [3 7],[10.94594595 16.05405405] ; [4.05405405 5.94594595],0
p6,1,0.445641,0.581713,[17 45] ; [ 4 17],[15.68674699 46.31325301] ; [ 5.31325301 15.68674699],0
r1,1,0.449692,0.571429,[30 33] ; [12  9],[31.5 31.5] ; [10.5 10.5],0
u2,1,0.477575,0.504396,[15 24] ; [6 6],[16.05882353 22.94117647] ; [4.94117647 7.05882353],0
u3,1,0.483756,0.490385,[12 27] ; [5 7],[13. 26.] ; [4. 8.],0
s8,1,0.490889,0.474576,[20 43] ; [ 5 16],[18.75 44.25] ; [ 6.25 14.75],0
p3,1,0.490889,0.474576,[20 43] ; [ 5 16],[18.75 44.25] ; [ 6.25 14.75],0
r2,1,0.502287,0.450102,[49 13] ; [18  3],[50.04819277 11.95180723] ; [16.95180723  4.04819277],0
v2,1,0.50254,0.449568,[16 43] ; [ 7 13],[17.17721519 41.82278481] ; [ 5.82278481 14.17721519],0
b1,1,0.528616,0.39705,[32 31] ; [ 9 12],[30.75 32.25] ; [10.25 10.75],0
n3,1,0.530869,0.392727,[18  9] ; [7 2],[18.75  8.25] ; [6.25 2.75],0
s1,1,0.602145,0.271772,[ 5 56] ; [ 1 20],[ 4.46341463 56.53658537] ; [ 1.53658537 19.46341463],0
s3,1,0.61414,0.25419,[27 35] ; [10 10],[27.97560976 34.02439024] ; [ 9.02439024 10.97560976],0
r4,1,0.695328,0.153378,[39 24] ; [14  7],[39.75 23.25] ; [13.25  7.75],0
a3,1,0.698791,0.149733,[24 39] ; [ 9 12],[24.75 38.25] ; [ 8.25 12.75],0
b4,1,0.703447,0.144911,[36 27] ; [11 10],[35.25 27.75] ; [11.75  9.25],0
a6,1,0.704738,0.14359,[30 33] ; [ 9 12],[29.25 33.75] ; [ 9.75 11.25],0
a1,1,0.734271,0.115226,[ 2 61] ; [ 1 20],[ 2.25 60.75] ; [ 0.75 20.25],0
p8,1,0.792599,0.069136,[23 40] ; [ 7 14],[22.5 40.5] ; [ 7.5 13.5],0
p4,1,0.797429,0.065882,[26 37] ; [ 8 13],[25.5 37.5] ; [ 8.5 12.5],0
s2,1,0.818441,0.052693,[19 43] ; [ 7 14],[19.42168675 42.57831325] ; [ 6.57831325 14.42168675],0
a5,1,0.896135,0.017042,[23 40] ; [ 8 13],[23.25 39.75] ; [ 7.75 13.25],0
b5,1,0.899713,0.015882,[31 32] ; [10 11],[30.75 32.25] ; [10.25 10.75],0
n2,1,0.900415,0.015659,[19  9] ; [7 3],[19.15789474  8.84210526] ; [6.84210526 3.15789474],0
b2,1,0.917749,0.010665,[12 29] ; [4 9],[12.14814815 28.85185185] ; [3.85185185 9.14814815],0
b3,1,0.917749,0.010665,[12 29] ; [4 9],[12.14814815 28.85185185] ; [3.85185185 9.14814815],0
v1,1,0.927568,0.008264,[20 42] ; [ 7 14],[20.1686747 41.8313253] ; [ 6.8313253 14.1686747],0
a2,1,1.0,0.0,[ 3 60] ; [ 1 20],[ 3. 60.] ; [ 1. 20.],0
p7,1,1.0,0.0,[30 33] ; [10 11],[30. 33.] ; [10. 11.],0
