Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.000836,11.16052,[17 14] ; [ 5 28],[10.65625 20.34375] ; [11.34375 21.65625],1
p7,1,0.00623,7.482686,[15 16] ; [26  6],[20.17460317 10.82539683] ; [20.82539683 11.17460317],0
a5,1,0.007368,7.180992,[25  6] ; [16 17],[19.859375 11.140625] ; [21.140625 11.859375],0
a2,1,0.008808,6.861372,[ 8 23] ; [ 1 32],[ 4.359375 26.640625] ; [ 4.640625 28.359375],0
d5,1,0.016485,5.750375,[27  4] ; [20 13],[22.765625  8.234375] ; [24.234375  8.765625],0
n1,1,0.037289,4.33716,[7 2] ; [3 7],[4.73684211 4.26315789] ; [5.26315789 4.73684211],0
p6,1,0.041193,4.168067,[13 18] ; [21 10],[17. 14.] ; [17. 14.],0
d2,1,0.047001,3.945357,[17 14] ; [10 23],[13.078125 17.921875] ; [13.921875 19.078125],0
a3,1,0.054173,3.707354,[24  7] ; [18 15],[20.34375 10.65625] ; [21.65625 11.34375],0
s2,1,0.066999,3.355044,[26  5] ; [21 12],[22.765625  8.234375] ; [24.234375  8.765625],0
p4,1,0.078259,3.100701,[17 14] ; [25  8],[20.34375 10.65625] ; [21.65625 11.34375],0
b5,1,0.101596,2.680308,[23  8] ; [18 15],[19.859375 11.140625] ; [21.140625 11.859375],0
s4,1,0.112176,2.523297,[ 5 26] ; [11 22],[ 7.75 23.25] ; [ 8.25 24.75],0
a6,1,0.119005,2.430364,[21 10] ; [16 17],[17.921875 13.078125] ; [19.078125 13.921875],0
p11,1,0.137446,2.206321,[24  7] ; [30  3],[26.15625  4.84375] ; [27.84375  5.15625],0
p10,1,0.151574,2.056343,[24  7] ; [29  3],[26.07936508  4.92063492] ; [26.92063492  5.07936508],0
s1,1,0.197481,1.660909,[ 1 29] ; [ 4 29],[ 2.38095238 27.61904762] ; [ 2.61904762 30.38095238],0
s3,1,0.205742,1.601141,[25  6] ; [22 11],[22.765625  8.234375] ; [24.234375  8.765625],0
p2,1,0.289682,1.121099,[23  8] ; [28  5],[24.703125  6.296875] ; [26.296875  6.703125],0
n6,1,0.289682,1.121099,[23  8] ; [28  5],[24.703125  6.296875] ; [26.296875  6.703125],0
n5,1,0.325258,0.967685,[20 11] ; [25  8],[21.796875  9.203125] ; [23.203125  9.796875],0
b1,1,0.332421,0.939443,[14 17] ; [11 22],[12.109375 18.890625] ; [12.890625 20.109375],0
n3,1,0.407094,0.687273,[7 4] ; [8 2],[7.85714286 3.14285714] ; [7.14285714 2.85714286],0
a8,1,0.438323,0.600667,[ 2 27] ; [ 4 27],[ 2.9 26.1] ; [ 3.1 27.9],0
v3,1,0.444382,0.584941,[12 16] ; [11 22],[10.55737705 17.44262295] ; [12.44262295 20.55737705],0
d3,1,0.461625,0.541951,[15 16] ; [19 14],[16.46875 14.53125] ; [17.53125 15.46875],0
p3,1,0.473886,0.5129,[17 14] ; [21 12],[18.40625 12.59375] ; [19.59375 13.40625],0
v1,1,0.527452,0.399298,[15 13] ; [15 18],[13.7704918 14.2295082] ; [16.2295082 16.7704918],0
b3,1,0.540291,0.375,[ 9 15] ; [ 7 17],[ 8. 16.] ; [ 8. 16.],0
b2,1,0.540291,0.375,[ 9 15] ; [ 7 17],[ 8. 16.] ; [ 8. 16.],0
r3,1,0.590012,0.290326,[28  3] ; [31  2],[28.578125  2.421875] ; [30.421875  2.578125],0
s5,1,0.635457,0.224733,[10 17] ; [ 9 20],[ 9.16071429 17.83928571] ; [ 9.83928571 19.16071429],0
s6,1,0.659738,0.193842,[22  8] ; [25  7],[22.74193548  7.25806452] ; [24.25806452  7.74193548],0
d4,1,0.664567,0.188024,[23  8] ; [26  7],[23.734375  7.265625] ; [25.265625  7.734375],0
u2,1,0.665362,0.187075,[4 3] ; [10  5],[4.45454545 2.54545455] ; [9.54545455 5.45454545],0
n4,1,0.710644,0.137634,[22  9] ; [22 11],[21.3125  9.6875] ; [22.6875 10.3125],0
v2,1,0.78241,0.076275,[15 13] ; [16 16],[14.46666667 13.53333333] ; [16.53333333 15.46666667],0
p1,1,0.795967,0.066858,[ 4 27] ; [ 5 28],[ 4.359375 26.640625] ; [ 4.640625 28.359375],0
a7,1,0.836093,0.042805,[18 13] ; [20 13],[18.40625 12.59375] ; [19.59375 13.40625],0
r4,1,0.866086,0.028437,[21 10] ; [23 10],[21.3125  9.6875] ; [22.6875 10.3125],0
n2,1,0.890106,0.019091,[8 3] ; [7 3],[7.85714286 3.14285714] ; [7.14285714 2.85714286],0
u3,1,0.898977,0.016117,[4 3] ; [9 6],[4.13636364 2.86363636] ; [8.86363636 6.13636364],0
r2,1,0.919288,0.010268,[25  4] ; [27  4],[25.13333333  3.86666667] ; [26.86666667  4.13333333],0
p9,1,0.924682,0.008937,[27  4] ; [29  4],[27.125  3.875] ; [28.875  4.125],0
a1,1,0.948507,0.004171,[ 2 29] ; [ 2 31],[ 1.9375 29.0625] ; [ 2.0625 30.9375],0
v4,1,0.967391,0.001671,[28  3] ; [29  3],[28.04761905  2.95238095] ; [28.95238095  3.04761905],0
d1,1,0.981209,0.000555,[17 14] ; [18 15],[16.953125 14.046875] ; [18.046875 14.953125],0
b4,1,0.981209,0.000555,[17 14] ; [18 15],[16.953125 14.046875] ; [18.046875 14.953125],0
s7,1,1.0,0.0,[23  8] ; [23  8],[23.  8.] ; [23.  8.],0
