Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000157,14.285714,[10 40] ; [8 2],[15. 35.] ; [3. 7.],1
r4,1,0.007993,7.035112,[23 29] ; [9 1],[26.83870968 25.16129032] ; [5.16129032 4.83870968],0
s5,1,0.013819,6.061153,[ 5 46] ; [4 6],[ 7.52459016 43.47540984] ; [1.47540984 8.52459016],0
p4,1,0.014524,5.973283,[15 36] ; [7 3],[18.39344262 32.60655738] ; [3.60655738 6.39344262],0
v2,1,0.032126,4.591756,[ 9 40] ; [5 5],[11.62711864 37.37288136] ; [2.37288136 7.62711864],0
s2,1,0.076847,3.13035,[16 36] ; [6 4],[18.4516129 33.5483871] ; [3.5483871 6.4516129],0
p2,1,0.101015,2.689442,[27 25] ; [8 2],[29.35483871 22.64516129] ; [5.64516129 4.35483871],0
s6,1,0.101601,2.680233,[17 35] ; [6 4],[19.29032258 32.70967742] ; [3.70967742 6.29032258],0
p6,1,0.114494,2.491063,[ 9 42] ; [4 6],[10.86885246 40.13114754] ; [2.13114754 7.86885246],0
r1,1,0.119864,2.419094,[22 29] ; [7 3],[24.24590164 26.75409836] ; [4.75409836 5.24590164],0
p9,1,0.133111,2.25584,[22 28] ; [7 3],[24.16666667 25.83333333] ; [4.83333333 5.16666667],0
p5,1,0.136723,2.214454,[ 3 48] ; [2 8],[ 4.18032787 46.81967213] ; [0.81967213 9.18032787],0
p10,1,0.157299,2.0,[18 32] ; [6 4],[20. 30.] ; [4. 6.],0
s3,1,0.184556,1.76055,[24 27] ; [7 3],[25.91803279 25.08196721] ; [5.08196721 4.91803279],0
u2,1,0.210447,1.568349,[10 22] ; [3 2],[11.24324324 20.75675676] ; [1.75675676 3.24324324],0
p3,1,0.212277,1.555832,[15 37] ; [1 9],[13.41935484 38.58064516] ; [2.58064516 7.41935484],0
p1,1,0.22797,1.45348,[ 4 48] ; [2 8],[ 5.03225806 46.96774194] ; [0.96774194 9.03225806],0
r2,1,0.241286,1.373063,[37 14] ; [9 1],[38.45901639 12.54098361] ; [7.54098361 2.45901639],0
r3,1,0.247241,1.338827,[31 20] ; [8 2],[32.60655738 18.39344262] ; [6.39344262 3.60655738],0
u3,1,0.249342,1.326984,[11 22] ; [3 2],[12.15789474 20.84210526] ; [1.84210526 3.15789474],0
d2,1,0.252453,1.309678,[14 38] ; [1 9],[12.58064516 39.41935484] ; [2.41935484 7.58064516],0
n5,1,0.293681,1.10267,[32 19] ; [8 2],[33.44262295 17.55737705] ; [6.55737705 3.44262295],0
p7,1,0.327848,0.957381,[22 29] ; [6 4],[23.40983607 27.59016393] ; [4.59016393 5.40983607],0
a8,1,0.335718,0.926714,[ 5 42] ; [2 7],[ 5.875 41.125] ; [1.125 7.875],0
a3,1,0.433135,0.614402,[18 31] ; [5 5],[19.10169492 29.89830508] ; [3.89830508 6.10169492],0
d4,1,0.439887,0.596577,[22 29] ; [3 7],[20.90163934 30.09836066] ; [4.09836066 5.90163934],0
b2,1,0.495521,0.464516,[11 20] ; [1 4],[10.33333333 20.66666667] ; [1.66666667 3.33333333],0
b3,1,0.495521,0.464516,[11 20] ; [1 4],[10.33333333 20.66666667] ; [1.66666667 3.33333333],0
n4,1,0.508274,0.437619,[30 21] ; [7 3],[30.93442623 20.06557377] ; [6.06557377 3.93442623],0
p8,1,0.508543,0.437063,[15 36] ; [4 6],[15.8852459 35.1147541] ; [3.1147541 6.8852459],0
b5,1,0.653214,0.201872,[30 22] ; [5 5],[29.35483871 22.64516129] ; [5.64516129 4.35483871],0
a7,1,0.766636,0.088077,[23 28] ; [4 6],[22.57377049 28.42622951] ; [4.42622951 5.57377049],0
n1,1,0.781814,0.076705,[10 14] ; [1 2],[ 9.77777778 14.22222222] ; [1.22222222 1.77777778],0
b1,1,0.82335,0.049835,[28 24] ; [5 5],[27.67741935 24.32258065] ; [5.32258065 4.67741935],0
n2,1,0.846788,0.037333,[18  7] ; [2 1],[17.85714286  7.14285714] ; [2.14285714 0.85714286],0
v1,1,0.869907,0.026823,[19 32] ; [4 6],[19.2295082 31.7704918] ; [3.7704918 6.2295082],0
b4,1,0.892266,0.018343,[22 30] ; [4 6],[21.80645161 30.19354839] ; [4.19354839 5.80645161],0
v3,1,0.898051,0.016416,[14 36] ; [3 7],[14.16666667 35.83333333] ; [2.83333333 7.16666667],0
a5,1,0.927118,0.008367,[20 32] ; [4 6],[20.12903226 31.87096774] ; [3.87096774 6.12903226],0
d3,1,0.927118,0.008367,[20 32] ; [4 6],[20.12903226 31.87096774] ; [3.87096774 6.12903226],0
a6,1,0.981884,0.000516,[21 31] ; [4 6],[20.96774194 31.03225806] ; [4.03225806 5.96774194],0
s1,1,0.984811,0.000362,[ 5 46] ; [1 9],[ 5.01639344 45.98360656] ; [0.98360656 9.01639344],0
