Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5e-06,20.764447,[117  18] ; [33 25],[104.92227979  30.07772021] ; [45.07772021 12.92227979],1
v1,1,0.001408,10.19588,[95 41] ; [27 32],[85.08717949 50.91282051] ; [36.91282051 22.08717949],0
v3,1,0.011308,6.416268,[62 73] ; [15 42],[54.140625 80.859375] ; [22.859375 34.140625],0
n1,1,0.011325,6.413555,[16  8] ; [ 3 10],[12.32432432 11.67567568] ; [6.67567568 6.32432432],0
a5,1,0.016451,5.753979,[116  23] ; [41 19],[109.66331658  29.33668342] ; [47.33668342 12.66331658],0
p9,1,0.017681,5.627532,[132   7] ; [51  9],[127.8241206  11.1758794] ; [55.1758794  4.8241206],0
u3,1,0.025432,4.99424,[22  5] ; [9 9],[18.6  8.4] ; [12.4  5.6],0
d1,1,0.046129,3.976888,[101  38] ; [35 25],[94.99497487 44.00502513] ; [41.00502513 18.99497487],0
d5,1,0.062549,3.468484,[120  18] ; [45 14],[115.58375635  22.41624365] ; [49.41624365  9.58375635],0
a3,1,0.082597,3.013043,[112  26] ; [42 18],[107.33333333  30.66666667] ; [46.66666667 13.33333333],0
a7,1,0.087394,2.921724,[96 42] ; [48 11],[100.87309645  37.12690355] ; [43.12690355 15.87309645],0
u1,1,0.099996,2.705613,[41 98] ; [11 49],[ 36.32160804 102.67839196] ; [15.67839196 44.32160804],0
r2,1,0.118256,2.440273,[134   3] ; [56  4],[132.1319797   4.8680203] ; [57.8680203  2.1319797],0
p10,1,0.138608,2.193341,[126  13] ; [50 10],[122.93467337  16.06532663] ; [53.06532663  6.93467337],0
v2,1,0.143811,2.136697,[86 49] ; [31 28],[81.41752577 53.58247423] ; [35.58247423 23.41752577],0
p3,1,0.147086,2.102215,[98 41] ; [36 24],[93.59798995 45.40201005] ; [40.40201005 19.59798995],0
a8,1,0.158638,1.98716,[ 25 106] ; [ 6 50],[ 21.71657754 109.28342246] ; [ 9.28342246 46.71657754],0
p8,1,0.183508,1.768985,[99 40] ; [37 23],[94.99497487 44.00502513] ; [41.00502513 18.99497487],0
s6,1,0.197572,1.660235,[124  12] ; [51  9],[121.42857143  14.57142857] ; [53.57142857  6.42857143],0
u4,1,0.202736,1.622556,[  8 131] ; [ 1 59],[  6.28643216 132.71356784] ; [ 2.71356784 57.28643216],0
s3,1,0.237497,1.395388,[120  19] ; [47 12],[117.23737374  21.76262626] ; [49.76262626  9.23737374],0
n4,1,0.259276,1.27262,[118  21] ; [47 13],[115.25125628  23.74874372] ; [49.74874372 10.25125628],0
d2,1,0.292368,1.108685,[83 56] ; [31 29],[79.6281407 59.3718593] ; [34.3718593 25.6281407],0
n6,1,0.300535,1.071821,[126  12] ; [51  8],[123.98984772  14.01015228] ; [53.01015228  5.98984772],0
n3,1,0.301468,1.067688,[17  7] ; [7 6],[15.56756757  8.43243243] ; [8.43243243 4.56756757],0
p2,1,0.318352,0.995704,[125  14] ; [51  9],[122.93467337  16.06532663] ; [53.06532663  6.93467337],0
b2,1,0.359056,0.841193,[47 47] ; [13 19],[44.76190476 49.23809524] ; [15.23809524 16.76190476],0
b3,1,0.359056,0.841193,[47 47] ; [13 19],[44.76190476 49.23809524] ; [15.23809524 16.76190476],0
n5,1,0.366339,0.816047,[118  21] ; [47 12],[115.83333333  23.16666667] ; [49.16666667  9.83333333],0
p5,1,0.367041,0.813658,[ 31 108] ; [10 50],[ 28.63819095 110.36180905] ; [12.36180905 47.63819095],0
s1,1,0.36986,0.804136,[  7 132] ; [ 5 55],[  8.38190955 130.61809045] ; [ 3.61809045 56.38190955],0
p11,1,0.3764,0.782427,[112  27] ; [45 15],[109.66331658  29.33668342] ; [47.33668342 12.66331658],0
d4,1,0.413131,0.669771,[123  15] ; [51  9],[121.27272727  16.72727273] ; [52.72727273  7.27272727],0
b4,1,0.449826,0.571091,[73 66] ; [35 25],[75.43718593 63.56281407] ; [32.56281407 27.43718593],0
v4,1,0.455794,0.556204,[135   4] ; [57  3],[134.11055276   4.88944724] ; [57.88944724  2.11055276],0
s4,1,0.470509,0.520779,[ 34 103] ; [17 40],[ 36.01546392 100.98453608] ; [14.98453608 42.01546392],0
r4,1,0.504136,0.446219,[129  10] ; [54  6],[127.8241206  11.1758794] ; [55.1758794  4.8241206],0
r1,1,0.528689,0.39691,[113  26] ; [51  9],[114.55276382  24.44723618] ; [49.44723618 10.55276382],0
s5,1,0.564579,0.331838,[76 53] ; [31 26],[74.20967742 54.79032258] ; [32.79032258 24.20967742],0
p12,1,0.566208,0.329068,[ 23 116] ; [ 8 52],[ 21.65326633 117.34673367] ; [ 9.34673367 50.65326633],0
b5,1,0.571544,0.320106,[87 52] ; [35 25],[85.2160804 53.7839196] ; [36.7839196 23.2160804],0
p1,1,0.594351,0.2836,[ 20 118] ; [ 7 53],[ 18.81818182 119.18181818] ; [ 8.18181818 51.81818182],0
p4,1,0.629095,0.23329,[113  26] ; [47 13],[111.75879397  27.24120603] ; [48.24120603 11.75879397],0
b1,1,0.633579,0.227238,[63 76] ; [25 35],[61.46733668 77.53266332] ; [26.53266332 33.46733668],0
d3,1,0.636608,0.223206,[104  35] ; [46 13],[105.3030303  33.6969697] ; [44.6969697 14.3030303],0
n2,1,0.686225,0.163202,[19  5] ; [11  2],[19.45945946  4.54054054] ; [10.54054054  2.45945946],0
a4,1,0.724489,0.124232,[75 64] ; [34 26],[76.13567839 62.86432161] ; [32.86432161 27.13567839],0
r3,1,0.812386,0.056335,[133   6] ; [56  3],[132.68181818   6.31818182] ; [56.31818182  2.68181818],0
p7,1,0.871471,0.026176,[114  22] ; [50  9],[114.37948718  21.62051282] ; [49.62051282  9.37948718],0
a6,1,0.897921,0.016458,[91 47] ; [39 21],[90.60606061 47.39393939] ; [39.39393939 20.60606061],0
a2,1,0.943092,0.005096,[41 98] ; [18 42],[41.21105528 97.78894472] ; [17.78894472 42.21105528],0
