Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6e-06,20.466433,[53 10] ; [25 31],[41.29411765 21.70588235] ; [36.70588235 19.29411765],1
p2,1,5.7e-05,16.205357,[60  4] ; [36 20],[51.2 12.8] ; [44.8 11.2],1
p3,1,0.000155,14.311462,[46 18] ; [21 35],[35.73333333 28.26666667] ; [31.26666667 24.73333333],1
v4,1,0.012923,6.17959,[62  2] ; [46  9],[58.08403361  5.91596639] ; [49.91596639  5.08403361],0
p5,1,0.020803,5.343228,[16 48] ; [ 5 51],[11.2 52.8] ; [ 9.8 46.2],0
p9,1,0.022102,5.23776,[57  7] ; [40 15],[52.16806723 11.83193277] ; [44.83193277 10.16806723],0
p4,1,0.023342,5.142857,[46 18] ; [29 27],[40. 24.] ; [35. 21.],0
p6,1,0.073285,3.207872,[28 34] ; [16 39],[23.31623932 38.68376068] ; [20.68376068 34.31623932],0
p10,1,0.084447,2.977169,[55  8] ; [42 14],[51.35294118 11.64705882] ; [45.64705882 10.35294118],0
n2,1,0.090628,2.863176,[15  3] ; [11  8],[12.64864865  5.35135135] ; [13.35135135  5.64864865],0
v1,1,0.116591,2.462532,[36 27] ; [23 31],[31.76923077 31.23076923] ; [27.23076923 26.76923077],0
n1,1,0.134029,2.245201,[ 6 12] ; [11  8],[8.27027027 9.72972973] ; [ 8.72972973 10.27027027],0
n5,1,0.139917,2.178872,[49 15] ; [36 20],[45.33333333 18.66666667] ; [39.66666667 16.33333333],0
a4,1,0.144675,2.127512,[21 42] ; [26 30],[24.88235294 38.11764706] ; [22.11764706 33.88235294],0
s3,1,0.145264,2.121287,[23 41] ; [13 42],[19.36134454 44.63865546] ; [16.63865546 38.36134454],0
d2,1,0.149796,2.074329,[27 37] ; [31 25],[30.93333333 33.06666667] ; [27.06666667 28.93333333],0
s8,1,0.179614,1.800816,[37 26] ; [26 30],[33.35294118 29.64705882] ; [29.64705882 26.35294118],0
d4,1,0.203848,1.614587,[49 15] ; [48  8],[51.73333333 12.26666667] ; [45.26666667 10.73333333],0
p1,1,0.269845,1.217532,[ 7 57] ; [ 3 53],[ 5.33333333 58.66666667] ; [ 4.66666667 51.33333333],0
a7,1,0.278795,1.172954,[47 17] ; [36 20],[44.26666667 19.73333333] ; [38.73333333 17.26666667],0
b5,1,0.353805,0.859763,[30 34] ; [31 25],[32.53333333 31.46666667] ; [28.46666667 27.53333333],0
