Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,76.415499,[ 4 39] ; [102  20],[27.62424242 15.37575758] ; [78.37575758 43.62424242],1
v4,1,0.0,32.841818,[21 22] ; [109  12],[34.08536585  8.91463415] ; [95.91463415 25.08536585],1
p2,1,0.0,32.616201,[ 8 34] ; [85 37],[23.81707317 18.18292683] ; [69.18292683 52.81707317],1
r2,1,2e-05,18.147523,[25 16] ; [109  12],[33.91358025  7.08641975] ; [100.08641975  20.91358025],1
r1,1,2.3e-05,17.952882,[17 26] ; [91 30],[28.31707317 14.68292683] ; [79.68292683 41.31707317],1
s6,1,2.6e-05,17.696659,[ 7 36] ; [65 57],[18.76363636 24.23636364] ; [53.23636364 68.76363636],1
a7,1,3.8e-05,16.987403,[17 26] ; [90 31],[28.05487805 14.94512195] ; [78.94512195 42.05487805],1
v2,1,7e-05,15.820037,[ 5 37] ; [54 62],[15.6835443 26.3164557] ; [43.3164557 72.6835443],1
p4,1,0.000443,12.340513,[ 6 36] ; [54 67],[15.4601227 26.5398773] ; [44.5398773 76.4601227],1
s2,1,0.000605,11.759328,[ 5 38] ; [49 73],[14.07272727 28.92727273] ; [39.92727273 82.07272727],1
b5,1,0.001007,10.814954,[17 26] ; [83 39],[26.06060606 16.93939394] ; [73.93939394 48.06060606],0
d5,1,0.001053,10.73129,[21 22] ; [91 29],[29.54601227 13.45398773] ; [82.45398773 37.54601227],0
p9,1,0.001179,10.522698,[11 29] ; [68 51],[19.87421384 20.12578616] ; [59.12578616 59.87421384],0
n6,1,0.001367,10.249353,[18 25] ; [84 37],[26.74390244 16.25609756] ; [75.25609756 45.74390244],0
p7,1,0.002267,9.320113,[ 9 32] ; [60 62],[17.35582822 23.64417178] ; [51.64417178 70.35582822],0
d4,1,0.002612,9.060377,[22 21] ; [91 29],[29.80981595 13.19018405] ; [83.19018405 36.80981595],0
s3,1,0.003505,8.524192,[ 9 32] ; [58 63],[16.95679012 24.04320988] ; [50.04320988 70.95679012],0
p6,1,0.003521,8.515886,[ 2 40] ; [31 89],[ 8.55555556 33.44444444] ; [24.44444444 95.55555556],0
a1,1,0.005614,7.670074,[ 8 35] ; [  6 116],[ 3.64848485 39.35151515] ; [ 10.35151515 111.64848485],0
d3,1,0.007697,7.102687,[17 26] ; [75 44],[24.41975309 18.58024691] ; [67.58024691 51.41975309],0
s7,1,0.007744,7.091701,[ 5 34] ; [40 73],[11.54605263 27.45394737] ; [33.45394737 79.54605263],0
s8,1,0.010179,6.60326,[ 3 40] ; [31 91],[ 8.86060606 34.13939394] ; [25.13939394 96.86060606],0
u3,1,0.01363,6.085484,[ 4 14] ; [27 21],[8.45454545 9.54545455] ; [22.54545455 25.45454545],0
p3,1,0.017692,5.62643,[ 7 35] ; [44 77],[13.14110429 28.85889571] ; [37.85889571 83.14110429],0
p8,1,0.022318,5.220856,[ 7 35] ; [43 78],[12.88343558 29.11656442] ; [37.11656442 83.88343558],0
d1,1,0.025017,5.022733,[13 30] ; [61 61],[19.28484848 23.71515152] ; [54.71515152 67.28484848],0
u1,1,0.028132,4.819971,[ 1 42] ; [ 18 104],[ 4.95151515 38.04848485] ; [ 14.04848485 107.95151515],0
a6,1,0.028515,4.79664,[18 25] ; [74 47],[24.12195122 18.87804878] ; [67.87804878 53.12195122],0
a2,1,0.041399,4.159598,[ 4 39] ; [29 93],[ 8.6 34.4] ; [24.4 97.6],0
