Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.003933,8.314315,[28 40] ; [ 7 38],[21.0619469 46.9380531] ; [13.9380531 31.0619469],0
p1,1,0.010442,6.557924,[ 1 67] ; [ 6 39],[ 4.21238938 63.78761062] ; [ 2.78761062 42.21238938],0
p11,1,0.012457,6.244582,[42 26] ; [17 28],[35.50442478 32.49557522] ; [23.49557522 21.50442478],0
r3,1,0.086503,2.938271,[62  6] ; [36  9],[58.97345133  9.02654867] ; [39.02654867  5.97345133],0
v4,1,0.086503,2.938271,[62  6] ; [36  9],[58.97345133  9.02654867] ; [39.02654867  5.97345133],0
s6,1,0.102728,2.662678,[37 31] ; [17 27],[32.78571429 35.21428571] ; [21.21428571 22.78571429],0
n2,1,0.120125,2.415686,[24 10] ; [11 11],[21.25 12.75] ; [13.75  8.25],0
s1,1,0.167486,1.905306,[ 2 66] ; [ 4 41],[ 3.61061947 64.38938053] ; [ 2.38938053 42.61061947],0
n3,1,0.224429,1.475826,[16 18] ; [14  8],[18.21428571 15.78571429] ; [11.78571429 10.21428571],0
r4,1,0.227034,1.459346,[51 17] ; [29 16],[48.14159292 19.85840708] ; [31.85840708 13.14159292],0
p2,1,0.232108,1.427898,[41 27] ; [22 23],[37.91150442 30.08849558] ; [25.08849558 19.91150442],0
n1,1,0.269257,1.220526,[ 8 27] ; [ 8 14],[ 9.8245614 25.1754386] ; [ 6.1754386 15.8245614],0
p10,1,0.30495,1.052423,[41 25] ; [23 21],[38.4 27.6] ; [25.6 18.4],0
p8,1,0.311418,1.024653,[13 55] ; [12 32],[15.17857143 52.82142857] ; [ 9.82142857 34.17857143],0
a1,1,0.335729,0.926672,[ 1 67] ; [ 2 43],[ 1.80530973 66.19469027] ; [ 1.19469027 43.80530973],0
p9,1,0.365046,0.820458,[46 18] ; [28 16],[43.85185185 20.14814815] ; [30.14814815 13.85185185],0
v3,1,0.389852,0.739403,[13 53] ; [11 30],[14.80373832 51.19626168] ; [ 9.19626168 31.80373832],0
v1,1,0.397555,0.71571,[23 44] ; [19 26],[25.125 41.875] ; [16.875 28.125],0
b2,1,0.413967,0.66738,[ 9 21] ; [ 9 13],[10.38461538 19.61538462] ; [ 7.61538462 14.38461538],0
b3,1,0.413967,0.66738,[ 9 21] ; [ 9 13],[10.38461538 19.61538462] ; [ 7.61538462 14.38461538],0
v2,1,0.425105,0.63616,[27 39] ; [20 21],[28.99065421 37.00934579] ; [18.00934579 22.99065421],0
d5,1,0.429756,0.623484,[50 18] ; [36  9],[51.75221239 16.24778761] ; [34.24778761 10.75221239],0
s5,1,0.446176,0.580348,[19 49] ; [ 9 33],[17.30909091 50.69090909] ; [10.69090909 31.30909091],0
b1,1,0.447542,0.576869,[21 47] ; [17 28],[22.86725664 45.13274336] ; [15.13274336 29.86725664],0
s8,1,0.452335,0.564794,[14 54] ; [12 33],[15.6460177 52.3539823] ; [10.3539823 34.6460177],0
b4,1,0.492578,0.470889,[41 27] ; [30 15],[42.72566372 25.27433628] ; [28.27433628 16.72566372],0
s7,1,0.494627,0.466445,[13 52] ; [11 32],[14.44444444 50.55555556] ; [ 9.55555556 33.44444444],0
