Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.9e-05,18.3018,[ 4 37] ; [5 1],[ 7.85106383 33.14893617] ; [1.14893617 4.85106383],1
r4,1,0.002078,9.479247,[ 1 45] ; [2 4],[ 2.65384615 43.34615385] ; [0.34615385 5.65384615],0
s2,1,0.005303,7.773085,[ 4 42] ; [3 3],[ 6.19230769 39.80769231] ; [0.80769231 5.19230769],0
p6,1,0.013877,6.053779,[ 5 40] ; [3 3],[ 7.05882353 37.94117647] ; [0.94117647 5.05882353],0
s3,1,0.015484,5.860581,[ 9 35] ; [4 2],[11.44 32.56] ; [1.56 4.44],0
n6,1,0.025504,4.989365,[16 29] ; [5 1],[18.52941176 26.47058824] ; [2.47058824 3.52941176],0
d3,1,0.066098,3.377348,[20 26] ; [5 1],[22.11538462 23.88461538] ; [2.88461538 3.11538462],0
r1,1,0.079332,3.078526,[14 32] ; [4 2],[15.92307692 30.07692308] ; [2.07692308 3.92307692],0
p2,1,0.131076,2.27971,[16 30] ; [4 2],[17.69230769 28.30769231] ; [2.30769231 3.69230769],0
p9,1,0.134445,2.240419,[15 28] ; [4 2],[16.67346939 26.32653061] ; [2.32653061 3.67346939],0
p8,1,0.187634,1.7361,[11 34] ; [3 3],[12.35294118 32.64705882] ; [1.64705882 4.35294118],0
n1,1,0.191254,1.707933,[10 15] ; [3 1],[11.20689655 13.79310345] ; [1.79310345 2.20689655],0
s4,1,0.195121,1.678524,[ 6 40] ; [2 4],[ 7.07692308 38.92307692] ; [0.92307692 5.07692308],0
a7,1,0.199117,1.648836,[18 28] ; [4 2],[19.46153846 26.53846154] ; [2.53846154 3.46153846],0
u1,1,0.223522,1.481613,[ 2 44] ; [1 5],[ 2.65384615 43.34615385] ; [0.34615385 5.65384615],0
p4,1,0.238687,1.388333,[12 33] ; [3 3],[13.23529412 31.76470588] ; [1.76470588 4.23529412],0
b5,1,0.239406,1.384091,[19 27] ; [4 2],[20.34615385 25.65384615] ; [2.65384615 3.34615385],0
d5,1,0.283889,1.148378,[26 20] ; [2 4],[24.76923077 21.23076923] ; [3.23076923 2.76923077],0
v3,1,0.351382,0.868461,[ 8 38] ; [2 4],[ 8.84615385 37.15384615] ; [1.15384615 4.84615385],0
n3,1,0.377822,0.777778,[10 15] ; [2 1],[10.71428571 14.28571429] ; [1.28571429 1.71428571],0
p5,1,0.392091,0.732447,[ 3 42] ; [1 5],[ 3.52941176 41.47058824] ; [0.47058824 5.52941176],0
n5,1,0.426165,0.633253,[31 15] ; [5 1],[31.84615385 14.15384615] ; [4.15384615 1.84615385],0
a5,1,0.442181,0.590617,[23 23] ; [4 2],[23.88461538 22.11538462] ; [3.11538462 2.88461538],0
u3,1,0.449102,0.572917,[ 5 15] ; [1 1],[ 5.45454545 14.54545455] ; [0.54545455 1.45454545],0
r2,1,0.466348,0.530615,[28 16] ; [4 1],[28.73469388 15.26530612] ; [3.26530612 1.73469388],0
d4,1,0.503008,0.448585,[24 22] ; [4 2],[24.76923077 21.23076923] ; [3.23076923 2.76923077],0
b4,1,0.503008,0.448585,[24 22] ; [4 2],[24.76923077 21.23076923] ; [3.23076923 2.76923077],0
b1,1,0.53679,0.381522,[29 17] ; [3 3],[28.30769231 17.69230769] ; [3.69230769 2.30769231],0
p7,1,0.54429,0.367647,[15 30] ; [1 4],[14.4 30.6] ; [1.6 3.4],0
u2,1,0.562591,0.335238,[ 6 14] ; [1 1],[ 6.36363636 13.63636364] ; [0.63636364 1.36363636],0
p10,1,0.564616,0.331774,[17 28] ; [3 3],[17.64705882 27.35294118] ; [2.35294118 3.64705882],0
p3,1,0.616226,0.251208,[12 34] ; [1 5],[11.5 34.5] ; [1.5 4.5],0
p11,1,0.616226,0.251208,[11 35] ; [2 4],[11.5 34.5] ; [1.5 4.5],0
n4,1,0.636157,0.223803,[26 20] ; [4 2],[26.53846154 19.46153846] ; [3.46153846 2.53846154],0
a2,1,0.675922,0.174753,[ 5 41] ; [1 5],[ 5.30769231 40.69230769] ; [0.69230769 5.30769231],0
a3,1,0.677725,0.172698,[26 19] ; [4 2],[26.47058824 18.52941176] ; [3.52941176 2.47058824],0
v1,1,0.691929,0.157005,[11 35] ; [1 5],[10.61538462 35.38461538] ; [1.38461538 4.61538462],0
b2,1,0.829357,0.046452,[14 17] ; [2 3],[13.77777778 17.22222222] ; [2.22222222 2.77777778],0
b3,1,0.829357,0.046452,[14 17] ; [2 3],[13.77777778 17.22222222] ; [2.22222222 2.77777778],0
d2,1,0.832489,0.044737,[17 28] ; [2 4],[16.76470588 28.23529412] ; [2.23529412 3.76470588],0
a4,1,0.914793,0.011448,[16 29] ; [2 4],[15.88235294 29.11764706] ; [2.11764706 3.88235294],0
a6,1,0.920153,0.010048,[22 24] ; [3 3],[22.11538462 23.88461538] ; [2.88461538 3.11538462],0
v2,1,0.946532,0.004497,[ 8 37] ; [1 5],[ 7.94117647 37.05882353] ; [1.05882353 4.94117647],0
d1,1,0.97161,0.001267,[15 31] ; [2 4],[15.03846154 30.96153846] ; [1.96153846 4.03846154],0
