Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.623683,[81 16] ; [ 5 11],[73.82300885 23.17699115] ; [12.17699115  3.82300885],1
n6,1,2e-05,18.18658,[73 24] ; [ 3 12],[65.82142857 31.17857143] ; [10.17857143  4.82142857],1
r2,1,0.000436,12.371977,[90  7] ; [10  6],[85.84070796 11.15929204] ; [14.15929204  1.84070796],1
r3,1,0.001,10.827675,[89  8] ; [10  6],[84.98230088 12.01769912] ; [14.01769912  1.98230088],0
p2,1,0.001018,10.79377,[66 31] ; [ 4 12],[60.08849558 36.91150442] ; [9.91150442 6.08849558],0
u3,1,0.021998,5.245924,[22 11] ; [1 5],[19.46153846 13.53846154] ; [3.53846154 2.46153846],0
s1,1,0.025675,4.977778,[ 4 92] ; [ 3 13],[ 6. 90.] ; [ 1. 15.],0
n3,1,0.028795,4.779798,[24  9] ; [3 6],[21.21428571 11.78571429] ; [5.78571429 3.21428571],0
p11,1,0.033961,4.496657,[52 45] ; [ 4 12],[48.07079646 48.92920354] ; [7.92920354 8.07079646],0
p10,1,0.038519,4.281959,[30 66] ; [ 1 15],[26.57142857 69.42857143] ; [ 4.42857143 11.57142857],0
r1,1,0.044401,4.041229,[77 20] ; [9 7],[73.82300885 23.17699115] ; [12.17699115  3.82300885],0
a1,1,0.04948,3.858978,[ 5 92] ; [ 3 13],[ 6.86725664 90.13274336] ; [ 1.13274336 14.86725664],0
p3,1,0.076563,3.136398,[33 62] ; [ 2 14],[29.95495495 65.04504505] ; [ 5.04504505 10.95495495],0
s2,1,0.089012,2.892155,[32 63] ; [ 2 14],[29.0990991 65.9009009] ; [ 4.9009009 11.0990991],0
v1,1,0.132831,2.259107,[37 60] ; [ 3 13],[34.33628319 62.66371681] ; [ 5.66371681 10.33628319],0
s3,1,0.137494,2.205783,[43 53] ; [ 4 12],[40.28571429 55.71428571] ; [6.71428571 9.28571429],0
s6,1,0.142426,2.151554,[49 47] ; [ 5 11],[46.28571429 49.71428571] ; [7.71428571 8.28571429],0
s7,1,0.164139,1.935674,[30 62] ; [ 2 12],[27.77358491 64.22641509] ; [4.22641509 9.77358491],0
a8,1,0.190014,1.717511,[ 7 79] ; [ 3 13],[ 8.43137255 77.56862745] ; [ 1.56862745 14.43137255],0
p8,1,0.195409,1.676356,[36 61] ; [ 3 12],[33.77678571 63.22321429] ; [5.22321429 9.77678571],0
p4,1,0.215206,1.536055,[46 50] ; [ 5 11],[43.71428571 52.28571429] ; [7.28571429 8.71428571],0
n2,1,0.223654,1.480769,[22 11] ; [4 5],[20.42857143 12.57142857] ; [5.57142857 3.42857143],0
p7,1,0.295231,1.095612,[43 52] ; [ 5 11],[41.08108108 53.91891892] ; [6.91891892 9.08108108],0
d2,1,0.2978,1.084019,[47 50] ; [10  6],[48.92920354 48.07079646] ; [8.07079646 7.92920354],0
s8,1,0.347153,0.883838,[22 74] ; [ 2 14],[20.57142857 75.42857143] ; [ 3.42857143 12.57142857],0
b2,1,0.383169,0.760509,[20 39] ; [2 8],[18.8115942 40.1884058] ; [3.1884058 6.8115942],0
b3,1,0.383169,0.760509,[20 39] ; [2 8],[18.8115942 40.1884058] ; [3.1884058 6.8115942],0
u2,1,0.453069,0.562963,[16 16] ; [2 4],[15.15789474 16.84210526] ; [2.84210526 3.15789474],0
d4,1,0.476396,0.507102,[80 17] ; [12  4],[78.97345133 18.02654867] ; [13.02654867  2.97345133],0
d3,1,0.485389,0.486732,[69 28] ; [10  6],[67.81415929 29.18584071] ; [11.18584071  4.81415929],0
p5,1,0.487603,0.481812,[ 3 94] ; [ 1 14],[ 3.46428571 93.53571429] ; [ 0.53571429 14.46428571],0
v2,1,0.512027,0.429921,[44 51] ; [ 6 10],[42.79279279 52.20720721] ; [7.20720721 8.79279279],0
a4,1,0.556524,0.345759,[35 62] ; [7 9],[36.05309735 60.94690265] ; [ 5.94690265 10.05309735],0
v3,1,0.560179,0.339394,[31 65] ; [ 4 12],[30. 66.] ; [ 5. 11.],0
n1,1,0.575217,0.314032,[14 18] ; [3 6],[13.26829268 18.73170732] ; [3.73170732 5.26829268],0
s5,1,0.605829,0.266293,[13 81] ; [ 3 13],[13.67272727 80.32727273] ; [ 2.32727273 13.67272727],0
b1,1,0.609524,0.260869,[54 43] ; [10  6],[54.9380531 42.0619469] ; [9.0619469 6.9380531],0
n4,1,0.661671,0.1915,[66 31] ; [10  6],[65.23893805 31.76106195] ; [10.76106195  5.23893805],0
d5,1,0.764828,0.089489,[76 21] ; [12  4],[75.53982301 21.46017699] ; [12.46017699  3.53982301],0
p1,1,0.776558,0.080547,[ 8 88] ; [ 1 15],[ 7.71428571 88.28571429] ; [ 1.28571429 14.71428571],0
d1,1,0.788731,0.071802,[52 45] ; [8 8],[51.50442478 45.49557522] ; [8.49557522 7.50442478],0
p6,1,0.818296,0.052779,[20 74] ; [ 3 13],[19.65454545 74.34545455] ; [ 3.34545455 12.65454545],0
a6,1,0.845934,0.037756,[69 28] ; [11  5],[68.67256637 28.32743363] ; [11.32743363  4.67256637],0
b5,1,0.849504,0.036006,[63 34] ; [10  6],[62.66371681 34.33628319] ; [10.33628319  5.66371681],0
a2,1,0.910829,0.012543,[23 74] ; [ 4 12],[23.17699115 73.82300885] ; [ 3.82300885 12.17699115],0
n5,1,0.911531,0.012345,[56 41] ; [9 7],[55.79646018 41.20353982] ; [9.20353982 6.79646018],0
b4,1,0.912997,0.011938,[62 35] ; [10  6],[61.80530973 35.19469027] ; [10.19469027  5.80530973],0
a3,1,0.958274,0.002737,[64 33] ; [10  5],[64.08928571 32.91071429] ; [9.91071429 5.08928571],0
a5,1,0.960774,0.002419,[60 37] ; [10  6],[60.08849558 36.91150442] ; [9.91150442 6.08849558],0
