Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.8e-05,17.544601,[63 80] ; [10 58],[49.47393365 93.52606635] ; [23.52606635 44.47393365],1
v4,1,3.4e-05,17.199517,[138   7] ; [51 16],[129.26886792  15.73113208] ; [59.73113208  7.26886792],1
r4,1,6.1e-05,16.072927,[129  16] ; [45 23],[118.45070423  26.54929577] ; [55.54929577 12.45070423],1
n5,1,0.000106,15.019965,[103  42] ; [29 38],[90.28301887 54.71698113] ; [41.71698113 25.28301887],1
s6,1,0.000206,13.778865,[100  40] ; [30 37],[87.92270531 52.07729469] ; [42.07729469 24.92270531],1
n4,1,0.000257,13.363878,[103  41] ; [31 37],[91.01886792 52.98113208] ; [42.98113208 25.01886792],1
p10,1,0.000292,13.123477,[89 52] ; [23 41],[77.03414634 63.96585366] ; [34.96585366 29.03414634],1
p4,1,0.00147,10.116339,[74 69] ; [19 48],[63.32857143 79.67142857] ; [29.67142857 37.32857143],0
r3,1,0.001552,10.016332,[131  13] ; [50 17],[123.52606635  20.47393365] ; [57.47393365  9.52606635],0
s7,1,0.005126,7.834387,[67 66] ; [18 44],[57.97435897 75.02564103] ; [27.02564103 34.97435897],0
p7,1,0.005231,7.797915,[76 67] ; [21 44],[66.6875 76.3125] ; [30.3125 34.6875],0
p2,1,0.008415,6.942849,[102  42] ; [35 32],[93.49763033 50.50236967] ; [43.50236967 23.49763033],0
p9,1,0.010907,6.480451,[96 44] ; [32 32],[87.84313725 52.15686275] ; [40.15686275 23.84313725],0
p6,1,0.015869,5.817282,[50 93] ; [12 53],[ 42.625 100.375] ; [19.375 45.625],0
b5,1,0.01793,5.602938,[99 46] ; [35 33],[91.22065728 53.77934272] ; [42.77934272 25.22065728],0
u1,1,0.040164,4.210928,[ 29 116] ; [ 6 62],[ 23.82629108 121.17370892] ; [11.17370892 56.82629108],0
s5,1,0.056127,3.648296,[51 88] ; [14 47],[45.175 93.825] ; [19.825 41.175],0
s2,1,0.075486,3.159517,[76 68] ; [27 41],[69.96226415 74.03773585] ; [33.03773585 34.96226415],0
n2,1,0.079156,3.082145,[39 12] ; [18 13],[35.45121951 15.54878049] ; [21.54878049  9.45121951],0
n1,1,0.099342,2.716073,[25 24] ; [10 21],[21.4375 27.5625] ; [13.5625 17.4375],0
v2,1,0.114777,2.487184,[71 71] ; [24 39],[65.80487805 76.19512195] ; [29.19512195 33.80487805],0
d5,1,0.115591,2.47607,[117  27] ; [48 19],[112.60663507  31.39336493] ; [52.39336493 14.60663507],0
p5,1,0.1172,2.454351,[ 13 131] ; [ 2 64],[ 10.28571429 133.71428571] ; [ 4.71428571 61.28571429],0
