Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,5.6e-05,16.230682,[14  1] ; [ 2 10],[8.88888889 6.11111111] ; [7.11111111 4.88888889],1
v4,1,0.001015,10.8,[14  1] ; [4 8],[10.  5.] ; [8. 4.],0
s7,1,0.012969,6.173341,[8 6] ; [ 1 10],[5.04 8.96] ; [3.96 7.04],0
n2,1,0.0187,5.529337,[6 1] ; [2 6],[3.73333333 3.26666667] ; [4.26666667 3.73333333],0
s5,1,0.021743,5.266204,[7 7] ; [ 1 11],[4.30769231 9.69230769] ; [3.69230769 8.30769231],0
p8,1,0.02278,5.185227,[9 6] ; [ 2 10],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
s6,1,0.02278,5.185227,[9 6] ; [ 2 10],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
n6,1,0.023851,5.105455,[12  3] ; [4 7],[9.23076923 5.76923077] ; [6.76923077 4.23076923],0
s2,1,0.030191,4.698355,[7 8] ; [ 1 11],[ 4.44444444 10.55555556] ; [3.55555556 8.44444444],0
r4,1,0.030191,4.698355,[7 8] ; [ 1 11],[ 4.44444444 10.55555556] ; [3.55555556 8.44444444],0
p4,1,0.032981,4.546777,[9 6] ; [2 9],[6.34615385 8.65384615] ; [4.65384615 6.34615385],0
p3,1,0.045157,4.012755,[9 5] ; [3 9],[6.46153846 7.53846154] ; [5.53846154 6.46153846],0
p7,1,0.046547,3.961685,[6 7] ; [ 1 10],[3.79166667 9.20833333] ; [3.20833333 7.79166667],0
n5,1,0.095045,2.786786,[13  2] ; [7 5],[11.11111111  3.88888889] ; [8.88888889 3.11111111],0
p5,1,0.098543,2.728968,[5 9] ; [ 1 11],[ 3.23076923 10.76923077] ; [2.76923077 9.23076923],0
p11,1,0.100348,2.7,[7 8] ; [ 2 10],[ 5. 10.] ; [4. 8.],0
v1,1,0.100348,2.7,[7 8] ; [ 2 10],[ 5. 10.] ; [4. 8.],0
b5,1,0.193931,1.6875,[10  5] ; [5 7],[8.33333333 6.66666667] ; [6.66666667 5.33333333],0
r1,1,0.193931,1.6875,[10  5] ; [5 7],[8.33333333 6.66666667] ; [6.66666667 5.33333333],0
a5,1,0.214193,1.542857,[13  2] ; [8 4],[11.66666667  3.33333333] ; [9.33333333 2.66666667],0
v2,1,0.246671,1.342059,[7 8] ; [3 9],[5.55555556 9.44444444] ; [4.44444444 7.55555556],0
s3,1,0.246671,1.342059,[7 8] ; [3 9],[5.55555556 9.44444444] ; [4.44444444 7.55555556],0
b3,1,0.374857,0.7875,[ 2 10] ; [3 6],[2.85714286 9.14285714] ; [2.14285714 6.85714286],0
b2,1,0.374857,0.7875,[ 2 10] ; [3 6],[2.85714286 9.14285714] ; [2.14285714 6.85714286],0
u1,1,0.396465,0.719022,[ 3 12] ; [ 1 11],[ 2.22222222 12.77777778] ; [ 1.77777778 10.22222222],0
s1,1,0.411314,0.675,[ 1 14] ; [ 2 10],[ 1.66666667 13.33333333] ; [ 1.33333333 10.66666667],0
b4,1,0.411314,0.675,[11  4] ; [7 5],[10.  5.] ; [8. 4.],0
d3,1,0.411314,0.675,[14  1] ; [10  2],[13.33333333  1.66666667] ; [10.66666667  1.33333333],0
a7,1,0.411314,0.675,[11  4] ; [7 5],[10.  5.] ; [8. 4.],0
a1,1,0.411314,0.675,[ 1 14] ; [ 2 10],[ 1.66666667 13.33333333] ; [ 1.33333333 10.66666667],0
a3,1,0.432111,0.617143,[12  3] ; [8 4],[11.11111111  3.88888889] ; [8.88888889 3.11111111],0
n4,1,0.438058,0.601364,[13  2] ; [9 3],[12.22222222  2.77777778] ; [9.77777778 2.22222222],0
n3,1,0.446798,0.578763,[4 3] ; [3 5],[3.26666667 3.73333333] ; [3.73333333 4.26666667],0
n1,1,0.446798,0.578763,[4 3] ; [3 5],[3.26666667 3.73333333] ; [3.73333333 4.26666667],0
a4,1,0.530236,0.393939,[10  5] ; [6 5],[9.23076923 5.76923077] ; [6.76923077 4.23076923],0
a2,1,0.534561,0.385714,[ 4 11] ; [ 2 10],[ 3.33333333 11.66666667] ; [2.66666667 9.33333333],0
a6,1,0.603332,0.27,[9 6] ; [6 6],[8.33333333 6.66666667] ; [6.66666667 5.33333333],0
u3,1,0.659243,0.194444,[1 2] ; [2 2],[1.28571429 1.71428571] ; [1.71428571 2.28571429],0
d2,1,0.663674,0.189091,[12  3] ; [8 3],[11.53846154  3.46153846] ; [8.46153846 2.53846154],0
b1,1,0.721501,0.127059,[9 6] ; [8 4],[9.44444444 5.55555556] ; [7.55555556 4.44444444],0
u2,1,0.80915,0.058333,[1 2] ; [1 3],[0.85714286 2.14285714] ; [1.14285714 2.85714286],0
p1,1,0.824653,0.049091,[ 3 12] ; [ 2 10],[ 2.77777778 12.22222222] ; [2.22222222 9.77777778],0
s4,1,0.921775,0.009643,[ 4 11] ; [3 9],[ 3.88888889 11.11111111] ; [3.11111111 8.88888889],0
v3,1,0.921775,0.009643,[ 4 11] ; [3 9],[ 3.88888889 11.11111111] ; [3.11111111 8.88888889],0
r2,1,0.932294,0.007218,[11  3] ; [8 2],[11.08333333  2.91666667] ; [7.91666667 2.08333333],0
