Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,46.189181,[88 21] ; [ 4 25],[72.66666667 36.33333333] ; [19.33333333  9.66666667],1
r3,1,0.0,43.196612,[97 12] ; [ 9 20],[83.72463768 25.27536232] ; [22.27536232  6.72463768],1
p2,1,2e-06,22.841052,[76 33] ; [ 6 23],[64.76811594 44.23188406] ; [17.23188406 11.76811594],1
r2,1,1.7e-05,18.510451,[98 10] ; [16 12],[90.52941176 17.47058824] ; [23.47058824  4.52941176],1
p11,1,2.3e-05,17.955293,[67 42] ; [ 5 24],[56.86956522 52.13043478] ; [15.13043478 13.86956522],1
p10,1,3e-05,17.420378,[67 41] ; [ 5 23],[57.17647059 50.82352941] ; [14.82352941 13.17647059],1
r1,1,0.000235,13.531752,[83 25] ; [12 17],[74.89051095 33.10948905] ; [20.10948905  8.89051095],1
s6,1,0.000245,13.452697,[56 52] ; [ 4 25],[47.29927007 60.70072993] ; [12.70072993 16.29927007],1
u2,1,0.000267,13.290485,[28  9] ; [ 2 10],[22.65306122 14.34693878] ; [7.34693878 4.65306122],1
p9,1,0.000436,12.370536,[74 34] ; [ 9 19],[65.91176471 42.08823529] ; [17.08823529 10.91176471],1
p7,1,0.001351,10.271285,[49 56] ; [ 4 25],[41.52985075 63.47014925] ; [11.47014925 17.52985075],0
s2,1,0.002848,8.902316,[43 65] ; [ 3 26],[36.26277372 71.73722628] ; [ 9.73722628 19.26277372],0
a1,1,0.004435,8.096433,[  5 104] ; [ 6 23],[  8.6884058 100.3115942] ; [ 2.3115942 26.6884058],0
a6,1,0.005314,7.769397,[75 33] ; [12 17],[68.58394161 39.41605839] ; [18.41605839 10.58394161],0
n3,1,0.009363,6.752232,[27  9] ; [5 9],[23.04 12.96] ; [8.96 5.04],0
p4,1,0.01106,6.45572,[42 66] ; [ 4 25],[36.26277372 71.73722628] ; [ 9.73722628 19.26277372],0
b5,1,0.015669,5.839653,[65 44] ; [10 19],[59.23913043 49.76086957] ; [15.76086957 13.23913043],0
d5,1,0.020465,5.371827,[80 28] ; [15 14],[74.89051095 33.10948905] ; [20.10948905  8.89051095],0
s3,1,0.022307,5.221648,[57 51] ; [ 8 20],[51.61764706 56.38235294] ; [13.38235294 14.61764706],0
p8,1,0.024176,5.081966,[36 73] ; [ 3 24],[31.25735294 77.74264706] ; [ 7.74264706 19.25735294],0
d3,1,0.028576,4.792962,[69 39] ; [12 17],[63.8540146 44.1459854] ; [17.1459854 11.8540146],0
s7,1,0.040351,4.203049,[32 69] ; [ 3 23],[27.83464567 73.16535433] ; [ 7.16535433 18.83464567],0
b3,1,0.044872,4.02346,[13 50] ; [ 9 12],[16.5 46.5] ; [ 5.5 15.5],0
b2,1,0.044872,4.02346,[13 50] ; [ 9 12],[16.5 46.5] ; [ 5.5 15.5],0
p3,1,0.05154,3.790635,[35 74] ; [ 4 25],[30.80434783 78.19565217] ; [ 8.19565217 20.80434783],0
a7,1,0.054772,3.689022,[77 32] ; [15 14],[72.66666667 36.33333333] ; [19.33333333  9.66666667],0
n2,1,0.061089,3.507573,[27 11] ; [6 8],[24.11538462 13.88461538] ; [8.88461538 5.11538462],0
v2,1,0.069504,3.294688,[44 56] ; [ 7 21],[39.84375 60.15625] ; [11.15625 16.84375],0
a5,1,0.105922,2.614028,[74 35] ; [15 14],[70.29710145 38.70289855] ; [18.70289855 10.29710145],0
n1,1,0.106745,2.601769,[12 25] ; [8 6],[14.50980392 22.49019608] ; [5.49019608 8.50980392],0
d4,1,0.108296,2.578914,[83 25] ; [18 11],[79.62043796 28.37956204] ; [21.37956204  7.62043796],0
p1,1,0.129989,2.292633,[  6 102] ; [ 4 25],[  7.88321168 100.11678832] ; [ 2.11678832 26.88321168],0
v1,1,0.256615,1.286925,[41 64] ; [ 8 21],[38.39552239 66.60447761] ; [10.60447761 18.39552239],0
d1,1,0.354264,0.858125,[48 61] ; [10 19],[45.8115942 63.1884058] ; [12.1884058 16.8115942],0
s1,1,0.355329,0.854336,[  6 102] ; [ 3 26],[  7.09489051 100.90510949] ; [ 1.90510949 27.09489051],0
n5,1,0.361254,0.833528,[42 66] ; [14 15],[44.1459854 63.8540146] ; [11.8540146 17.1459854],0
s4,1,0.364372,0.822768,[  9 100] ; [ 4 25],[10.26811594 98.73188406] ; [ 2.73188406 26.26811594],0
n4,1,0.384603,0.755936,[54 55] ; [17 12],[56.07971014 52.92028986] ; [14.92028986 14.07971014],0
v3,1,0.399739,0.70911,[28 70] ; [ 6 23],[26.23622047 71.76377953] ; [ 7.76377953 21.23622047],0
d2,1,0.444376,0.584956,[40 68] ; [13 16],[41.7810219 66.2189781] ; [11.2189781 17.7810219],0
a4,1,0.457157,0.552846,[37 72] ; [12 17],[38.70289855 70.29710145] ; [10.29710145 18.70289855],0
b1,1,0.474782,0.510824,[52 57] ; [16 13],[53.71014493 55.28985507] ; [14.28985507 14.71014493],0
a3,1,0.663146,0.189725,[71 38] ; [17 11],[70.01459854 38.98540146] ; [17.98540146 10.01459854],0
s5,1,0.666424,0.185813,[18 87] ; [ 4 25],[17.23880597 87.76119403] ; [ 4.76119403 24.23880597],0
a2,1,0.722064,0.126523,[18 91] ; [ 4 25],[17.37681159 91.62318841] ; [ 4.62318841 24.37681159],0
b4,1,0.797521,0.065821,[61 48] ; [17 12],[61.60869565 47.39130435] ; [16.39130435 12.60869565],0
a8,1,0.87461,0.024903,[10 93] ; [ 3 25],[10.22137405 92.77862595] ; [ 2.77862595 25.22137405],0
