Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.000339,12.841437,[72 35] ; [75  9],[82.35078534 24.64921466] ; [64.64921466 19.35078534],1
p6,1,0.000662,11.592575,[22 83] ; [37 47],[32.77777778 72.22222222] ; [26.22222222 57.77777778],1
d3,1,0.008952,6.832456,[66 40] ; [67 17],[74.2 31.8] ; [58.8 25.2],0
p7,1,0.010826,6.493699,[44 54] ; [53 30],[52.51933702 45.48066298] ; [44.48066298 38.51933702],0
s8,1,0.06521,3.399649,[65 42] ; [61 22],[70.95789474 36.04210526] ; [55.04210526 27.95789474],0
p8,1,0.079378,3.077582,[36 67] ; [40 44],[41.86096257 61.13903743] ; [34.13903743 49.86096257],0
v1,1,0.102033,2.673482,[46 56] ; [48 36],[51.5483871 50.4516129] ; [42.4516129 41.5483871],0
d2,1,0.104406,2.636921,[48 58] ; [48 36],[53.55789474 52.44210526] ; [42.44210526 41.55789474],0
n5,1,0.115621,2.475659,[75 31] ; [67 16],[79.64021164 26.35978836] ; [62.35978836 20.64021164],0
r4,1,0.127278,2.325389,[87 20] ; [75  9],[90.7539267 16.2460733] ; [71.2460733 12.7539267],0
u2,1,0.178663,1.808707,[13 12] ; [15  6],[15.2173913  9.7826087] ; [12.7826087  8.2173913],0
a2,1,0.191101,1.709113,[23 84] ; [25 59],[26.89005236 80.10994764] ; [21.10994764 62.89005236],0
a4,1,0.208719,1.58029,[45 62] ; [43 41],[49.29842932 57.70157068] ; [38.70157068 45.29842932],0
n6,1,0.321244,0.983873,[84 21] ; [71 12],[86.56914894 18.43085106] ; [68.43085106 14.56914894],0
a5,1,0.347408,0.882904,[75 32] ; [64 20],[77.86910995 29.13089005] ; [61.13089005 22.86910995],0
s6,1,0.354781,0.856283,[85 21] ; [70 12],[87.39361702 18.60638298] ; [67.60638298 14.39361702],0
r2,1,0.356366,0.850659,[97  7] ; [79  3],[98.40860215  5.59139785] ; [77.59139785  4.40860215],0
d1,1,0.367041,0.813658,[58 49] ; [51 33],[61.06282723 45.93717277] ; [47.93717277 36.06282723],0
r1,1,0.370276,0.802738,[86 21] ; [70 12],[88.31746032 18.68253968] ; [67.68253968 14.31746032],0
v3,1,0.400144,0.707893,[36 67] ; [34 49],[38.76344086 64.23655914] ; [31.23655914 51.76344086],0
d5,1,0.417417,0.657576,[82 24] ; [69 15],[84.24210526 21.75789474] ; [66.75789474 17.24210526],0
b3,1,0.448475,0.574502,[29 42] ; [21 40],[26.89393939 44.10606061] ; [23.10606061 37.89393939],0
b2,1,0.448475,0.574502,[29 42] ; [21 40],[26.89393939 44.10606061] ; [23.10606061 37.89393939],0
p5,1,0.454669,0.558987,[  6 100] ; [ 7 76],[ 7.29100529 98.70899471] ; [ 5.70899471 77.29100529],0
u4,1,0.464555,0.534897,[  2 105] ; [ 3 81],[  2.80104712 104.19895288] ; [ 2.19895288 81.80104712],0
s4,1,0.482762,0.492617,[26 80] ; [17 67],[23.98947368 82.01052632] ; [19.01052632 64.98947368],0
n4,1,0.496942,0.461461,[82 25] ; [67 16],[83.91052632 23.08947368] ; [65.08947368 17.91052632],0
p12,1,0.500827,0.453183,[  6 100] ; [ 3 81],[  5.02105263 100.97894737] ; [ 3.97894737 80.02105263],0
b1,1,0.502091,0.450514,[42 65] ; [29 55],[39.77486911 67.22513089] ; [31.22513089 52.77486911],0
s3,1,0.510189,0.433679,[80 25] ; [59 23],[78.04812834 26.95187166] ; [60.95187166 21.04812834],0
p10,1,0.574141,0.315802,[82 24] ; [67 16],[83.56613757 22.43386243] ; [65.43386243 17.56613757],0
