Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5.6e-05,16.236987,[53 43] ; [122  32],[67.2 28.8] ; [107.8  46.2],1
s8,1,0.000121,14.772682,[42 53] ; [106  48],[56.46586345 38.53413655] ; [91.53413655 62.46586345],1
a3,1,0.001194,10.500201,[66 30] ; [133  22],[76.11155378 19.88844622] ; [122.88844622  32.11155378],0
v3,1,0.003792,8.380722,[33 62] ; [83 72],[44.08 50.92] ; [71.92 83.08],0
d5,1,0.004325,8.142254,[74 22] ; [139  15],[81.792 14.208] ; [131.208  22.792],0
d4,1,0.004592,8.033406,[76 19] ; [142  12],[83.17269076 11.82730924] ; [134.82730924  19.17269076],0
v2,1,0.004643,8.013629,[48 48] ; [104  49],[58.60240964 37.39759036] ; [93.39759036 59.60240964],0
p6,1,0.005124,7.835065,[34 62] ; [81 70],[44.69635628 51.30364372] ; [70.30364372 80.69635628],0
p8,1,0.010933,6.476174,[48 46] ; [103  50],[57.46558704 36.53441296] ; [93.53441296 59.46558704],0
n5,1,0.012268,6.271753,[70 25] ; [133  21],[77.4497992 17.5502008] ; [125.5502008  28.4497992],0
d1,1,0.01804,5.592281,[55 41] ; [112  44],[63.61904762 32.38095238] ; [103.38095238  52.61904762],0
n2,1,0.020766,5.346283,[15  7] ; [27  2],[18.11764706  3.88235294] ; [23.88235294  5.11764706],0
p7,1,0.029045,4.764961,[63 30] ; [121  30],[70.13114754 22.86885246] ; [113.86885246  37.13114754],0
r4,1,0.034,4.494708,[89  7] ; [153   3],[92.19047619  3.80952381] ; [149.80952381   6.19047619],0
s3,1,0.034046,4.492374,[59 36] ; [113  38],[66.42276423 28.57723577] ; [105.57723577  45.42276423],0
b5,1,0.042104,4.131027,[44 52] ; [92 64],[51.80952381 44.19047619] ; [84.19047619 71.80952381],0
p10,1,0.067972,3.331315,[79 16] ; [140  14],[83.55421687 11.44578313] ; [135.44578313  18.55421687],0
n4,1,0.069535,3.293964,[73 23] ; [132  23],[78.4063745 17.5936255] ; [126.5936255  28.4063745],0
v4,1,0.071143,3.256451,[89  6] ; [152   3],[91.58  3.42] ; [149.42   5.58],0
p9,1,0.074467,3.181701,[79 14] ; [141  12],[83.17073171  9.82926829] ; [136.82926829  16.17073171],0
b2,1,0.092842,2.824399,[20 37] ; [48 50],[25.00645161 31.99354839] ; [42.99354839 55.00645161],0
b3,1,0.092842,2.824399,[20 37] ; [48 50],[25.00645161 31.99354839] ; [42.99354839 55.00645161],0
d3,1,0.116768,2.460142,[63 33] ; [116  39],[68.46215139 27.53784861] ; [110.53784861  44.46215139],0
p12,1,0.131276,2.277352,[ 9 86] ; [ 25 129],[12.97188755 82.02811245] ; [ 21.02811245 132.97188755],0
p5,1,0.134502,2.239761,[16 80] ; [ 38 116],[20.736 75.264] ; [ 33.264 120.736],0
r3,1,0.134969,2.234396,[88  5] ; [153   3],[90.01204819  2.98795181] ; [150.98795181   5.01204819],0
p11,1,0.139957,2.178429,[72 24] ; [129  27],[76.57142857 19.42857143] ; [124.42857143  31.57142857],0
a2,1,0.161585,1.95933,[24 72] ; [ 52 104],[28.95238095 67.04761905] ; [ 47.04761905 108.95238095],0
a5,1,0.172625,1.859998,[74 22] ; [131  25],[78.0952381 17.9047619] ; [126.9047619  29.0952381],0
u3,1,0.194421,1.683791,[17 13] ; [17  6],[19.24528302 10.75471698] ; [14.75471698  8.24528302],0
p3,1,0.21583,1.531881,[52 44] ; [95 58],[56.6746988 39.3253012] ; [90.3253012 62.6746988],0
p4,1,0.237032,1.398157,[60 35] ; [107  45],[64.23076923 30.76923077] ; [102.76923077  49.23076923],0
