Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5.9e-05,16.118796,[ 8 73] ; [20 31],[17.18181818 63.81818182] ; [10.81818182 40.18181818],1
r1,1,0.000364,12.708123,[38 45] ; [40 12],[47.95555556 35.04444444] ; [30.04444444 21.95555556],1
r4,1,0.001746,9.798812,[51 32] ; [45  7],[59.02222222 23.97777778] ; [36.97777778 15.02222222],0
r2,1,0.006629,7.370797,[63 20] ; [48  3],[68.75373134 14.24626866] ; [42.24626866  8.75373134],0
r3,1,0.014547,5.970504,[65 18] ; [48  3],[69.99253731 13.00746269] ; [43.00746269  7.99253731],0
v4,1,0.015798,5.825184,[67 15] ; [49  2],[71.51879699 10.48120301] ; [44.48120301  6.51879699],0
v1,1,0.018112,5.585284,[25 57] ; [26 25],[31.44360902 50.55639098] ; [19.55639098 31.44360902],0
s6,1,0.030206,4.697514,[34 48] ; [31 20],[40.07518797 41.92481203] ; [24.92481203 26.07518797],0
d2,1,0.032157,4.590131,[18 65] ; [ 4 48],[13.52592593 69.47407407] ; [ 8.47407407 43.52592593],0
d5,1,0.04048,4.197658,[34 48] ; [31 21],[39.7761194 42.2238806] ; [25.2238806 26.7761194],0
b5,1,0.050484,3.825326,[51 32] ; [23 29],[45.4962963 37.5037037] ; [28.5037037 23.4962963],0
a5,1,0.05129,3.798789,[29 54] ; [27 25],[34.42962963 48.57037037] ; [21.57037037 30.42962963],0
p10,1,0.073375,3.205853,[48 33] ; [38 13],[52.77272727 28.22727273] ; [33.22727273 17.77272727],0
a3,1,0.076273,3.142589,[36 46] ; [31 21],[41. 41.] ; [26. 26.],0
p11,1,0.097214,2.750661,[49 34] ; [38 14],[53.48888889 29.51111111] ; [33.51111111 18.48888889],0
p12,1,0.127998,2.316613,[ 1 82] ; [ 3 49],[ 2.45925926 80.54074074] ; [ 1.54074074 50.45925926],0
p5,1,0.156715,2.005643,[ 2 79] ; [ 4 48],[ 3.65413534 77.34586466] ; [ 2.34586466 49.65413534],0
s2,1,0.170684,1.876922,[27 56] ; [23 29],[30.74074074 52.25925926] ; [19.25925926 32.74074074],0
p1,1,0.171475,1.87,[ 6 76] ; [ 1 51],[ 4.28358209 77.71641791] ; [ 2.71641791 49.28358209],0
n1,1,0.173413,1.853186,[ 9 22] ; [ 2 15],[ 7.10416667 23.89583333] ; [ 3.89583333 13.10416667],0
s1,1,0.183286,1.77078,[ 6 77] ; [ 1 50],[ 4.3358209 78.6641791] ; [ 2.6641791 48.3358209],0
p9,1,0.189671,1.720172,[55 26] ; [40 11],[58.29545455 22.70454545] ; [36.70454545 14.29545455],0
a7,1,0.195916,1.672563,[46 36] ; [35 17],[49.56716418 32.43283582] ; [31.43283582 20.56716418],0
b1,1,0.199969,1.642598,[38 45] ; [18 34],[34.42962963 48.57037037] ; [21.57037037 30.42962963],0
s8,1,0.252988,1.306726,[18 64] ; [16 36],[20.80597015 61.19402985] ; [13.19402985 38.80597015],0
u2,1,0.284514,1.145401,[24 22] ; [ 8 13],[21.97014925 24.02985075] ; [10.02985075 10.97014925],0
s5,1,0.304136,1.05597,[16 65] ; [14 37],[18.40909091 62.59090909] ; [11.59090909 39.40909091],0
b4,1,0.306483,1.045772,[42 41] ; [31 21],[44.88148148 38.11851852] ; [28.11851852 23.88148148],0
n2,1,0.331861,0.941623,[22  9] ; [15  3],[23.40816327  7.59183673] ; [13.59183673  4.40816327],0
n5,1,0.361505,0.832659,[32 50] ; [24 27],[34.52631579 47.47368421] ; [21.47368421 29.52631579],0
u3,1,0.382815,0.761642,[25 21] ; [ 9 12],[23.34328358 22.65671642] ; [10.65671642 10.34328358],0
n6,1,0.399875,0.708703,[51 32] ; [35 16],[53.26865672 29.73134328] ; [32.73134328 18.26865672],0
d4,1,0.483779,0.490333,[46 37] ; [32 20],[47.95555556 35.04444444] ; [30.04444444 21.95555556],0
p8,1,0.489205,0.478275,[32 50] ; [23 28],[33.90977444 48.09022556] ; [21.09022556 29.90977444],0
s7,1,0.543028,0.369956,[21 60] ; [16 36],[22.53383459 58.46616541] ; [14.46616541 37.53383459],0
a2,1,0.554383,0.349524,[ 3 80] ; [ 3 49],[ 3.68888889 79.31111111] ; [ 2.31111111 49.68888889],0
a6,1,0.558497,0.342313,[42 41] ; [29 23],[43.65185185 39.34814815] ; [27.34814815 24.65185185],0
a1,1,0.578626,0.308461,[ 5 78] ; [ 2 50],[ 4.3037037 78.6962963] ; [ 2.6962963 49.3037037],0
s4,1,0.581343,0.304068,[21 62] ; [11 41],[19.67407407 63.32592593] ; [12.32592593 39.67407407],0
d3,1,0.589272,0.291482,[32 49] ; [23 29],[33.4962406 47.5037594] ; [21.5037594 30.4962406],0
p6,1,0.66627,0.185996,[18 63] ; [13 38],[19.02272727 61.97727273] ; [11.97727273 39.02272727],0
n3,1,0.742876,0.107615,[21 10] ; [13  5],[21.51020408  9.48979592] ; [12.48979592  5.51020408],0
a8,1,0.760154,0.093195,[ 6 72] ; [ 3 45],[ 5.57142857 72.42857143] ; [ 3.42857143 44.57142857],0
p7,1,0.786407,0.07343,[44 34] ; [30 21],[44.74418605 33.25581395] ; [29.25581395 21.74418605],0
b2,1,0.790389,0.070653,[ 9 32] ; [ 4 17],[ 8.59677419 32.40322581] ; [ 4.40322581 16.59677419],0
b3,1,0.790389,0.070653,[ 9 32] ; [ 4 17],[ 8.59677419 32.40322581] ; [ 4.40322581 16.59677419],0
p3,1,0.802183,0.062762,[24 59] ; [14 38],[23.36296296 59.63703704] ; [14.63703704 37.36296296],0
p4,1,0.875304,0.024625,[32 50] ; [21 31],[32.43283582 49.56716418] ; [20.56716418 31.43283582],0
p2,1,0.972518,0.001187,[57 25] ; [36 16],[56.91044776 25.08955224] ; [36.08955224 15.91044776],0
s3,1,0.978621,0.000718,[36 47] ; [22 29],[35.92537313 47.07462687] ; [22.07462687 28.92537313],0
a4,1,0.994699,4.4e-05,[16 67] ; [10 42],[15.98518519 67.01481481] ; [10.01481481 41.98518519],0
