Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.002252,9.331839,[ 7 29] ; [10  6],[11.76923077 24.23076923] ; [ 5.23076923 10.76923077],0
p6,1,0.002442,9.183673,[ 2 33] ; [6 9],[ 5.6 29.4] ; [ 2.4 12.6],0
p8,1,0.003228,8.673785,[ 5 31] ; [8 7],[ 9.17647059 26.82352941] ; [ 3.82352941 11.17647059],0
p3,1,0.005511,7.703704,[ 5 31] ; [8 8],[ 9. 27.] ; [ 4. 12.],0
s1,1,0.012114,6.29409,[ 1 35] ; [ 4 12],[ 3.46153846 32.53846154] ; [ 1.53846154 14.46153846],0
b5,1,0.026389,4.93037,[15 21] ; [12  4],[18.69230769 17.30769231] ; [8.30769231 7.69230769],0
p5,1,0.037119,4.344947,[ 1 35] ; [ 3 12],[ 2.82352941 33.17647059] ; [ 1.17647059 13.82352941],0
s8,1,0.042806,4.10306,[ 2 34] ; [ 4 12],[ 4.15384615 31.84615385] ; [ 1.84615385 14.15384615],0
u3,1,0.047437,3.929825,[ 1 18] ; [3 6],[ 2.71428571 16.28571429] ; [1.28571429 7.71428571],0
n3,1,0.061369,3.5,[ 4 10] ; [5 2],[6. 8.] ; [3. 4.],0
s3,1,0.087798,2.914286,[ 9 26] ; [8 8],[11.66666667 23.33333333] ; [ 5.33333333 10.66666667],0
p10,1,0.092056,2.83805,[11 24] ; [9 7],[13.7254902 21.2745098] ; [6.2745098 9.7254902],0
u2,1,0.10197,2.674464,[ 3 16] ; [4 5],[ 4.75 14.25] ; [2.25 6.75],0
b4,1,0.174884,1.840572,[23 13] ; [7 9],[20.76923077 15.23076923] ; [9.23076923 6.76923077],0
b3,1,0.191695,1.704545,[ 9 13] ; [2 9],[ 7.33333333 14.66666667] ; [3.66666667 7.33333333],0
b2,1,0.191695,1.704545,[ 9 13] ; [2 9],[ 7.33333333 14.66666667] ; [3.66666667 7.33333333],0
r2,1,0.193493,1.690821,[21 14] ; [6 9],[18.9 16.1] ; [8.1 6.9],0
a5,1,0.229421,1.444444,[16 20] ; [10  6],[18. 18.] ; [8. 8.],0
d5,1,0.244669,1.35349,[22 14] ; [7 9],[20.07692308 15.92307692] ; [8.92307692 7.07692308],0
p2,1,0.254838,1.296587,[13 23] ; [8 7],[14.82352941 21.17647059] ; [6.17647059 8.82352941],0
v3,1,0.309749,1.031746,[ 6 30] ; [ 1 15],[ 4.84615385 31.15384615] ; [ 2.15384615 13.84615385],0
s2,1,0.328324,0.955498,[ 5 31] ; [ 4 12],[ 6.23076923 29.76923077] ; [ 2.76923077 13.23076923],0
d1,1,0.33123,0.944081,[14 22] ; [ 4 12],[12.46153846 23.53846154] ; [ 5.53846154 10.46153846],0
v1,1,0.351045,0.869676,[ 7 29] ; [ 5 11],[ 8.30769231 27.69230769] ; [ 3.69230769 12.30769231],0
p9,1,0.373934,0.790551,[15 20] ; [9 7],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
a8,1,0.40061,0.706494,[ 4 32] ; [ 3 12],[ 4.94117647 31.05882353] ; [ 2.05882353 12.94117647],0
s5,1,0.408543,0.683036,[ 5 30] ; [ 1 15],[ 4.11764706 30.88235294] ; [ 1.88235294 14.11764706],0
a6,1,0.431629,0.618436,[16 20] ; [9 7],[17.30769231 18.69230769] ; [7.69230769 8.30769231],0
n6,1,0.445504,0.582065,[15 21] ; [8 7],[16.23529412 19.76470588] ; [6.76470588 8.23529412],0
p11,1,0.454152,0.560269,[14 22] ; [8 8],[15.23076923 20.76923077] ; [6.76923077 9.23076923],0
r3,1,0.460944,0.5436,[18 17] ; [10  6],[19.21568627 15.78431373] ; [8.78431373 7.21568627],0
n4,1,0.483253,0.491512,[26 10] ; [10  6],[24.92307692 11.07692308] ; [11.07692308  4.92307692],0
v2,1,0.507246,0.439745,[12 23] ; [ 4 12],[10.98039216 24.01960784] ; [ 5.01960784 10.98039216],0
n2,1,0.536632,0.381818,[6 8] ; [4 3],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
s6,1,0.543436,0.369208,[ 9 27] ; [ 5 10],[ 9.88235294 26.11764706] ; [ 4.11764706 10.88235294],0
d2,1,0.634308,0.226264,[15 20] ; [8 8],[15.78431373 19.21568627] ; [7.21568627 8.78431373],0
d3,1,0.639914,0.218855,[16 20] ; [ 6 10],[15.23076923 20.76923077] ; [6.76923077 9.23076923],0
a7,1,0.677166,0.173333,[18 18] ; [7 9],[17.30769231 18.69230769] ; [7.69230769 8.30769231],0
a3,1,0.748903,0.102455,[17 18] ; [7 9],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
s4,1,0.794703,0.067708,[ 3 33] ; [ 1 15],[ 2.76923077 33.23076923] ; [ 1.23076923 14.76923077],0
a2,1,0.794703,0.067708,[ 3 33] ; [ 1 15],[ 2.76923077 33.23076923] ; [ 1.23076923 14.76923077],0
r4,1,0.834895,0.043442,[10 26] ; [ 4 12],[ 9.69230769 26.30769231] ; [ 4.30769231 11.69230769],0
b1,1,0.8532,0.034239,[17 19] ; [8 8],[17.30769231 18.69230769] ; [7.69230769 8.30769231],0
