Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.3e-05,18.95407,[53 56] ; [61 15],[67.16756757 41.83243243] ; [46.83243243 29.16756757],1
s7,1,0.001489,10.091727,[28 74] ; [35 33],[37.8 64.2] ; [25.2 42.8],0
p10,1,0.006491,7.408598,[83 25] ; [70  6],[89.80434783 18.19565217] ; [63.19565217 12.80434783],0
n4,1,0.008976,6.827532,[79 30] ; [68  9],[86.14516129 22.85483871] ; [60.85483871 16.14516129],0
v1,1,0.016455,5.753602,[61 48] ; [55 20],[68.7173913 40.2826087] ; [47.2826087 27.7173913],0
n5,1,0.017541,5.641396,[74 33] ; [65 12],[80.83152174 26.16847826] ; [58.16847826 18.83152174],0
p12,1,0.027822,4.839065,[  3 106] ; [ 8 68],[  6.48108108 102.51891892] ; [ 4.51891892 71.48108108],0
p7,1,0.030228,4.696306,[76 32] ; [64 12],[82.17391304 25.82608696] ; [57.82608696 18.17391304],0
p5,1,0.040405,4.200776,[12 97] ; [17 60],[16.99462366 92.00537634] ; [12.00537634 64.99462366],0
r1,1,0.043984,4.057177,[80 29] ; [66 11],[85.55913978 23.44086022] ; [60.44086022 16.55913978],0
s8,1,0.044176,4.049839,[28 80] ; [30 45],[34.2295082 73.7704918] ; [23.7704918 51.2295082],0
p1,1,0.073986,3.192286,[  7 102] ; [11 66],[10.5483871 98.4516129] ; [ 7.4516129 69.5483871],0
n6,1,0.076596,3.135688,[90 18] ; [71  6],[93.98918919 14.01081081] ; [67.01081081  9.98918919],0
v4,1,0.089823,2.877548,[102   7] ; [76  1],[104.31182796   4.68817204] ; [73.68817204  3.31182796],0
p6,1,0.099906,2.707046,[45 63] ; [40 34],[50.43956044 57.56043956] ; [34.56043956 39.43956044],0
r4,1,0.158951,1.984175,[95 14] ; [72  5],[97.8655914 11.1344086] ; [69.1344086  7.8655914],0
a8,1,0.220583,1.500575,[ 9 85] ; [10 52],[11.44871795 82.55128205] ; [ 7.55128205 54.44871795],0
r3,1,0.233113,1.421764,[100   9] ; [74  3],[101.96774194   7.03225806] ; [72.03225806  4.96774194],0
p9,1,0.239056,1.386153,[90 18] ; [68  8],[92.73913043 15.26086957] ; [65.26086957 10.73913043],0
n3,1,0.251542,1.314721,[17  6] ; [10  1],[18.26470588  4.73529412] ; [8.73529412 2.26470588],0
a3,1,0.268853,1.22259,[72 37] ; [56 20],[75.41621622 33.58378378] ; [52.58378378 23.41621622],0
s4,1,0.303645,1.058119,[14 94] ; [ 6 68],[11.86813187 96.13186813] ; [ 8.13186813 65.86813187],0
s1,1,0.33137,0.943536,[  4 105] ; [ 1 75],[  2.94594595 106.05405405] ; [ 2.05405405 73.94594595],0
a1,1,0.361393,0.833047,[  5 104] ; [ 6 71],[  6.44623656 102.55376344] ; [ 4.55376344 72.44623656],0
u1,1,0.362112,0.830556,[17 92] ; [16 61],[19.33870968 89.66129032] ; [13.66129032 63.33870968],0
d2,1,0.388807,0.742669,[45 63] ; [37 40],[47.87027027 60.12972973] ; [34.12972973 42.87027027],0
u2,1,0.396218,0.719775,[16 21] ; [11  9],[17.52631579 19.47368421] ; [ 9.47368421 10.52631579],0
b2,1,0.398013,0.714322,[22 38] ; [24 30],[24.21052632 35.78947368] ; [21.78947368 32.21052632],0
b3,1,0.398013,0.714322,[22 38] ; [24 30],[24.21052632 35.78947368] ; [21.78947368 32.21052632],0
p2,1,0.410553,0.677198,[90 19] ; [67 10],[92.00537634 16.99462366] ; [64.99462366 12.00537634],0
r2,1,0.423571,0.640386,[99  9] ; [72  4],[100.36956522   7.63043478] ; [70.63043478  5.36956522],0
d1,1,0.447079,0.578047,[59 50] ; [46 31],[61.53225806 47.46774194] ; [43.46774194 33.53225806],0
d4,1,0.522698,0.408566,[85 24] ; [63 14],[86.7311828 22.2688172] ; [61.2688172 15.7311828],0
