Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2.1e-05,18.103611,[ 1 24] ; [20 15],[ 8.75 16.25] ; [12.25 22.75],1
d3,1,0.000123,14.751995,[ 5 20] ; [24 10],[12.28813559 12.71186441] ; [16.71186441 17.28813559],1
a6,1,0.00029,13.136501,[ 6 19] ; [25 10],[12.91666667 12.08333333] ; [18.08333333 16.91666667],1
a5,1,0.001003,10.822511,[ 5 20] ; [22 13],[11.25 13.75] ; [15.75 19.25],0
d4,1,0.001341,10.285714,[ 9 16] ; [27  8],[15. 10.] ; [21. 14.],0
u2,1,0.005233,7.797052,[ 4 10] ; [10  2],[7.53846154 6.46153846] ; [6.46153846 5.53846154],0
d2,1,0.01898,5.503347,[ 6 19] ; [19 16],[10.41666667 14.58333333] ; [14.58333333 20.41666667],0
a7,1,0.022934,5.173469,[ 9 16] ; [23 12],[13.33333333 11.66666667] ; [18.66666667 16.33333333],0
s5,1,0.02301,5.167777,[ 1 24] ; [ 9 25],[ 4.23728814 20.76271186] ; [ 5.76271186 28.23728814],0
v4,1,0.025859,4.96543,[ 8 16] ; [22 13],[12.20338983 11.79661017] ; [17.79661017 17.20338983],0
b4,1,0.032377,4.57842,[ 8 17] ; [21 14],[12.08333333 12.91666667] ; [16.91666667 18.08333333],0
v2,1,0.034433,4.473058,[ 4 20] ; [15 20],[ 7.72881356 16.27118644] ; [11.27118644 23.72881356],0
u3,1,0.049184,3.869048,[ 2 12] ; [6 6],[4.30769231 9.69230769] ; [3.69230769 8.30769231],0
s7,1,0.061369,3.5,[ 3 21] ; [11 21],[ 6. 18.] ; [ 8. 24.],0
a4,1,0.064078,3.428571,[ 5 20] ; [15 20],[ 8.33333333 16.66666667] ; [11.66666667 23.33333333],0
s6,1,0.100615,2.695764,[ 5 20] ; [14 21],[ 7.91666667 17.08333333] ; [11.08333333 23.91666667],0
r2,1,0.115746,2.473958,[11 13] ; [22 11],[13.89473684 10.10526316] ; [19.10526316 13.89473684],0
a2,1,0.117948,2.444359,[ 1 24] ; [ 6 29],[ 2.91666667 22.08333333] ; [ 4.08333333 30.91666667],0
v3,1,0.127908,2.317714,[ 2 23] ; [ 8 27],[ 4.16666667 20.83333333] ; [ 5.83333333 29.16666667],0
a3,1,0.128995,2.304553,[11 13] ; [23 12],[13.83050847 10.16949153] ; [20.16949153 14.83050847],0
r3,1,0.134328,2.241758,[ 8 17] ; [18 17],[10.83333333 14.16666667] ; [15.16666667 19.83333333],0
b5,1,0.19043,1.714286,[10 15] ; [20 15],[12.5 12.5] ; [17.5 17.5],0
n4,1,0.19043,1.714286,[10 15] ; [20 15],[12.5 12.5] ; [17.5 17.5],0
b1,1,0.216728,1.525903,[14 11] ; [25 10],[16.25  8.75] ; [22.75 12.25],0
n5,1,0.274967,1.1918,[15 10] ; [16 19],[12.91666667 12.08333333] ; [18.08333333 16.91666667],0
r1,1,0.323678,0.974026,[ 5 20] ; [11 24],[ 6.66666667 18.33333333] ; [ 9.33333333 25.66666667],0
s1,1,0.385123,0.754286,[ 3 22] ; [ 2 33],[ 2.08333333 22.91666667] ; [ 2.91666667 32.08333333],0
s3,1,0.395634,0.721556,[ 9 16] ; [16 18],[10.59322034 14.40677966] ; [14.40677966 19.59322034],0
n3,1,0.408942,0.681875,[7 6] ; [ 7 11],[5.87096774 7.12903226] ; [8.12903226 9.87096774],0
p2,1,0.512199,0.429573,[12 13] ; [13 20],[10.77586207 14.22413793] ; [14.22413793 18.77586207],0
p3,1,0.519622,0.414644,[ 3 22] ; [ 6 27],[ 3.87931034 21.12068966] ; [ 5.12068966 27.87931034],0
p9,1,0.523508,0.406977,[13 11] ; [16 19],[11.79661017 12.20338983] ; [17.20338983 17.79661017],0
n2,1,0.524116,0.405785,[8 5] ; [9 9],[7.12903226 5.87096774] ; [9.87096774 8.12903226],0
p4,1,0.56373,0.333287,[ 5 20] ; [ 9 25],[ 5.93220339 19.06779661] ; [ 8.06779661 25.93220339],0
v1,1,0.621094,0.244333,[ 8 17] ; [13 21],[ 8.89830508 16.10169492] ; [12.10169492 21.89830508],0
b3,1,0.635256,0.225,[ 6 10] ; [ 6 14],[ 5.33333333 10.66666667] ; [ 6.66666667 13.33333333],0
b2,1,0.635256,0.225,[ 6 10] ; [ 6 14],[ 5.33333333 10.66666667] ; [ 6.66666667 13.33333333],0
s2,1,0.693012,0.155844,[ 6 19] ; [10 25],[ 6.66666667 18.33333333] ; [ 9.33333333 25.66666667],0
s4,1,0.693012,0.155844,[ 4 21] ; [ 7 28],[ 4.58333333 20.41666667] ; [ 6.41666667 28.58333333],0
a8,1,0.694249,0.154524,[ 2 22] ; [ 2 33],[ 1.62711864 22.37288136] ; [ 2.37288136 32.62711864],0
p10,1,0.724301,0.124409,[11 13] ; [14 20],[10.34482759 13.65517241] ; [14.65517241 19.34482759],0
p8,1,0.736486,0.113239,[ 6 18] ; [ 7 26],[ 5.47368421 18.52631579] ; [ 7.52631579 25.47368421],0
n1,1,0.768398,0.086713,[5 8] ; [ 6 12],[4.61290323 8.38709677] ; [ 6.38709677 11.61290323],0
p6,1,0.786488,0.073372,[ 4 21] ; [ 6 26],[ 4.38596491 20.61403509] ; [ 5.61403509 26.38596491],0
s8,1,0.797351,0.065934,[ 3 22] ; [ 5 30],[ 3.33333333 21.66666667] ; [ 4.66666667 30.33333333],0
a1,1,0.854531,0.033613,[ 4 21] ; [ 5 30],[ 3.75 21.25] ; [ 5.25 29.75],0
p11,1,0.890831,0.018838,[ 9 16] ; [12 23],[ 8.75 16.25] ; [12.25 22.75],0
p7,1,0.897041,0.016744,[11 13] ; [15 19],[10.75862069 13.24137931] ; [15.24137931 18.75862069],0
p1,1,0.937069,0.006234,[ 2 23] ; [ 3 32],[ 2.08333333 22.91666667] ; [ 2.91666667 32.08333333],0
