Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.733726,[ 2 26] ; [27 16],[11.43661972 16.56338028] ; [17.56338028 25.43661972],1
r3,1,3.5e-05,17.131275,[10 18] ; [36  7],[18.14084507  9.85915493] ; [27.85915493 15.14084507],1
r2,1,0.00063,11.685278,[11 14] ; [36  7],[17.27941176  7.72058824] ; [29.72058824 13.27941176],1
s2,1,0.001482,10.101462,[ 2 26] ; [18 25],[ 7.88732394 20.11267606] ; [12.11267606 30.88732394],0
n6,1,0.004837,7.93939,[11 16] ; [32 11],[16.58571429 10.41428571] ; [26.41428571 16.58571429],0
p10,1,0.010953,6.472876,[ 7 20] ; [24 18],[12.13043478 14.86956522] ; [18.86956522 23.13043478],0
p6,1,0.016169,5.784426,[ 1 26] ; [11 31],[ 4.69565217 22.30434783] ; [ 7.30434783 34.69565217],0
s6,1,0.021904,5.25341,[ 5 23] ; [19 24],[ 9.46478873 18.53521127] ; [14.53521127 28.46478873],0
v2,1,0.033642,4.512821,[ 5 22] ; [17 22],[ 9. 18.] ; [13. 26.],0
s8,1,0.049613,3.854486,[ 2 26] ; [11 32],[ 5.12676056 22.87323944] ; [ 7.87323944 35.12676056],0
u3,1,0.05659,3.634615,[ 2 11] ; [7 7],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
u2,1,0.05659,3.634615,[ 2 11] ; [7 7],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
s5,1,0.063446,3.444939,[ 2 26] ; [10 31],[ 4.86956522 23.13043478] ; [ 7.13043478 33.86956522],0
p11,1,0.077293,3.120926,[ 9 19] ; [23 20],[12.61971831 15.38028169] ; [19.38028169 23.61971831],0
d5,1,0.093579,2.811702,[14 14] ; [30 13],[17.35211268 10.64788732] ; [26.64788732 16.35211268],0
n1,1,0.095882,2.772736,[8 6] ; [ 4 11],[5.79310345 8.20689655] ; [6.20689655 8.79310345],0
p9,1,0.105109,2.626263,[10 16] ; [23 16],[13.2 12.8] ; [19.8 19.2],0
n4,1,0.114287,2.493912,[19  9] ; [21 22],[15.77464789 12.22535211] ; [24.22535211 18.77464789],0
b5,1,0.119252,2.427123,[13 15] ; [28 15],[16.16901408 11.83098592] ; [24.83098592 18.16901408],0
n2,1,0.15631,2.009569,[7 7] ; [12  4],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
b4,1,0.164,1.936952,[19  9] ; [22 21],[16.16901408 11.83098592] ; [24.83098592 18.16901408],0
s3,1,0.188587,1.728623,[ 6 21] ; [16 27],[ 8.48571429 18.51428571] ; [13.51428571 29.48571429],0
p8,1,0.204172,1.612275,[ 4 23] ; [12 31],[ 6.17142857 20.82857143] ; [ 9.82857143 33.17142857],0
a3,1,0.23936,1.384358,[15 13] ; [29 14],[17.35211268 10.64788732] ; [26.64788732 16.35211268],0
p1,1,0.239514,1.383451,[ 7 21] ; [ 6 37],[ 5.12676056 22.87323944] ; [ 7.87323944 35.12676056],0
p4,1,0.241413,1.372322,[ 5 23] ; [13 30],[ 7.09859155 20.90140845] ; [10.90140845 32.09859155],0
