Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,3.4e-05,17.185587,[ 4 21] ; [21  8],[11.57407407 13.42592593] ; [13.42592593 15.57407407],1
v3,1,0.000168,14.162365,[ 3 22] ; [18 11],[ 9.72222222 15.27777778] ; [11.27777778 17.72222222],1
r1,1,0.031775,4.610581,[14 11] ; [24  5],[17.59259259  7.40740741] ; [20.40740741  8.59259259],0
s4,1,0.046772,3.953559,[ 5 19] ; [ 1 28],[ 2.71698113 21.28301887] ; [ 3.28301887 25.71698113],0
n4,1,0.057011,3.622266,[16  9] ; [25  4],[18.98148148  6.01851852] ; [22.01851852  6.98148148],0
b4,1,0.06432,3.422342,[11 14] ; [20  9],[14.35185185 10.64814815] ; [16.64814815 12.35185185],0
a5,1,0.06432,3.422342,[11 14] ; [20  9],[14.35185185 10.64814815] ; [16.64814815 12.35185185],0
a6,1,0.067116,3.352172,[13 12] ; [22  7],[16.2037037  8.7962963] ; [18.7962963 10.2037037],0
a7,1,0.093805,2.807837,[12 12] ; [21  8],[14.94339623  9.05660377] ; [18.05660377 10.94339623],0
p12,1,0.122627,2.383448,[ 1 24] ; [ 5 24],[ 2.77777778 22.22222222] ; [ 3.22222222 25.77777778],0
a3,1,0.184247,1.763033,[11 14] ; [18 11],[13.42592593 11.57407407] ; [15.57407407 13.42592593],0
a2,1,0.215735,1.532521,[ 1 24] ; [ 4 25],[ 2.31481481 22.68518519] ; [ 2.68518519 26.31481481],0
u2,1,0.249561,1.325758,[7 7] ; [8 3],[8.4 5.6] ; [6.6 4.4],0
s7,1,0.257518,1.282051,[11 14] ; [15 10],[13. 12.] ; [13. 12.],0
p3,1,0.313447,1.016097,[13 12] ; [19 10],[14.81481481 10.18518519] ; [17.18518519 11.81481481],0
u3,1,0.346419,0.886532,[5 9] ; [6 5],[6.16 7.84] ; [4.84 6.16],0
n1,1,0.464214,0.535714,[4 6] ; [3 2],[4.66666667 5.33333333] ; [2.33333333 2.66666667],0
p10,1,0.475242,0.509762,[17  7] ; [23  6],[18.11320755  5.88679245] ; [21.88679245  7.11320755],0
s8,1,0.476665,0.506483,[ 8 17] ; [12 17],[ 9.25925926 15.74074074] ; [10.74074074 18.25925926],0
d3,1,0.514723,0.424454,[ 6 17] ; [10 19],[ 7.07692308 15.92307692] ; [ 8.92307692 20.07692308],0
r2,1,0.518844,0.416191,[22  3] ; [27  2],[22.68518519  2.31481481] ; [26.31481481  2.68518519],0
d2,1,0.520115,0.413666,[ 8 17] ; [ 7 22],[ 6.94444444 18.05555556] ; [ 8.05555556 20.94444444],0
p4,1,0.520115,0.413666,[17  8] ; [22  7],[18.05555556  6.94444444] ; [20.94444444  8.05555556],0
a8,1,0.533825,0.387105,[ 5 19] ; [ 4 24],[ 4.15384615 19.84615385] ; [ 4.84615385 23.15384615],0
r4,1,0.538631,0.378083,[19  6] ; [24  5],[19.90740741  5.09259259] ; [23.09259259  5.90740741],0
n5,1,0.581995,0.303021,[19  6] ; [23  5],[19.81132075  5.18867925] ; [22.18867925  5.81132075],0
a4,1,0.650072,0.205809,[ 8 16] ; [ 8 21],[ 7.24528302 16.75471698] ; [ 8.75471698 20.24528302],0
b2,1,0.652605,0.202632,[7 7] ; [ 8 11],[6.36363636 7.63636364] ; [ 8.63636364 10.36363636],0
b3,1,0.652605,0.202632,[7 7] ; [ 8 11],[6.36363636 7.63636364] ; [ 8.63636364 10.36363636],0
b5,1,0.685977,0.163475,[16  9] ; [17 12],[15.27777778  9.72222222] ; [17.72222222 11.27777778],0
s5,1,0.690648,0.158385,[ 7 16] ; [10 18],[ 7.66666667 15.33333333] ; [ 9.33333333 18.66666667],0
n2,1,0.698535,0.15,[7 3] ; [3 2],[6.66666667 3.33333333] ; [3.33333333 1.66666667],0
p5,1,0.715337,0.133005,[ 5 20] ; [ 7 22],[ 5.55555556 19.44444444] ; [ 6.44444444 22.55555556],0
s2,1,0.720548,0.127968,[10 15] ; [13 16],[10.64814815 14.35185185] ; [12.35185185 16.64814815],0
s3,1,0.744678,0.106057,[11 13] ; [12 17],[10.41509434 13.58490566] ; [12.58490566 16.41509434],0
p11,1,0.746758,0.104276,[18  7] ; [22  7],[18.51851852  6.48148148] ; [21.48148148  7.51851852],0
v4,1,0.766917,0.087859,[23  2] ; [26  3],[22.68518519  2.31481481] ; [26.31481481  2.68518519],0
p9,1,0.770471,0.085123,[19  6] ; [23  6],[19.44444444  5.55555556] ; [22.55555556  6.44444444],0
d5,1,0.773793,0.082609,[ 9 15] ; [12 17],[ 9.50943396 14.49056604] ; [11.49056604 17.50943396],0
b1,1,0.784918,0.074483,[13 12] ; [14 15],[12.5 12.5] ; [14.5 14.5],0
n6,1,0.794698,0.067712,[20  5] ; [24  5],[20.37037037  4.62962963] ; [23.62962963  5.37037037],0
p7,1,0.819936,0.051814,[21  4] ; [25  4],[21.2962963  3.7037037] ; [24.7037037  4.2962963],0
r3,1,0.846974,0.037241,[22  3] ; [26  3],[22.22222222  2.77777778] ; [25.77777778  3.22222222],0
d1,1,0.877307,0.023834,[ 2 23] ; [ 2 27],[ 1.85185185 23.14814815] ; [ 2.14814815 26.85185185],0
p2,1,0.902858,0.014897,[21  4] ; [24  5],[20.83333333  4.16666667] ; [24.16666667  4.83333333],0
p8,1,0.918075,0.01058,[15 10] ; [17 12],[14.81481481 10.18518519] ; [17.18518519 11.81481481],0
s6,1,0.965763,0.001842,[13 11] ; [15 13],[12.92307692 11.07692308] ; [15.07692308 12.92307692],0
p1,1,0.990568,0.00014,[ 6 19] ; [ 7 22],[ 6.01851852 18.98148148] ; [ 6.98148148 22.01851852],0
