Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9.4e-05,15.261593,[42 64] ; [24  6],[51.44117647 54.55882353] ; [14.55882353 15.44117647],1
s2,1,0.003503,8.525083,[33 74] ; [18 12],[39.83211679 67.16788321] ; [11.16788321 18.83211679],0
p12,1,0.009149,6.793442,[  1 106] ; [ 3 27],[  3.12408759 103.87591241] ; [ 0.87591241 29.12408759],0
u1,1,0.009149,6.793442,[  1 106] ; [ 3 27],[  3.12408759 103.87591241] ; [ 0.87591241 29.12408759],0
b5,1,0.013198,6.142433,[63 44] ; [10 20],[57.01459854 49.98540146] ; [15.98540146 14.01459854],0
a1,1,0.020627,5.35806,[  3 104] ; [ 4 26],[  5.46715328 101.53284672] ; [ 1.53284672 28.46715328],0
s3,1,0.022071,5.240218,[41 66] ; [18 11],[46.41911765 60.58088235] ; [12.58088235 16.41911765],0
n6,1,0.02492,5.029434,[61 45] ; [24  6],[66.25 39.75] ; [18.75 11.25],0
s7,1,0.026226,4.941088,[25 80] ; [13 16],[29.7761194 75.2238806] ; [ 8.2238806 20.7761194],0
b1,1,0.026994,4.891173,[49 58] ; [ 7 23],[43.73722628 63.26277372] ; [12.26277372 17.73722628],0
s4,1,0.037575,4.324139,[20 87] ; [11 19],[24.21167883 82.78832117] ; [ 6.78832117 23.21167883],0
d4,1,0.040116,4.212973,[56 51] ; [22  8],[60.91970803 46.08029197] ; [17.08029197 12.91970803],0
b4,1,0.046827,3.951609,[53 54] ; [21  9],[57.79562044 49.20437956] ; [16.20437956 13.79562044],0
n5,1,0.061835,3.487471,[48 57] ; [ 8 22],[43.55555556 61.44444444] ; [12.44444444 17.55555556],0
v4,1,0.106059,2.61198,[91 16] ; [27  1],[93.52592593 13.47407407] ; [24.47407407  3.52592593],0
n3,1,0.122823,2.380952,[30 10] ; [5 5],[28. 12.] ; [7. 3.],0
r3,1,0.131929,2.269659,[87 19] ; [28  2],[89.63235294 16.36764706] ; [25.36764706  4.63235294],0
p10,1,0.191665,1.704776,[66 39] ; [22  7],[68.95522388 36.04477612] ; [19.04477612  9.95522388],0
v3,1,0.216712,1.52601,[21 83] ; [ 9 20],[23.45864662 80.54135338] ; [ 6.54135338 22.45864662],0
p1,1,0.249551,1.325814,[  5 102] ; [ 3 26],[  6.29411765 100.70588235] ; [ 1.70588235 27.29411765],0
s8,1,0.268541,1.224186,[25 82] ; [10 20],[27.33576642 79.66423358] ; [ 7.66423358 22.33576642],0
p11,1,0.276903,1.182228,[67 40] ; [22  8],[69.51094891 37.48905109] ; [19.48905109 10.51094891],0
r4,1,0.284129,1.147231,[75 32] ; [24  6],[77.32116788 29.67883212] ; [21.67883212  8.32116788],0
v2,1,0.304136,1.05597,[37 65] ; [14 16],[39.40909091 62.59090909] ; [11.59090909 18.40909091],0
b3,1,0.310809,1.027236,[ 9 41] ; [4 9],[10.31746032 39.68253968] ; [ 2.68253968 10.31746032],0
b2,1,0.310809,1.027236,[ 9 41] ; [4 9],[10.31746032 39.68253968] ; [ 2.68253968 10.31746032],0
u2,1,0.344675,0.892966,[28 24] ; [6 9],[26.3880597 25.6119403] ; [7.6119403 7.3880597],0
a8,1,0.370471,0.802083,[ 9 92] ; [ 1 26],[ 7.890625 93.109375] ; [ 2.109375 24.890625],0
p9,1,0.396645,0.718475,[75 30] ; [23  6],[76.79104478 28.20895522] ; [21.20895522  7.79104478],0
d2,1,0.505815,0.442716,[16 91] ; [ 6 24],[17.18248175 89.81751825] ; [ 4.81751825 25.18248175],0
a7,1,0.531438,0.391642,[64 42] ; [20 10],[65.47058824 40.52941176] ; [18.52941176 11.47058824],0
r2,1,0.539366,0.376717,[87 20] ; [25  4],[88.11764706 18.88235294] ; [23.88235294  5.11764706],0
d5,1,0.550951,0.355617,[50 56] ; [16 14],[51.44117647 54.55882353] ; [14.55882353 15.44117647],0
p5,1,0.639021,0.220025,[  5 101] ; [ 2 27],[  5.4962963 100.5037037] ; [ 1.5037037 27.4962963],0
n1,1,0.649692,0.206289,[ 9 30] ; [3 7],[ 9.55102041 29.44897959] ; [2.44897959 7.55102041],0
v1,1,0.651665,0.203807,[39 67] ; [12 17],[40.04444444 65.95555556] ; [10.95555556 18.04444444],0
a6,1,0.674399,0.176499,[56 51] ; [17 13],[57.01459854 49.98540146] ; [15.98540146 14.01459854],0
p7,1,0.6762,0.174435,[58 45] ; [17 11],[58.96946565 44.03053435] ; [16.03053435 11.96946565],0
p4,1,0.699966,0.148507,[43 63] ; [11 19],[42.08823529 63.91176471] ; [11.91176471 18.08823529],0
d3,1,0.71009,0.138187,[46 59] ; [12 18],[45.11111111 59.88888889] ; [12.88888889 17.11111111],0
p3,1,0.73015,0.118974,[32 75] ; [ 8 22],[31.24087591 75.75912409] ; [ 8.75912409 21.24087591],0
p2,1,0.734759,0.114787,[74 33] ; [21  8],[74.74264706 32.25735294] ; [20.25735294  8.74264706],0
n2,1,0.740544,0.109649,[30 10] ; [8 2],[30.4  9.6] ; [7.6 2.4],0
a2,1,0.751351,0.100399,[  5 102] ; [ 1 29],[  4.68613139 102.31386861] ; [ 1.31386861 28.68613139],0
a5,1,0.76953,0.085843,[46 61] ; [12 18],[45.29927007 61.70072993] ; [12.70072993 17.29927007],0
p8,1,0.815424,0.054492,[43 62] ; [13 17],[43.55555556 61.44444444] ; [12.44444444 17.55555556],0
a3,1,0.834173,0.043829,[53 54] ; [15 14],[53.5 53.5] ; [14.5 14.5],0
a4,1,0.871689,0.026087,[20 87] ; [ 6 24],[20.30656934 86.69343066] ; [ 5.69343066 24.30656934],0
p6,1,0.88814,0.019785,[23 82] ; [ 6 23],[22.7238806 82.2761194] ; [ 6.2761194 22.7238806],0
r1,1,0.912071,0.012194,[63 44] ; [18 12],[63.26277372 43.73722628] ; [17.73722628 12.26277372],0
u3,1,0.923256,0.00928,[27 25] ; [8 7],[27.1641791 24.8358209] ; [7.8358209 7.1641791],0
